date,open,high,low,close,volume
2004-09-16 05:30:00+05:30,26.0,26.05,25.5,26.0,5755.0
2004-09-17 05:30:00+05:30,26.2,26.7,25.9,26.4,7665.0
2004-09-20 05:30:00+05:30,26.55,26.75,25.8,25.9,4955.0
2004-09-21 05:30:00+05:30,26.0,26.0,25.5,25.7,4725.0
2004-09-22 05:30:00+05:30,26.0,26.5,25.7,26.15,8795.0
2004-09-23 05:30:00+05:30,26.2,26.95,25.7,25.9,8830.0
2004-09-24 05:30:00+05:30,26.2,26.2,25.6,25.7,3295.0
2004-09-27 05:30:00+05:30,26.1,26.1,25.65,25.85,3105.0
2004-09-28 05:30:00+05:30,26.0,26.0,25.4,25.5,4275.0
2004-09-29 05:30:00+05:30,26.0,26.0,25.3,25.4,3880.0
2004-09-30 05:30:00+05:30,25.8,26.05,25.4,25.9,5885.0
2004-10-01 05:30:00+05:30,25.9,26.55,25.7,26.4,6850.0
2004-10-04 05:30:00+05:30,26.6,27.45,26.2,26.55,17355.0
2004-10-05 05:30:00+05:30,26.65,27.9,26.4,27.75,11220.0
2004-10-06 05:30:00+05:30,28.0,29.0,27.8,28.9,22900.0
2004-10-07 05:30:00+05:30,28.8,29.4,28.75,29.4,9035.0
2004-10-08 05:30:00+05:30,29.4,32.0,29.2,31.2,41035.0
2004-10-11 05:30:00+05:30,32.1,33.1,31.0,31.7,26760.0
2004-10-12 05:30:00+05:30,33.0,33.0,30.0,30.2,10440.0
2004-10-14 05:30:00+05:30,30.4,30.8,28.9,29.5,38810.0
2004-10-15 05:30:00+05:30,29.0,32.0,28.05,30.3,38340.0
2004-10-18 05:30:00+05:30,30.75,33.8,30.5,30.75,18760.0
2004-10-19 05:30:00+05:30,29.5,30.9,29.5,30.75,8760.0
2004-10-20 05:30:00+05:30,30.8,30.95,30.0,30.55,6530.0
2004-10-21 05:30:00+05:30,30.4,30.8,30.0,30.8,6750.0
2004-10-25 05:30:00+05:30,31.0,31.0,28.9,28.9,4040.0
2004-10-26 05:30:00+05:30,29.2,29.7,28.0,28.2,8455.0
2004-10-27 05:30:00+05:30,28.6,29.1,28.55,29.0,4855.0
2004-10-28 05:30:00+05:30,29.35,29.35,28.4,28.6,1995.0
2004-10-29 05:30:00+05:30,28.8,31.6,28.45,30.6,22240.0
2004-11-01 05:30:00+05:30,30.8,31.0,29.0,30.85,8085.0
2004-11-02 05:30:00+05:30,30.4,30.85,30.05,30.05,2540.0
2004-11-03 05:30:00+05:30,30.4,30.95,30.0,30.7,6435.0
2004-11-04 05:30:00+05:30,31.0,31.1,30.0,30.2,4965.0
2004-11-05 05:30:00+05:30,33.0,33.0,30.05,30.8,9670.0
2004-11-08 05:30:00+05:30,31.05,31.8,30.6,31.7,11160.0
2004-11-09 05:30:00+05:30,31.8,31.8,31.1,31.75,8000.0
2004-11-10 05:30:00+05:30,32.0,32.0,31.6,31.6,5395.0
2004-11-11 05:30:00+05:30,32.0,32.0,30.7,30.85,3610.0
2004-11-12 05:30:00+05:30,31.15,31.15,30.6,30.65,960.0
2004-11-16 05:30:00+05:30,31.05,31.2,30.75,30.8,12775.0
2004-11-17 05:30:00+05:30,31.25,32.2,30.9,32.2,10150.0
2004-11-18 05:30:00+05:30,32.8,32.8,31.4,31.55,10735.0
2004-11-19 05:30:00+05:30,32.2,32.2,30.8,31.3,6840.0
2004-11-22 05:30:00+05:30,30.6,30.9,30.2,30.4,3730.0
2004-11-23 05:30:00+05:30,30.8,32.0,30.6,31.75,6995.0
2004-11-24 05:30:00+05:30,32.15,32.4,31.0,31.05,7725.0
2004-11-25 05:30:00+05:30,31.75,33.0,31.6,32.9,14795.0
2004-11-29 05:30:00+05:30,33.2,34.7,33.2,34.2,20045.0
2004-11-30 05:30:00+05:30,34.5,34.75,32.8,33.6,17125.0
2004-12-01 05:30:00+05:30,33.55,35.75,33.2,35.3,23240.0
2004-12-02 05:30:00+05:30,35.8,39.0,35.6,38.0,57665.0
