date,open,high,low,close,volume
2004-09-16 05:30:00+05:30,9.35,9.35,9.15,9.35,640.0
2004-09-17 05:30:00+05:30,9.35,9.35,9.15,9.2,1150.0
2004-09-20 05:30:00+05:30,9.25,9.3,9.1,9.3,970.0
2004-09-21 05:30:00+05:30,9.2,9.3,9.2,9.2,620.0
2004-09-22 05:30:00+05:30,9.35,9.35,9.15,9.15,540.0
2004-09-23 05:30:00+05:30,9.1,9.2,9.1,9.15,550.0
2004-09-24 05:30:00+05:30,9.2,9.3,9.15,9.3,530.0
2004-09-27 05:30:00+05:30,9.15,9.5,9.15,9.5,850.0
2004-09-28 05:30:00+05:30,9.4,9.75,9.35,9.65,3040.0
2004-09-29 05:30:00+05:30,9.8,10.0,9.6,9.85,5400.0
2004-09-30 05:30:00+05:30,10.0,10.25,9.75,10.25,4250.0
2004-10-01 05:30:00+05:30,10.1,10.85,9.95,10.75,7010.0
2004-10-04 05:30:00+05:30,10.8,11.5,10.8,11.25,7020.0
2004-10-05 05:30:00+05:30,11.55,11.65,11.15,11.5,4470.0
2004-10-06 05:30:00+05:30,11.75,11.95,11.3,11.3,3280.0
2004-10-07 05:30:00+05:30,11.5,11.6,11.25,11.35,1060.0
2004-10-08 05:30:00+05:30,11.3,11.4,10.95,11.2,3210.0
2004-10-11 05:30:00+05:30,10.95,11.5,10.95,11.4,1640.0
2004-10-12 05:30:00+05:30,11.55,11.65,11.15,11.4,1370.0
2004-10-14 05:30:00+05:30,11.15,11.4,10.9,11.35,660.0
2004-10-15 05:30:00+05:30,11.15,11.15,10.95,11.0,410.0
2004-10-18 05:30:00+05:30,11.25,11.25,10.95,10.95,480.0
2004-10-19 05:30:00+05:30,10.9,11.25,10.9,11.2,760.0
2004-10-20 05:30:00+05:30,11.2,11.6,11.2,11.55,2040.0
2004-10-21 05:30:00+05:30,11.3,11.75,11.3,11.55,1710.0
2004-10-25 05:30:00+05:30,11.55,11.55,10.95,10.95,270.0
2004-10-26 05:30:00+05:30,10.9,11.05,10.9,10.95,240.0
2004-10-27 05:30:00+05:30,11.1,11.2,10.95,11.1,1240.0
2004-10-28 05:30:00+05:30,10.95,11.1,10.8,10.8,430.0
2004-10-29 05:30:00+05:30,11.1,11.1,10.75,10.85,370.0
2004-11-01 05:30:00+05:30,10.8,11.1,10.5,10.7,920.0
2004-11-02 05:30:00+05:30,10.9,10.9,10.5,10.6,840.0
2004-11-03 05:30:00+05:30,10.7,10.9,10.45,10.55,1130.0
2004-11-04 05:30:00+05:30,10.6,10.85,10.6,10.7,630.0
2004-11-05 05:30:00+05:30,10.6,10.75,10.55,10.6,250.0
2004-11-08 05:30:00+05:30,10.5,10.65,10.4,10.45,480.0
2004-11-09 05:30:00+05:30,10.5,10.55,10.45,10.45,250.0
2004-11-10 05:30:00+05:30,10.4,10.6,10.4,10.5,400.0
2004-11-11 05:30:00+05:30,10.75,12.15,10.55,11.9,23280.0
2004-11-12 05:30:00+05:30,12.25,12.85,11.8,12.55,14570.0
2004-11-16 05:30:00+05:30,12.9,13.05,11.95,11.95,24150.0
2004-11-17 05:30:00+05:30,12.2,12.4,12.0,12.05,3400.0
2004-11-18 05:30:00+05:30,12.35,12.6,11.85,11.9,1540.0
2004-11-19 05:30:00+05:30,12.05,12.85,11.95,12.5,8960.0
2004-11-22 05:30:00+05:30,12.35,12.85,12.35,12.45,2410.0
2004-11-23 05:30:00+05:30,12.8,12.85,12.45,12.65,1960.0
2004-11-24 05:30:00+05:30,12.65,13.1,12.65,12.95,2720.0
2004-11-25 05:30:00+05:30,12.8,13.0,12.55,12.55,1560.0
2004-11-29 05:30:00+05:30,12.75,12.9,12.55,12.65,1100.0
2004-11-30 05:30:00+05:30,12.65,12.85,12.4,12.85,2020.0
2004-12-01 05:30:00+05:30,12.55,13.1,12.45,13.0,2120.0
2004-12-02 05:30:00+05:30,12.75,12.9,12.35,12.4,1040.0
2004-12-03 05:30:00+05:30,12.65,12.65,12.35,12.35,590.0
2004-12-06 05:30:00+05:30,12.65,12.65,11.95,12.4,1740.0
2004-12-07 05:30:00+05:30,12.6,12.6,12.15,12.45,630.0
2004-12-08 05:30:00+05:30,12.35,12.55,12.2,12.45,900.0
2004-12-09 05:30:00+05:30,12.5,12.5,12.15,12.3,1450.0
2004-12-10 05:30:00+05:30,12.25,12.35,12.0,12.15,1770.0
2004-12-13 05:30:00+05:30,12.15,12.25,12.05,12.25,1720.0
2004-12-14 05:30:00+05:30,12.3,12.45,12.3,12.3,1110.0
2004-12-15 05:30:00+05:30,12.2,12.5,12.1,12.15,400.0
2004-12-16 05:30:00+05:30,12.4,12.5,12.15,12.35,640.0
2004-12-17 05:30:00+05:30,12.25,12.5,11.65,12.35,1070.0
2004-12-20 05:30:00+05:30,12.5,12.9,12.15,12.75,4500.0
2004-12-21 05:30:00+05:30,13.0,13.0,12.45,12.45,1340.0
2004-12-22 05:30:00+05:30,12.6,13.0,12.55,13.0,3880.0
2004-12-23 05:30:00+05:30,12.95,12.95,12.75,12.9,980.0
2004-12-24 05:30:00+05:30,12.85,13.2,12.85,13.0,2700.0
2004-12-27 05:30:00+05:30,13.05,13.1,12.8,13.0,1960.0
2004-12-28 05:30:00+05:30,13.15,13.15,12.95,13.1,770.0
2004-12-29 05:30:00+05:30,13.1,13.3,11.85,12.9,910.0
2004-12-30 05:30:00+05:30,12.75,13.1,12.45,12.45,1220.0
2004-12-31 05:30:00+05:30,12.65,12.85,12.55,12.6,1120.0
2005-01-03 05:30:00+05:30,12.6,12.8,12.4,12.45,1740.0
2005-01-04 05:30:00+05:30,12.65,12.7,12.45,12.45,1510.0
2005-01-05 05:30:00+05:30,12.35,12.55,11.75,12.05,1040.0
2005-01-06 05:30:00+05:30,11.85,12.25,11.85,11.95,320.0
2005-01-07 05:30:00+05:30,12.25,12.25,11.8,12.0,660.0
2005-01-10 05:30:00+05:30,12.25,12.55,12.15,12.2,260.0
2005-01-11 05:30:00+05:30,12.15,12.25,11.65,11.8,2030.0
2005-01-12 05:30:00+05:30,12.05,12.05,11.55,11.55,1650.0
2005-01-13 05:30:00+05:30,11.75,12.05,11.5,12.05,520.0
2005-01-14 05:30:00+05:30,11.75,12.05,11.65,11.95,330.0
2005-01-17 05:30:00+05:30,11.65,12.05,11.65,11.65,6560.0
2005-01-18 05:30:00+05:30,12.15,12.6,11.8,12.2,1250.0
2005-01-19 05:30:00+05:30,12.65,13.4,12.35,12.95,3670.0
2005-01-20 05:30:00+05:30,12.9,12.9,12.4,12.4,600.0
2005-01-24 05:30:00+05:30,12.75,12.75,12.35,12.4,1060.0
2005-01-25 05:30:00+05:30,12.6,12.75,12.4,12.7,390.0
2005-01-26 05:30:00+05:30,12.6,12.75,12.4,12.7,390.0
2005-01-27 05:30:00+05:30,12.65,13.0,12.25,12.9,2010.0
2005-01-28 05:30:00+05:30,13.1,13.1,12.85,13.0,1170.0
2005-01-31 05:30:00+05:30,12.35,13.15,12.35,13.15,1400.0
2005-02-01 05:30:00+05:30,13.25,13.25,12.95,13.15,660.0
2005-02-02 05:30:00+05:30,13.2,13.3,13.15,13.2,690.0
2005-02-03 05:30:00+05:30,13.25,13.4,13.15,13.25,1020.0
2005-02-04 05:30:00+05:30,13.1,13.2,13.1,13.15,390.0
2005-02-07 05:30:00+05:30,13.15,13.3,13.05,13.1,1000.0
2005-02-08 05:30:00+05:30,13.25,13.25,13.15,13.15,470.0
2005-02-09 05:30:00+05:30,13.15,13.6,13.1,13.15,2460.0
2005-02-10 05:30:00+05:30,13.5,13.5,13.15,13.2,760.0
2005-02-11 05:30:00+05:30,13.2,14.0,13.2,13.8,1870.0
2005-02-14 05:30:00+05:30,13.65,14.0,13.6,13.6,950.0
2005-02-15 05:30:00+05:30,13.8,13.95,13.5,13.95,1260.0
2005-02-16 05:30:00+05:30,13.95,14.5,13.95,14.3,2220.0
2005-02-17 05:30:00+05:30,13.9,14.2,13.9,14.0,1030.0
2005-02-18 05:30:00+05:30,14.0,14.05,13.7,13.85,290.0
2005-02-21 05:30:00+05:30,13.9,14.1,13.7,13.75,570.0
2005-02-22 05:30:00+05:30,13.95,14.85,13.7,14.8,5280.0
2005-02-23 05:30:00+05:30,14.95,15.8,14.75,15.7,10840.0
2005-02-24 05:30:00+05:30,15.4,16.25,15.4,16.05,5490.0
2005-02-25 05:30:00+05:30,16.7,16.7,15.55,16.05,2010.0
2005-02-28 05:30:00+05:30,15.55,16.05,15.15,15.35,1570.0
2005-03-01 05:30:00+05:30,14.6,15.55,14.6,15.35,680.0
2005-03-02 05:30:00+05:30,15.35,15.45,15.15,15.15,900.0
2005-03-03 05:30:00+05:30,15.15,15.45,15.15,15.3,410.0
2005-03-04 05:30:00+05:30,15.55,15.55,15.25,15.4,450.0
2005-03-07 05:30:00+05:30,15.4,16.25,15.4,15.95,1270.0
2005-03-08 05:30:00+05:30,15.35,15.8,15.35,15.65,670.0
2005-03-09 05:30:00+05:30,15.85,16.05,15.4,15.65,1090.0
2005-03-10 05:30:00+05:30,15.65,15.7,15.35,15.7,540.0
2005-03-11 05:30:00+05:30,15.75,16.6,15.35,16.3,2960.0
2005-03-14 05:30:00+05:30,16.8,17.15,16.3,16.5,2150.0
2005-03-15 05:30:00+05:30,16.8,17.0,16.35,16.5,960.0
2005-03-16 05:30:00+05:30,16.9,17.0,16.7,16.7,1550.0
2005-03-17 05:30:00+05:30,16.6,16.85,16.4,16.5,420.0
2005-03-18 05:30:00+05:30,16.15,16.45,15.9,16.0,570.0
2005-03-21 05:30:00+05:30,16.25,16.25,15.75,15.75,210.0
2005-03-22 05:30:00+05:30,15.95,15.95,15.4,15.45,560.0
2005-03-23 05:30:00+05:30,15.85,15.85,15.2,15.4,570.0
2005-03-24 05:30:00+05:30,15.3,15.7,15.3,15.65,190.0
2005-03-28 05:30:00+05:30,15.55,16.15,15.55,16.05,180.0
2005-03-29 05:30:00+05:30,15.55,15.95,15.55,15.9,500.0
2005-03-30 05:30:00+05:30,15.95,16.5,15.75,16.4,540.0
2005-03-31 05:30:00+05:30,16.4,16.4,16.15,16.25,140.0
2005-04-01 05:30:00+05:30,16.35,16.7,16.35,16.4,200.0
2005-04-04 05:30:00+05:30,16.4,16.6,16.4,16.55,390.0
2005-04-05 05:30:00+05:30,16.3,16.8,16.3,16.4,230.0
2005-04-06 05:30:00+05:30,16.95,16.95,15.95,16.15,1410.0
2005-04-07 05:30:00+05:30,16.4,16.45,16.15,16.15,130.0
2005-04-08 05:30:00+05:30,16.5,16.85,16.4,16.8,1630.0
2005-04-11 05:30:00+05:30,16.4,17.0,16.4,16.7,590.0
2005-04-12 05:30:00+05:30,16.6,17.6,16.6,17.3,1470.0
2005-04-13 05:30:00+05:30,17.2,17.7,17.0,17.4,520.0
2005-04-15 05:30:00+05:30,17.0,17.2,16.7,16.95,480.0
2005-04-18 05:30:00+05:30,16.45,16.8,16.3,16.3,2380.0
2005-04-19 05:30:00+05:30,16.9,16.9,16.3,16.4,410.0
2005-04-20 05:30:00+05:30,16.35,16.7,16.35,16.7,490.0
2005-04-21 05:30:00+05:30,16.5,17.15,16.5,17.15,640.0
2005-04-22 05:30:00+05:30,17.5,18.05,17.45,17.55,810.0
2005-04-25 05:30:00+05:30,17.95,17.95,17.5,17.65,500.0
2005-04-26 05:30:00+05:30,17.6,17.95,17.5,17.95,640.0
2005-04-27 05:30:00+05:30,17.5,18.35,17.5,18.15,690.0
2005-04-28 05:30:00+05:30,17.95,18.15,17.95,18.05,270.0
2005-04-29 05:30:00+05:30,17.8,18.2,17.8,17.95,330.0
2005-05-02 05:30:00+05:30,18.35,18.35,17.5,17.65,310.0
2005-05-03 05:30:00+05:30,17.6,18.0,17.6,17.9,450.0
2005-05-04 05:30:00+05:30,17.95,17.95,17.5,17.6,120.0
2005-05-05 05:30:00+05:30,17.95,17.95,17.65,17.7,360.0
2005-05-06 05:30:00+05:30,17.75,19.25,17.75,18.9,3200.0
2005-05-09 05:30:00+05:30,19.25,19.65,18.85,19.35,2420.0
2005-05-10 05:30:00+05:30,19.8,19.95,19.4,19.5,3080.0
2005-05-11 05:30:00+05:30,19.9,20.2,19.65,20.0,3040.0
2005-05-12 05:30:00+05:30,20.4,20.4,20.0,20.05,1350.0
2005-05-13 05:30:00+05:30,20.35,20.6,19.85,20.3,1650.0
2005-05-16 05:30:00+05:30,19.45,20.9,19.45,20.3,990.0
2005-05-17 05:30:00+05:30,20.8,20.8,20.05,20.05,560.0
2005-05-18 05:30:00+05:30,20.25,20.3,19.75,19.75,470.0
2005-05-19 05:30:00+05:30,20.05,20.1,19.45,19.45,1630.0
2005-05-20 05:30:00+05:30,19.55,20.15,19.55,19.9,530.0
2005-05-23 05:30:00+05:30,19.8,20.3,19.7,19.8,190.0
2005-05-24 05:30:00+05:30,19.75,20.2,19.65,20.05,600.0
2005-05-25 05:30:00+05:30,20.0,20.9,19.9,20.85,3930.0
2005-05-26 05:30:00+05:30,21.1,21.35,20.6,21.25,1210.0
2005-05-27 05:30:00+05:30,21.2,22.45,21.15,22.35,3160.0
2005-05-30 05:30:00+05:30,22.75,23.25,22.05,22.5,2660.0
2005-05-31 05:30:00+05:30,22.15,22.45,22.15,22.35,1530.0
