date,open,high,low,close,volume
2004-09-22 05:30:00+05:30,37.0,37.45,36.8,37.2,7088.0
2004-09-23 05:30:00+05:30,37.0,37.7,36.95,37.1,6416.0
2004-09-24 05:30:00+05:30,37.0,37.25,36.7,36.85,2916.0
2004-09-27 05:30:00+05:30,37.45,37.95,36.65,36.75,6936.0
2004-09-28 05:30:00+05:30,36.8,37.25,36.3,36.5,2762.0
2004-09-29 05:30:00+05:30,35.9,36.95,35.9,36.8,3246.0
2004-09-30 05:30:00+05:30,37.0,37.5,36.3,36.35,5154.0
2004-10-01 05:30:00+05:30,36.85,36.95,35.25,36.1,3918.0
2004-10-04 05:30:00+05:30,36.65,36.95,36.5,36.8,5148.0
2004-10-05 05:30:00+05:30,37.0,37.4,36.75,36.8,3156.0
2004-10-06 05:30:00+05:30,37.0,37.65,37.0,37.55,7216.0
2004-10-07 05:30:00+05:30,37.1,38.25,37.1,37.15,4422.0
2004-10-08 05:30:00+05:30,37.25,37.4,36.65,36.9,3288.0
2004-10-11 05:30:00+05:30,37.75,37.9,36.8,36.9,1972.0
2004-10-12 05:30:00+05:30,37.15,37.15,36.25,36.25,1622.0
2004-10-14 05:30:00+05:30,36.35,36.75,35.55,36.35,2602.0
2004-10-15 05:30:00+05:30,36.7,36.75,35.65,35.7,2230.0
2004-10-18 05:30:00+05:30,36.45,37.75,35.95,37.5,8670.0
2004-10-19 05:30:00+05:30,37.95,38.05,36.95,37.2,4132.0
2004-10-20 05:30:00+05:30,37.45,37.45,36.6,36.85,2106.0
2004-10-21 05:30:00+05:30,36.1,37.2,36.1,36.65,2198.0
2004-10-25 05:30:00+05:30,35.5,36.95,35.5,36.5,3528.0
2004-10-26 05:30:00+05:30,36.1,37.7,36.1,37.6,7056.0
2004-10-27 05:30:00+05:30,37.5,37.75,36.9,37.45,6536.0
2004-10-28 05:30:00+05:30,38.0,38.9,37.4,38.0,12400.0
2004-10-29 05:30:00+05:30,38.75,40.75,38.15,40.5,25348.0
2004-11-01 05:30:00+05:30,40.5,41.25,40.05,40.95,10986.0
2004-11-02 05:30:00+05:30,40.95,45.25,36.45,43.75,29040.0
2004-11-03 05:30:00+05:30,43.85,44.35,43.15,44.25,14450.0
2004-11-04 05:30:00+05:30,44.05,46.6,43.0,45.5,24632.0
2004-11-05 05:30:00+05:30,45.0,46.1,42.5,45.95,13486.0
2004-11-08 05:30:00+05:30,45.4,45.4,43.5,43.65,4968.0
2004-11-09 05:30:00+05:30,44.0,44.35,42.75,42.9,3894.0
2004-11-10 05:30:00+05:30,43.45,44.3,41.8,43.45,6346.0
2004-11-11 05:30:00+05:30,44.45,44.7,43.05,43.05,5238.0
2004-11-12 05:30:00+05:30,44.35,44.35,43.55,43.55,1938.0
2004-11-16 05:30:00+05:30,43.75,44.35,43.05,43.05,2146.0
2004-11-17 05:30:00+05:30,43.95,43.95,42.75,42.95,2592.0
2004-11-18 05:30:00+05:30,42.95,43.45,41.55,42.0,5444.0
2004-11-19 05:30:00+05:30,42.0,42.25,41.05,41.5,3426.0
2004-11-22 05:30:00+05:30,41.95,41.95,40.1,40.5,4338.0
2004-11-23 05:30:00+05:30,41.0,42.7,40.6,41.55,7400.0
2004-11-24 05:30:00+05:30,41.95,42.25,41.8,42.1,5646.0
