date,open,high,low,close,volume
2007-10-15 05:30:00+05:30,20.95,21.1,20.3,20.38,71156.0
2007-10-16 05:30:00+05:30,20.13,20.5,19.68,19.85,106262.0
2007-10-17 05:30:00+05:30,19.5,19.5,17.0,18.55,167958.0
2007-10-18 05:30:00+05:30,18.95,19.75,18.65,18.93,110392.0
2007-10-19 05:30:00+05:30,19.13,19.25,18.43,18.6,41652.0
2007-10-22 05:30:00+05:30,18.3,18.85,18.0,18.68,41952.0
2007-10-23 05:30:00+05:30,18.95,19.15,18.73,18.85,140250.0
2007-10-24 05:30:00+05:30,19.0,19.1,18.5,18.58,63594.0
2007-10-25 05:30:00+05:30,19.0,19.0,18.03,18.2,149886.0
2007-10-26 05:30:00+05:30,18.5,20.43,18.08,19.95,205612.0
2007-10-29 05:30:00+05:30,20.5,20.85,20.0,20.15,131576.0
2007-10-30 05:30:00+05:30,20.75,20.95,20.1,20.5,117630.0
2007-10-31 05:30:00+05:30,20.5,20.7,20.0,20.08,45082.0
2007-11-01 05:30:00+05:30,20.38,20.45,19.4,19.5,66614.0
2007-11-02 05:30:00+05:30,19.0,19.83,18.85,19.68,48574.0
2007-11-05 05:30:00+05:30,19.75,19.85,19.25,19.45,35378.0
2007-11-06 05:30:00+05:30,19.25,19.65,19.13,19.18,77660.0
2007-11-07 05:30:00+05:30,19.4,19.4,18.63,18.78,27774.0
2007-11-08 05:30:00+05:30,18.55,19.13,18.2,19.1,36354.0
2007-11-09 05:30:00+05:30,19.48,19.48,18.75,18.93,4912.0
2007-11-12 05:30:00+05:30,18.83,18.93,18.43,18.48,46590.0
2007-11-13 05:30:00+05:30,18.7,18.88,18.28,18.7,63324.0
2007-11-14 05:30:00+05:30,19.2,19.35,18.88,18.95,32650.0
2007-11-15 05:30:00+05:30,19.0,21.05,18.55,20.35,223476.0
2007-11-16 05:30:00+05:30,20.5,21.2,20.15,20.45,244186.0
2007-11-19 05:30:00+05:30,21.1,22.45,21.0,21.75,453504.0
2007-11-20 05:30:00+05:30,22.25,22.95,21.43,21.9,387574.0
2007-11-21 05:30:00+05:30,21.73,22.13,19.93,20.38,113202.0
2007-11-22 05:30:00+05:30,20.5,20.85,19.18,20.4,118846.0
2007-11-23 05:30:00+05:30,20.6,20.83,19.75,20.03,160440.0
2007-11-26 05:30:00+05:30,20.75,20.75,20.3,20.45,91192.0
2007-11-27 05:30:00+05:30,20.4,24.15,20.15,23.95,773288.0
2007-11-28 05:30:00+05:30,24.45,24.9,21.85,22.0,526526.0
2007-11-29 05:30:00+05:30,22.73,23.05,21.63,21.83,326738.0
2007-11-30 05:30:00+05:30,22.2,23.25,21.75,22.33,453904.0
2007-12-03 05:30:00+05:30,23.0,23.95,22.75,23.53,354470.0
2007-12-04 05:30:00+05:30,23.75,25.7,23.65,25.35,850626.0
2007-12-05 05:30:00+05:30,25.8,26.0,24.33,24.93,495702.0
