date,open,high,low,close,volume
2004-09-16 05:30:00+05:30,35.15,36.3,35.0,36.25,14260.0
2004-09-17 05:30:00+05:30,36.4,37.25,36.3,36.95,29595.0
2004-09-20 05:30:00+05:30,37.3,37.35,36.6,37.15,15185.0
2004-09-21 05:30:00+05:30,37.0,38.4,36.8,38.4,19515.0
2004-09-22 05:30:00+05:30,38.4,39.8,38.1,39.4,36100.0
2004-09-23 05:30:00+05:30,38.4,38.8,36.2,36.2,85495.0
2004-09-24 05:30:00+05:30,36.25,36.25,35.25,35.85,92090.0
2004-09-27 05:30:00+05:30,35.85,35.95,34.8,35.1,35750.0
2004-09-28 05:30:00+05:30,35.05,35.35,34.7,34.8,31740.0
2004-09-29 05:30:00+05:30,35.0,35.3,34.6,34.8,27835.0
2004-09-30 05:30:00+05:30,34.8,35.25,33.45,33.7,111180.0
2004-10-01 05:30:00+05:30,34.2,34.6,33.6,34.4,53820.0
2004-10-04 05:30:00+05:30,35.0,35.05,34.4,34.45,24650.0
2004-10-05 05:30:00+05:30,34.6,35.7,34.2,35.3,84605.0
2004-10-06 05:30:00+05:30,35.7,36.2,34.25,34.45,78310.0
2004-10-07 05:30:00+05:30,34.6,35.05,34.3,34.55,37655.0
2004-10-08 05:30:00+05:30,34.75,34.95,34.45,34.6,25805.0
2004-10-11 05:30:00+05:30,35.0,35.15,34.1,34.2,21430.0
2004-10-12 05:30:00+05:30,34.5,34.5,32.8,32.9,20775.0
2004-10-14 05:30:00+05:30,33.2,33.35,32.65,32.8,13215.0
2004-10-15 05:30:00+05:30,32.9,33.35,32.45,32.7,12810.0
2004-10-18 05:30:00+05:30,33.15,34.0,32.65,32.95,24120.0
2004-10-19 05:30:00+05:30,33.0,33.2,31.45,32.6,60815.0
2004-10-20 05:30:00+05:30,32.5,32.65,32.0,32.1,21810.0
2004-10-21 05:30:00+05:30,32.25,32.35,31.7,31.8,13970.0
2004-10-25 05:30:00+05:30,31.9,31.9,30.8,31.2,15555.0
2004-10-26 05:30:00+05:30,31.25,32.4,31.05,32.0,33625.0
2004-10-27 05:30:00+05:30,32.2,32.3,31.2,31.6,71320.0
2004-10-28 05:30:00+05:30,31.6,31.9,30.2,30.4,59175.0
2004-10-29 05:30:00+05:30,30.65,31.15,30.4,30.75,24975.0
2004-11-01 05:30:00+05:30,30.95,31.3,30.6,31.25,14460.0
2004-11-02 05:30:00+05:30,31.4,31.7,31.3,31.6,15475.0
2004-11-03 05:30:00+05:30,31.9,34.0,31.9,33.95,76065.0
2004-11-04 05:30:00+05:30,34.0,34.8,34.0,34.4,44175.0
2004-11-05 05:30:00+05:30,34.4,35.3,28.0,34.6,34655.0
2004-11-08 05:30:00+05:30,34.8,34.8,33.9,34.1,12420.0
2004-11-09 05:30:00+05:30,34.3,34.3,33.3,33.7,12240.0
2004-11-10 05:30:00+05:30,33.8,34.2,33.6,33.8,13005.0
2004-11-11 05:30:00+05:30,33.9,34.3,33.35,33.4,7335.0
2004-11-12 05:30:00+05:30,33.9,33.95,33.4,33.4,2795.0
2004-11-16 05:30:00+05:30,33.8,34.4,33.5,34.4,25435.0
2004-11-17 05:30:00+05:30,34.5,35.3,34.45,35.25,29655.0
2004-11-18 05:30:00+05:30,35.4,37.45,35.4,37.0,86785.0
2004-11-19 05:30:00+05:30,37.55,37.75,35.6,35.95,60400.0
2004-11-22 05:30:00+05:30,35.6,36.4,34.4,35.7,32320.0
2004-11-23 05:30:00+05:30,35.65,36.2,35.25,35.6,13795.0
2004-11-24 05:30:00+05:30,35.7,36.0,35.2,35.8,13095.0
2004-11-25 05:30:00+05:30,35.9,37.1,35.9,36.3,40930.0
2004-11-29 05:30:00+05:30,36.55,37.95,36.55,37.8,29235.0
2004-11-30 05:30:00+05:30,38.0,39.1,37.95,39.0,40945.0
2004-12-01 05:30:00+05:30,39.0,41.05,37.7,40.6,82170.0
2004-12-02 05:30:00+05:30,40.9,42.9,40.85,42.7,99695.0
2004-12-03 05:30:00+05:30,43.0,45.3,41.85,43.0,154815.0
2004-12-06 05:30:00+05:30,43.6,45.1,43.35,43.4,66255.0
2004-12-07 05:30:00+05:30,43.75,44.8,42.75,44.0,84145.0
