window,candle_tolerance,macd_tolerance,classic_count,neg_macd_count
1,0.1,1.25,59,53
1,0.1,3.25,59,53
1,0.1,5.25,59,53
1,0.3,1.25,67,56
1,0.3,3.25,67,56
1,0.3,5.25,67,56
1,0.5,1.25,72,56
1,0.5,3.25,72,56
1,0.5,5.25,72,56
5,0.1,1.25,59,53
5,0.1,3.25,59,53
5,0.1,5.25,59,53
5,0.3,1.25,67,56
5,0.3,3.25,67,56
5,0.3,5.25,67,56
5,0.5,1.25,72,56
5,0.5,3.25,72,56
5,0.5,5.25,72,56
9,0.1,1.25,59,53
9,0.1,3.25,59,53
9,0.1,5.25,59,53
9,0.3,1.25,67,56
9,0.3,3.25,67,56
9,0.3,5.25,67,56
9,0.5,1.25,72,56
9,0.5,3.25,72,56
9,0.5,5.25,72,56
