alpha,gamma,lookback,n_div_gen,n_div_neg_macd
0.04,2.25,5,58,52
0.04,2.5,5,58,52
0.04,2.75,5,58,52
0.04,3.0,5,58,52
0.04,3.25,5,58,52
0.04,3.5,5,58,52
0.04,3.75,5,58,52
0.04,4.0,5,58,52
0.04,4.25,5,58,52
0.04,4.5,5,58,52
0.04,4.75,5,58,52
0.04,5.0,5,58,52
0.06,2.25,5,58,52
0.06,2.5,5,58,52
0.06,2.75,5,58,52
0.06,3.0,5,58,52
0.06,3.25,5,58,52
0.06,3.5,5,58,52
0.06,3.75,5,58,52
0.06,4.0,5,58,52
0.06,4.25,5,58,52
0.06,4.5,5,58,52
0.06,4.75,5,58,52
0.06,5.0,5,58,52
0.08,2.25,5,59,53
0.08,2.5,5,59,53
0.08,2.75,5,59,53
0.08,3.0,5,59,53
0.08,3.25,5,59,53
0.08,3.5,5,59,53
0.08,3.75,5,59,53
0.08,4.0,5,59,53
0.08,4.25,5,59,53
0.08,4.5,5,59,53
0.08,4.75,5,59,53
0.08,5.0,5,59,53
0.1,2.25,5,59,53
0.1,2.5,5,59,53
0.1,2.75,5,59,53
0.1,3.0,5,59,53
0.1,3.25,5,59,53
0.1,3.5,5,59,53
0.1,3.75,5,59,53
0.1,4.0,5,59,53
0.1,4.25,5,59,53
0.1,4.5,5,59,53
0.1,4.75,5,59,53
0.1,5.0,5,59,53
0.12,2.25,5,61,54
0.12,2.5,5,61,54
0.12,2.75,5,61,54
0.12,3.0,5,61,54
0.12,3.25,5,61,54
0.12,3.5,5,61,54
0.12,3.75,5,61,54
0.12,4.0,5,61,54
0.12,4.25,5,61,54
0.12,4.5,5,61,54
0.12,4.75,5,61,54
0.12,5.0,5,61,54
0.14,2.25,5,61,54
0.14,2.5,5,61,54
0.14,2.75,5,61,54
0.14,3.0,5,61,54
0.14,3.25,5,61,54
0.14,3.5,5,61,54
0.14,3.75,5,61,54
0.14,4.0,5,61,54
0.14,4.25,5,61,54
0.14,4.5,5,61,54
0.14,4.75,5,61,54
0.14,5.0,5,61,54
0.16,2.25,5,61,55
0.16,2.5,5,61,55
0.16,2.75,5,61,55
0.16,3.0,5,61,55
0.16,3.25,5,61,55
0.16,3.5,5,61,55
0.16,3.75,5,61,55
0.16,4.0,5,61,55
0.16,4.25,5,61,55
0.16,4.5,5,61,55
0.16,4.75,5,61,55
0.16,5.0,5,61,55
0.18,2.25,5,62,56
0.18,2.5,5,62,56
0.18,2.75,5,62,56
0.18,3.0,5,62,56
0.18,3.25,5,62,56
0.18,3.5,5,62,56
0.18,3.75,5,62,56
0.18,4.0,5,62,56
0.18,4.25,5,62,56
0.18,4.5,5,62,56
0.18,4.75,5,62,56
0.18,5.0,5,62,56
0.2,2.25,5,64,56
0.2,2.5,5,64,56
0.2,2.75,5,64,56
0.2,3.0,5,64,56
0.2,3.25,5,64,56
0.2,3.5,5,64,56
0.2,3.75,5,64,56
0.2,4.0,5,64,56
0.2,4.25,5,64,56
0.2,4.5,5,64,56
0.2,4.75,5,64,56
0.2,5.0,5,64,56
0.22,2.25,5,64,56
0.22,2.5,5,64,56
0.22,2.75,5,64,56
0.22,3.0,5,64,56
0.22,3.25,5,64,56
0.22,3.5,5,64,56
0.22,3.75,5,64,56
0.22,4.0,5,64,56
0.22,4.25,5,64,56
0.22,4.5,5,64,56
0.22,4.75,5,64,56
0.22,5.0,5,64,56
0.24,2.25,5,66,56
0.24,2.5,5,66,56
0.24,2.75,5,66,56
0.24,3.0,5,66,56
0.24,3.25,5,66,56
0.24,3.5,5,66,56
0.24,3.75,5,66,56
0.24,4.0,5,66,56
0.24,4.25,5,66,56
0.24,4.5,5,66,56
0.24,4.75,5,66,56
0.24,5.0,5,66,56
