alpha,gamma,lookback,n_div_gen,n_div_neg_macd
0.04,2.0,5,198,172
0.04,2.75,5,198,173
0.04,3.5,5,198,173
0.04,4.25,5,198,174
0.04,5.0,5,198,177
0.09,2.0,5,208,177
0.09,2.75,5,208,178
0.09,3.5,5,208,178
0.09,4.25,5,208,179
0.09,5.0,5,208,182
0.14,2.0,5,225,182
0.14,2.75,5,225,183
0.14,3.5,5,225,183
0.14,4.25,5,225,184
0.14,5.0,5,225,187
0.19,2.0,5,234,186
0.19,2.75,5,234,187
0.19,3.5,5,234,187
0.19,4.25,5,234,188
0.19,5.0,5,234,191
0.24,2.0,5,244,189
0.24,2.75,5,244,190
0.24,3.5,5,244,190
0.24,4.25,5,244,191
0.24,5.0,5,244,194
