Type,Date,Candle_Percent,MACD_Percent
CBullDivg_Classic,2017-08-21 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-08-21 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-08-22 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-08-22 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-09-05 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-09-05 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-09-13 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-09-13 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-09-13 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-09-14 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-09-14 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-10-04 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-10-04 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-10-05 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-10-05 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-11-07 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-11-07 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-11-08 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-11-08 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-11-11 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-11-11 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-11-12 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-11-12 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-12-21 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-12-21 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-12-22 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-12-22 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-12-24 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2017-12-24 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2017-12-30 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-01-11 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-01-11 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-01-11 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-01-14 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-01-14 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-01-23 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-02-02 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-02-03 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-02-03 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-02-05 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-02-24 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-02-24 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-02-24 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-02-25 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-02-25 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-02-25 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-02-25 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-02-25 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-03-08 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-03-09 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-03-09 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-03-15 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-03-18 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-03-18 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-03-18 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-03-18 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-03-18 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-03-27 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-03-27 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-03-27 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-03-27 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-03-29 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-03-30 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-03-30 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-04-01 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-04-01 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-04-06 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-04-06 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-04-09 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-04-09 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-04-10 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-04-10 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-04-17 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-05-08 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-05-08 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-05-16 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-05-16 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-05-17 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-05-17 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-05-18 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-05-24 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-05-24 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-05-25 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-05-25 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-05-27 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-05-29 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-05-29 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-06-12 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-06-12 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-06-12 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-06-13 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-06-13 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-06-13 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-06-24 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-06-24 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-06-24 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-06-24 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-06-29 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-07-12 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-07-12 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-07-12 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-07-30 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-07-30 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-07-30 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-08-03 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-08-03 00:00:00+00:00,0.1,3.25
