Type,Date,Candle_Percent,MACD_Percent,Asset_Tag
CBullDivg_Hidden,1985-08-16 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1985-08-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1985-09-13 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1985-09-25 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1985-09-25 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1985-09-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1986-01-23 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1986-05-16 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1986-05-19 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1986-07-18 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1986-07-29 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1986-07-29 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1986-07-30 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1986-08-01 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1986-08-01 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1986-08-04 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1986-09-29 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1986-09-29 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1986-12-24 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1986-12-24 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1987-04-27 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1987-04-27 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1987-05-21 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1987-09-21 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1987-09-21 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1987-09-22 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1987-10-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1987-10-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1987-11-20 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1988-04-04 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1988-04-15 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1988-04-21 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1988-04-21 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1988-05-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1988-05-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1988-05-11 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1988-05-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1988-05-19 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1988-05-19 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1988-05-23 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1988-05-23 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1988-07-19 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1988-07-19 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1988-08-11 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1988-08-15 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1988-08-22 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1988-08-22 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1988-08-23 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1988-09-01 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1988-10-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1988-11-21 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1989-03-01 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1989-03-01 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1989-07-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1989-10-30 00:00:00+00:00,0.4,3.25,sp500_stooq
