date,open,high,low,close,volume,average,barCount
2009-01-09 04:25:00,53.05,55.75,53.05,55.15,18590.0,54.536,86
2009-01-09 05:00:00,55.0,55.05,54.3,54.9,57235.0,54.705,180
2009-01-09 06:00:00,54.8,55.6,54.7,55.6,37235.0,55.22,219
2009-01-09 07:00:00,55.6,55.6,54.2,55.3,34375.0,55.077,198
2009-01-09 08:00:00,55.3,56.0,54.9,55.7,44220.0,55.454,204
2009-01-09 09:00:00,55.7,55.7,54.4,54.85,48475.0,54.874,208
2009-01-12 04:25:00,53.6,53.6,53.3,53.3,3445.0,53.508,11
2009-01-12 05:00:00,53.3,53.8,53.0,53.15,52875.0,53.37,193
2009-01-12 06:00:00,53.05,53.6,52.1,52.3,63185.0,53.004,216
2009-01-12 07:00:00,52.4,52.6,52.05,52.2,100710.0,52.294,210
2009-01-12 08:00:00,52.15,52.75,51.9,52.15,113475.0,52.469,226
2009-01-12 09:00:00,52.0,52.3,50.8,51.4,67435.0,51.224,223
2009-01-13 04:25:00,50.4,51.75,50.4,51.45,71645.0,51.124,278
2009-01-13 05:00:00,51.5,51.8,50.65,50.65,78655.0,51.29,298
2009-01-13 06:00:00,50.6,51.0,50.3,50.4,119360.0,50.805,311
2009-01-13 07:00:00,50.3,50.55,49.4,50.2,178500.0,50.055,453
2009-01-13 08:00:00,50.2,50.3,49.2,50.15,212215.0,49.784,429
2009-01-13 09:00:00,50.1,50.6,49.6,50.2,173180.0,50.043,457
2009-01-14 04:25:00,48.25,51.65,48.25,51.3,116065.0,51.177,268
2009-01-14 05:00:00,51.3,51.75,51.05,51.1,95365.0,51.334,394
2009-01-14 06:00:00,51.05,51.75,50.85,50.95,180310.0,51.251,439
2009-01-14 07:00:00,50.95,51.0,49.2,50.0,145030.0,50.222,439
2009-01-14 08:00:00,50.0,50.2,49.3,49.55,183625.0,49.752,444
2009-01-14 09:00:00,49.5,50.5,49.3,50.5,203060.0,49.86,460
2009-01-15 04:25:00,49.0,49.0,48.0,48.55,82640.0,48.619,286
2009-01-15 05:00:00,48.55,48.55,47.0,47.05,255735.0,47.662,492
2009-01-15 06:00:00,47.05,47.6,46.65,47.6,142060.0,47.155,475
2009-01-15 07:00:00,47.55,47.85,47.2,47.5,134830.0,47.45,438
2009-01-15 08:00:00,47.5,47.7,47.1,47.2,167255.0,47.347,445
2009-01-15 09:00:00,47.2,47.8,47.2,47.65,152220.0,47.564,451
2009-01-16 04:25:00,48.0,48.6,47.8,48.55,70810.0,48.337,280
2009-01-16 05:00:00,48.55,48.95,48.2,48.7,103230.0,48.557,404
2009-01-16 06:00:00,48.8,49.35,48.6,49.25,55280.0,48.788,333
2009-01-16 07:00:00,49.25,49.3,48.6,48.7,66760.0,48.883,379
2009-01-16 08:00:00,48.7,48.8,47.65,48.0,174760.0,48.267,447
