date,open,high,low,close,volume,average,barCount
2008-06-11 04:25:00,57.0,59.5,56.2,58.45,1102500.0,58.294,782
2008-06-11 06:00:00,58.45,59.25,58.25,58.75,1264800.0,58.4845,780
2008-06-11 08:00:00,58.85,60.5,58.55,59.25,1045040.0,59.3315,906
2008-06-12 04:25:00,57.8,57.8,56.1,57.2,884660.0,56.7385,799
2008-06-12 06:00:00,57.25,58.15,56.65,58.05,1096560.0,57.264,996
2008-06-12 08:00:00,58.15,58.7,57.4,57.6,909320.0,58.00025,1016
2008-06-13 04:25:00,57.6,58.7,57.25,57.4,561940.0,57.7455,759
2008-06-13 06:00:00,57.4,57.6,56.3,56.35,454720.0,57.05525,665
2008-06-13 08:00:00,56.35,56.7,55.7,56.25,530040.0,56.27775,949
2008-06-16 04:25:00,56.9,58.5,56.9,57.5,697400.0,57.76375,769
2008-06-16 06:00:00,57.5,57.7,56.85,56.9,1088740.0,57.20425,883
2008-06-16 08:00:00,56.95,57.65,56.5,57.3,1225920.0,57.18675,955
2008-06-17 04:25:00,57.5,59.05,57.5,58.7,1845940.0,58.36075,768
2008-06-17 06:00:00,58.75,60.85,58.6,60.45,685860.0,60.181,990
2008-06-17 08:00:00,60.45,61.25,60.0,60.5,639140.0,60.792,978
2008-06-18 04:25:00,61.0,61.0,58.85,59.0,516360.0,59.438,789
2008-06-18 06:00:00,58.95,59.45,58.5,58.55,705080.0,59.05975,935
2008-06-18 08:00:00,58.6,59.2,58.15,58.25,1027900.0,58.54375,962
2008-06-19 04:25:00,57.0,57.75,56.55,56.6,401920.0,57.29,576
2008-06-19 06:00:00,56.55,56.65,55.6,56.0,464920.0,55.934,845
2008-06-19 08:00:00,56.0,56.4,55.8,56.1,856300.0,56.04575,925
2008-06-20 04:25:00,56.25,56.9,54.85,55.7,322460.0,55.5275,785
2008-06-20 06:00:00,55.7,56.1,54.65,55.15,676300.0,55.0895,963
2008-06-20 08:00:00,55.2,55.2,54.75,55.0,656400.0,54.91025,926
2008-06-23 04:25:00,53.75,55.05,53.75,54.35,898480.0,54.399,782
2008-06-23 06:00:00,54.35,55.95,54.3,55.35,528860.0,55.22525,913
2008-06-23 08:00:00,55.3,55.45,54.55,54.7,587360.0,54.956,930
2008-06-24 04:25:00,54.0,55.45,54.0,55.1,310760.0,55.02925,733
2008-06-24 06:00:00,55.05,55.35,54.15,54.5,473380.0,54.799,811
2008-06-24 08:00:00,54.6,54.6,52.1,52.1,462960.0,53.6105,918
2008-06-25 04:25:00,52.0,52.8,50.75,52.75,618980.0,51.585,765
2008-06-25 06:00:00,52.75,53.95,52.75,53.1,1266640.0,53.195,911
2008-06-25 08:00:00,53.1,54.0,52.8,53.35,1631840.0,53.45275,972
2008-06-26 04:25:00,53.35,54.95,53.35,54.5,752400.0,54.3675,796
2008-06-26 06:00:00,54.4,54.4,53.3,53.5,1103620.0,53.69075,910
2008-06-26 08:00:00,53.55,53.8,52.2,52.25,1224380.0,53.00475,961
2008-06-27 04:25:00,51.0,51.0,49.85,50.15,777140.0,50.23225,778
2008-06-27 06:00:00,50.2,51.0,50.1,50.4,646420.0,50.49125,924
2008-06-27 08:00:00,50.35,51.7,50.15,50.7,1155840.0,51.03825,964
2008-06-30 04:25:00,50.85,50.85,50.0,50.05,596900.0,50.2435,698
2008-06-30 06:00:00,50.05,50.45,49.85,50.05,606480.0,50.0415,495
2008-06-30 08:00:00,50.0,50.7,49.8,50.05,375620.0,50.1435,365
2008-07-01 04:25:00,50.1,50.25,49.5,49.85,587000.0,49.97075,394
2008-07-01 06:00:00,49.85,50.05,48.85,49.4,1073520.0,49.47675,895
2008-07-01 08:00:00,49.4,49.45,47.5,47.65,1480880.0,48.67725,926
2008-07-02 04:25:00,48.95,49.35,47.9,48.25,370100.0,48.60625,602
2008-07-02 06:00:00,48.25,50.0,48.15,49.6,260160.0,48.95875,394
2008-07-02 08:00:00,49.65,52.5,49.6,51.45,1074760.0,51.1655,860
2008-07-03 04:25:00,50.75,50.75,48.25,49.5,615120.0,49.33575,757
2008-07-03 06:00:00,49.5,49.65,47.25,48.45,1204640.0,49.01075,896
2008-07-03 08:00:00,48.4,49.75,48.3,48.6,1713900.0,49.1755,961
2008-07-04 04:25:00,48.9,50.35,48.9,50.25,938240.0,49.723,733
2008-07-04 06:00:00,50.2,50.2,49.15,49.8,1317180.0,49.7155,904
2008-07-04 08:00:00,49.7,50.25,49.65,49.75,1701460.0,49.977,957
2008-07-07 04:25:00,50.2,52.5,50.2,52.0,956280.0,51.32325,790
2008-07-07 06:00:00,52.0,52.15,49.8,50.4,834920.0,50.811,993
2008-07-07 08:00:00,50.5,50.7,49.9,50.3,882980.0,50.376,975
2008-07-08 04:25:00,49.5,49.5,48.1,48.25,567420.0,48.45575,760
2008-07-08 06:00:00,48.25,50.25,48.0,49.15,611920.0,48.89525,975
2008-07-08 08:00:00,49.2,51.45,49.0,50.3,1052760.0,50.09625,968
2008-07-09 04:25:00,51.7,52.7,51.0,52.6,616080.0,52.23475,804
2008-07-09 06:00:00,52.55,52.65,51.6,51.75,1458300.0,52.1605,974
2008-07-09 08:00:00,51.75,53.35,51.25,53.1,1274480.0,52.3615,1012
2008-07-10 04:25:00,52.45,53.8,51.55,53.05,609920.0,53.31275,808
2008-07-10 06:00:00,53.05,53.2,51.7,52.8,511280.0,52.53075,1016
2008-07-10 08:00:00,52.85,53.0,51.9,52.55,753060.0,52.436,1019
2008-07-11 04:25:00,52.6,52.7,51.75,52.5,1004480.0,52.24275,727
2008-07-11 06:00:00,52.55,53.5,52.45,52.65,811660.0,52.6775,973
2008-07-11 08:00:00,52.65,53.7,52.25,53.65,719680.0,52.852,1001
2008-07-14 04:25:00,53.65,53.65,51.15,51.5,433080.0,51.56025,792
2008-07-14 06:00:00,51.45,52.1,50.65,52.0,771960.0,51.3885,984
2008-07-14 08:00:00,52.0,52.45,51.35,51.6,675700.0,51.9015,987
2008-07-15 04:25:00,49.9,49.9,47.85,47.9,684100.0,48.88175,802
2008-07-15 06:00:00,47.9,47.95,46.0,46.55,907540.0,46.92775,1557
2008-07-15 08:00:00,46.55,46.75,45.6,45.65,1479020.0,46.1995,1751
2008-07-16 04:25:00,45.75,47.0,45.75,46.45,745840.0,46.632,1344
2008-07-16 06:00:00,46.45,46.7,45.85,46.35,742680.0,46.31125,1158
2008-07-16 08:00:00,46.35,46.5,44.65,45.55,644140.0,45.63075,1000
2008-07-17 04:25:00,47.9,48.75,47.6,48.25,709620.0,47.8345,808
2008-07-17 06:00:00,48.25,48.3,47.6,47.9,1441820.0,47.95375,971
2008-07-17 08:00:00,47.95,48.2,47.5,47.8,1370300.0,47.93325,977
2008-07-18 04:25:00,50.65,51.45,49.5,51.1,836960.0,50.17675,805
2008-07-18 06:00:00,51.05,52.15,50.85,51.7,1352200.0,51.639,1537
2008-07-18 08:00:00,51.7,51.9,51.35,51.65,1958900.0,51.656,1450
2008-07-21 04:25:00,52.5,53.7,52.25,53.65,469920.0,52.98825,799
2008-07-21 06:00:00,53.7,53.85,52.85,52.95,564220.0,53.36325,972
2008-07-21 08:00:00,53.0,54.7,52.95,54.1,952420.0,53.45425,970
2008-07-22 04:25:00,54.2,58.75,53.75,58.1,547600.0,57.054,996
2008-07-22 06:00:00,58.05,58.1,54.9,55.5,1376840.0,56.6535,1734
2008-07-22 08:00:00,55.5,55.7,54.55,55.0,1914360.0,55.14125,1715
2008-07-23 04:25:00,56.8,60.35,56.8,58.8,1240800.0,59.4075,1183
2008-07-23 06:00:00,58.8,60.0,58.7,59.6,1198600.0,59.11925,1011
2008-07-23 08:00:00,59.6,60.75,59.55,60.6,1474640.0,59.88975,1006
2008-07-24 04:25:00,62.2,62.2,59.85,61.1,481000.0,61.29225,805
2008-07-24 06:00:00,61.1,61.25,59.45,59.75,546840.0,60.30825,1001
2008-07-24 08:00:00,59.75,61.45,59.3,61.2,797640.0,59.92425,996
2008-07-25 04:25:00,58.0,59.0,56.1,56.6,696600.0,56.8555,982
2008-07-25 06:00:00,56.6,56.75,55.9,56.4,1521760.0,56.32825,1454
2008-07-25 08:00:00,56.35,56.5,56.2,56.35,1844840.0,56.38125,1145
2008-07-28 04:25:00,56.25,57.5,56.25,56.75,485080.0,56.79675,784
2008-07-28 06:00:00,56.8,56.8,55.5,56.5,834120.0,56.47575,974
2008-07-28 08:00:00,56.5,57.25,56.1,56.25,1111620.0,56.5025,1478
2008-07-29 04:25:00,54.75,55.6,54.15,55.55,656600.0,55.1575,1100
2008-07-29 06:00:00,55.6,55.65,50.15,50.9,789540.0,51.9145,1220
2008-07-29 08:00:00,50.85,51.95,50.75,51.25,1890280.0,51.2135,1768
2008-07-30 04:25:00,54.0,54.7,52.5,54.65,905960.0,54.04325,1352
2008-07-30 06:00:00,54.65,55.15,54.15,54.55,1336040.0,54.658,1653
