date,open,high,low,close,volume,average,barCount
2008-06-11 04:25:00,129.0,132.45,128.25,132.0,152890.0,130.8675,808
2008-06-11 06:00:00,131.9,132.15,130.65,131.45,229750.0,131.467,995
2008-06-11 08:00:00,131.45,132.0,129.85,131.9,225980.0,130.848,1000
2008-06-12 04:25:00,127.2,127.7,125.15,127.2,171080.0,127.068,793
2008-06-12 06:00:00,127.2,131.9,127.0,130.95,320470.0,129.671,1218
2008-06-12 08:00:00,131.0,134.9,130.05,133.4,367010.0,131.3695,1510
2008-06-13 04:25:00,132.5,135.9,132.5,135.3,366070.0,134.513,1004
2008-06-13 06:00:00,135.4,135.9,133.85,134.3,355600.0,134.8375,1143
2008-06-13 08:00:00,134.3,134.5,132.7,132.7,302560.0,133.7765,1017
2008-06-16 04:25:00,135.5,136.5,135.0,135.1,203520.0,135.674,794
2008-06-16 06:00:00,135.1,135.4,133.9,134.0,238260.0,134.4555,967
2008-06-16 08:00:00,134.0,134.7,131.7,131.9,341700.0,133.5685,973
2008-06-17 04:25:00,131.9,135.55,131.9,135.2,207110.0,133.9055,794
2008-06-17 06:00:00,135.3,137.4,134.9,136.65,243460.0,136.4145,1015
2008-06-17 08:00:00,136.7,139.4,136.65,138.6,254650.0,138.0625,1019
2008-06-18 04:25:00,139.0,139.5,136.45,136.9,185440.0,137.1315,797
2008-06-18 06:00:00,136.9,138.25,135.1,135.2,233520.0,136.7555,1011
2008-06-18 08:00:00,135.2,135.95,134.6,134.6,336790.0,135.2795,1015
2008-06-19 04:25:00,132.5,133.75,130.5,130.9,216730.0,131.5055,804
2008-06-19 06:00:00,130.9,130.95,129.0,129.7,230050.0,129.7485,1012
2008-06-19 08:00:00,129.65,130.55,129.5,130.0,274140.0,130.103,1006
2008-06-20 04:25:00,132.5,132.5,127.8,128.9,195290.0,128.8245,804
2008-06-20 06:00:00,129.0,129.2,125.0,126.1,269290.0,126.6565,1014
2008-06-20 08:00:00,126.15,126.55,124.1,124.9,225670.0,125.603,1014
2008-06-23 04:25:00,123.1,124.8,120.45,121.5,175290.0,122.658,810
2008-06-23 06:00:00,121.5,123.6,120.9,122.1,233500.0,122.284,1008
2008-06-23 08:00:00,122.2,123.6,119.1,121.0,309370.0,121.7675,1020
2008-06-24 04:25:00,120.45,123.7,120.45,123.35,162590.0,122.88,804
2008-06-24 06:00:00,123.35,124.3,121.65,121.75,282440.0,123.0695,997
2008-06-24 08:00:00,122.0,123.7,119.85,120.2,325480.0,121.0885,1022
2008-06-25 04:25:00,119.5,119.85,115.0,119.35,197180.0,118.5855,807
2008-06-25 06:00:00,119.35,121.7,118.7,119.8,262660.0,120.255,1018
2008-06-25 08:00:00,119.9,121.15,119.1,119.5,420660.0,119.8345,1020
2008-06-26 04:25:00,123.0,123.0,120.1,120.5,184910.0,121.3575,802
2008-06-26 06:00:00,120.3,120.5,118.8,119.6,376970.0,119.6205,1003
2008-06-26 08:00:00,119.7,123.85,119.0,123.5,330380.0,120.5225,1014
2008-06-27 04:25:00,118.5,118.8,116.25,116.4,191670.0,117.3465,807
2008-06-27 06:00:00,116.4,118.6,116.4,117.6,300920.0,117.456,1018
2008-06-27 08:00:00,117.6,118.05,115.1,116.3,402740.0,117.2035,1001
2008-06-30 04:25:00,117.7,117.7,114.6,115.0,160870.0,115.661,800
2008-06-30 06:00:00,114.95,115.45,113.6,114.15,228570.0,114.601,990
2008-06-30 08:00:00,114.2,114.8,110.15,110.7,369960.0,112.77,987
2008-07-01 04:25:00,110.7,113.3,110.55,111.7,178210.0,111.66,806
2008-07-01 06:00:00,111.65,112.2,110.15,110.7,276610.0,110.8275,1017
2008-07-01 08:00:00,110.6,111.4,101.1,101.3,231890.0,107.438,1016
2008-07-02 04:25:00,102.7,105.0,102.1,103.45,179940.0,103.3955,810
2008-07-02 06:00:00,103.55,107.2,103.2,105.2,295180.0,104.988,1022
2008-07-02 08:00:00,105.1,109.0,104.7,109.0,286130.0,106.3855,1017
2008-07-03 04:25:00,107.8,107.8,104.15,106.1,281880.0,105.9285,802
2008-07-03 06:00:00,106.1,110.45,105.55,107.9,309860.0,107.0705,1018
2008-07-03 08:00:00,107.9,113.35,106.0,106.0,376940.0,109.388,1022
2008-07-04 04:25:00,109.5,112.3,107.95,111.9,237080.0,110.61,807
2008-07-04 06:00:00,111.9,112.05,108.85,111.9,285670.0,110.62,1019
2008-07-04 08:00:00,111.8,113.95,110.15,112.0,291040.0,111.8725,1020
2008-07-07 04:25:00,113.0,119.15,113.0,118.6,192780.0,116.795,809
2008-07-07 06:00:00,118.55,118.9,117.15,117.35,268910.0,118.075,1015
2008-07-07 08:00:00,117.4,118.4,116.25,118.1,295770.0,117.311,1009
