date,open,high,low,close,volume,average,barCount
2009-01-09 04:25:00,37.0,37.8,35.5,37.2,62695.0,36.67,493
2009-01-09 08:00:00,37.45,37.9,37.0,37.85,30130.0,37.36,237
2009-01-12 04:25:00,36.5,37.4,36.3,36.5,33379.0,36.84,303
2009-01-12 08:00:00,36.4,36.7,36.05,36.2,30200.0,36.29,210
2009-01-13 04:25:00,36.45,36.9,35.75,36.05,33241.0,36.335,335
2009-01-13 08:00:00,36.1,36.65,35.0,36.45,47969.0,35.8,212
2009-01-14 04:25:00,36.95,38.3,36.8,37.75,40197.0,37.675,406
2009-01-14 08:00:00,37.95,38.5,37.7,38.5,29468.0,38.175,189
2009-01-15 04:25:00,37.6,38.0,36.0,37.45,36859.0,37.405,412
2009-01-15 08:00:00,37.5,39.3,36.6,37.3,47332.0,37.44,397
2009-01-16 04:25:00,38.4,39.0,37.8,37.9,68301.0,38.41,558
2009-01-16 08:00:00,37.85,38.3,37.65,37.65,30894.0,38.0,260
2009-01-19 04:25:00,38.4,38.6,37.35,37.65,26580.0,37.87,313
2009-01-19 08:00:00,37.65,37.95,37.3,37.55,17791.0,37.675,207
2009-01-20 04:25:00,36.65,37.95,36.15,37.35,45856.0,37.405,352
2009-01-20 08:00:00,37.35,37.6,37.1,37.45,19437.0,37.315,178
2009-01-21 04:25:00,36.0,37.25,36.0,36.4,27572.0,36.805,330
2009-01-21 08:00:00,36.4,36.8,35.5,35.5,15517.0,36.15,196
2009-01-22 04:25:00,36.5,36.8,35.05,35.5,70145.0,36.165,456
2009-01-22 08:00:00,35.5,35.5,34.6,34.65,29856.0,35.135,234
2009-01-23 04:25:00,34.1,35.0,33.55,33.75,49155.0,34.315,383
2009-01-23 08:00:00,33.75,33.85,32.65,32.95,36349.0,33.035,260
2009-01-29 04:25:00,33.5,33.5,32.7,32.85,48821.0,33.165,417
2009-01-29 08:00:00,32.75,33.0,32.5,32.9,64709.0,32.745,248
2009-01-30 04:25:00,32.9,33.15,32.35,33.0,52262.0,32.91,312
2009-01-30 08:00:00,33.0,34.0,32.6,33.3,61353.0,33.2,284
2009-02-02 04:25:00,32.75,33.95,32.75,33.15,40839.0,33.44,377
2009-02-02 08:00:00,33.1,33.25,32.1,32.3,35018.0,32.91,186
2009-02-03 04:25:00,32.8,33.3,32.55,32.7,45492.0,32.97,280
2009-02-03 08:00:00,32.75,32.95,31.55,32.1,59148.0,32.075,220
2009-02-04 04:25:00,32.0,32.5,31.9,32.2,29567.0,32.205,309
2009-02-04 08:00:00,32.3,32.5,32.0,32.0,22841.0,32.075,175
2009-02-05 04:25:00,32.2,32.9,31.9,32.1,46861.0,32.405,365
2009-02-05 08:00:00,32.1,32.5,32.05,32.35,24613.0,32.25,152
2009-02-06 04:25:00,32.6,33.7,32.25,32.9,26405.0,32.825,296
2009-02-06 08:00:00,33.0,33.7,32.55,32.65,25156.0,33.145,266
2009-02-09 04:25:00,33.0,33.95,33.0,33.6,64070.0,33.645,376
2009-02-09 08:00:00,33.55,34.75,33.5,34.5,91473.0,33.97,280
2009-02-10 04:25:00,35.0,35.75,34.25,35.0,63445.0,34.98,472
2009-02-10 08:00:00,35.0,35.0,34.05,34.4,25325.0,34.54,252
2009-02-11 04:25:00,33.95,34.8,33.25,34.7,43010.0,34.225,319
2009-02-11 08:00:00,34.6,35.4,34.5,35.25,26321.0,34.98,217
2009-02-12 04:25:00,35.4,36.8,34.7,35.85,39014.0,35.555,355
2009-02-12 08:00:00,35.85,35.85,34.6,35.1,36419.0,35.19,211
2009-02-13 04:25:00,34.95,35.9,34.95,35.15,31424.0,35.48,232
2009-02-13 08:00:00,35.3,35.3,34.1,34.5,35656.0,34.665,232
2009-02-16 04:25:00,34.45,35.0,33.15,33.3,32830.0,34.31,306
2009-02-16 08:00:00,33.4,33.85,33.1,33.1,10632.0,33.46,136
2009-02-17 04:25:00,33.05,33.4,31.75,32.4,37624.0,32.49,317
2009-02-17 08:00:00,32.3,32.7,32.05,32.1,16843.0,32.335,195
2009-02-18 04:25:00,31.85,32.8,31.6,32.65,24387.0,32.26,273
2009-02-18 08:00:00,32.75,32.8,31.6,31.65,22716.0,31.94,178
2009-02-19 04:25:00,32.3,32.7,31.4,31.5,46465.0,31.985,308
2009-02-19 08:00:00,31.45,31.6,31.1,31.5,26160.0,31.45,223
2009-02-20 04:25:00,31.0,31.45,30.65,31.05,39838.0,31.115,357
2009-02-20 08:00:00,31.0,31.7,30.75,31.7,23594.0,31.1,191
2009-02-24 04:25:00,30.25,31.2,30.0,30.65,44561.0,30.315,328
2009-02-24 08:00:00,30.7,30.95,30.5,30.6,29167.0,30.695,182
2009-02-25 04:25:00,31.5,31.6,31.2,31.4,50439.0,31.36,223
2009-02-25 08:00:00,31.4,31.55,30.6,31.0,39666.0,31.115,166
2009-02-26 04:25:00,31.25,31.25,29.65,30.35,60533.0,30.055,355
2009-02-26 08:00:00,30.35,30.75,29.85,29.9,83778.0,30.15,215
2009-02-27 04:25:00,30.0,30.35,29.6,29.9,40557.0,29.805,250
2009-02-27 08:00:00,29.9,30.5,29.7,30.2,24381.0,30.11,170
2009-03-02 04:25:00,30.0,30.1,29.3,29.45,29225.0,29.52,232
2009-03-02 08:00:00,29.35,29.5,28.3,28.3,21505.0,28.865,190
2009-03-03 04:25:00,28.5,29.25,28.0,28.7,31695.0,28.57,299
2009-03-03 08:00:00,28.7,28.9,28.4,28.5,15836.0,28.58,129
2009-03-04 04:25:00,28.9,29.3,28.3,28.8,21529.0,28.77,261
2009-03-04 08:00:00,28.8,28.9,28.0,28.05,12468.0,28.43,133
2009-03-05 04:25:00,28.5,29.45,27.6,27.75,32115.0,28.415,286
2009-03-05 08:00:00,27.9,27.9,27.0,27.25,21182.0,27.41,177
2009-03-06 04:25:00,26.15,29.15,26.15,28.25,74778.0,27.995,445
2009-03-06 08:00:00,28.35,28.75,28.1,28.5,20286.0,28.46,258
2009-03-09 04:25:00,27.85,28.6,27.6,28.4,47020.0,28.17,260
2009-03-09 08:00:00,28.4,28.45,27.95,27.95,25404.0,28.17,161
2009-03-12 04:25:00,30.0,30.0,28.55,29.2,36958.0,29.085,318
2009-03-12 08:00:00,29.35,29.5,28.6,28.6,26558.0,29.15,193
2009-03-13 04:25:00,29.25,30.0,29.25,29.75,28528.0,29.74,285
2009-03-13 08:00:00,29.75,29.9,29.45,29.8,26856.0,29.645,153
2009-03-16 04:25:00,29.9,30.55,29.8,30.15,33094.0,29.985,229
2009-03-16 08:00:00,30.15,30.2,29.9,30.05,7186.0,30.1,45
2009-03-17 04:25:00,30.1,32.0,30.1,30.3,84446.0,31.025,478
2009-03-17 08:00:00,30.3,30.55,29.9,30.25,35772.0,30.215,203
2009-03-18 04:25:00,31.4,31.8,30.8,31.25,57173.0,31.255,336
2009-03-18 08:00:00,31.2,31.4,30.5,30.7,20814.0,30.895,182
2009-03-19 04:25:00,31.2,31.2,30.1,30.25,26248.0,30.73,206
2009-03-19 08:00:00,30.35,30.9,30.25,30.9,29808.0,30.405,128
2009-03-20 04:25:00,30.9,30.95,30.25,30.75,21407.0,30.675,190
2009-03-20 08:00:00,30.75,30.9,30.15,30.2,21015.0,30.56,133
2009-03-23 04:25:00,30.7,31.5,30.5,31.4,37634.0,31.005,293
2009-03-23 08:00:00,31.4,31.5,30.9,31.45,25522.0,31.26,199
2009-03-24 04:25:00,31.8,32.8,31.6,32.0,115156.0,32.13,488
2009-03-24 08:00:00,31.9,32.0,30.4,30.5,46057.0,31.22,252
2009-03-25 04:25:00,30.5,31.4,30.35,30.65,66737.0,30.83,305
2009-03-25 08:00:00,30.6,31.4,30.6,31.15,33387.0,30.975,170
2009-03-26 04:25:00,31.4,32.15,31.35,31.85,80128.0,31.78,396
2009-03-26 08:00:00,31.85,34.25,31.7,34.15,90099.0,32.205,267
2009-03-27 04:25:00,34.0,35.45,34.0,34.65,122729.0,34.55,702
2009-03-27 08:00:00,34.65,34.8,34.1,34.3,66612.0,34.445,390
2009-03-30 04:25:00,34.2,34.2,31.7,31.85,68090.0,32.93,465
2009-03-30 08:00:00,31.8,32.0,31.5,32.0,29759.0,31.825,209
2009-03-31 04:25:00,31.65,32.85,31.1,32.25,113683.0,31.9,452
2009-03-31 08:00:00,32.2,32.95,32.0,32.25,2057425.0,32.43,226
