date,open,high,low,close,volume,average,barCount
2009-01-09 04:25:00,13.45,13.7,12.8,13.15,71827.0,13.216,332
2009-01-09 08:00:00,13.15,13.45,12.9,13.45,35478.0,13.201,146
2009-01-12 04:25:00,13.05,13.3,13.0,13.15,38472.0,13.156,164
2009-01-12 08:00:00,13.15,13.2,13.0,13.15,22286.0,13.069,90
2009-01-13 04:25:00,12.9,13.4,12.9,13.3,41154.0,13.22,167
2009-01-13 08:00:00,13.2,13.2,12.85,12.9,24137.0,13.008,107
2009-01-14 04:25:00,13.0,13.4,12.9,13.0,40203.0,13.077,170
2009-01-14 08:00:00,12.95,13.25,12.85,13.25,32904.0,13.072,117
2009-01-15 04:25:00,12.45,13.05,12.45,12.9,56317.0,12.852,218
2009-01-15 08:00:00,12.9,13.0,12.65,13.0,27525.0,12.848,107
2009-01-16 04:25:00,13.15,13.15,12.45,12.6,53133.0,12.937,204
2009-01-16 08:00:00,12.65,12.85,12.4,12.45,32584.0,12.64,124
2009-01-19 04:25:00,12.7,13.0,12.7,12.9,41698.0,12.828,157
2009-01-19 08:00:00,12.95,13.3,12.9,13.0,44905.0,13.043,143
2009-01-20 04:25:00,12.5,12.9,12.5,12.8,32185.0,12.796,123
2009-01-20 08:00:00,12.8,12.85,12.7,12.8,16027.0,12.773,75
2009-01-21 04:25:00,12.15,13.15,12.15,12.7,36933.0,12.794,177
2009-01-21 08:00:00,12.65,12.75,12.2,12.35,18601.0,12.536,91
2009-01-22 04:25:00,12.45,12.65,12.0,12.1,38417.0,12.392,189
2009-01-22 08:00:00,12.1,12.3,12.0,12.1,28319.0,12.114,117
2009-01-23 04:25:00,11.65,12.2,11.65,11.75,52829.0,11.875,196
2009-01-23 08:00:00,11.7,11.8,11.65,11.65,27579.0,11.719,127
2009-01-29 04:25:00,12.5,12.85,12.0,12.05,131396.0,12.375,358
2009-01-29 08:00:00,12.05,12.1,11.75,11.9,81694.0,11.893,228
2009-01-30 04:25:00,11.4,12.0,11.4,11.55,154105.0,11.663,381
2009-01-30 08:00:00,11.55,11.85,11.5,11.7,96889.0,11.594,251
2009-02-02 04:25:00,11.65,12.15,11.45,11.5,146945.0,11.771,357
2009-02-02 08:00:00,11.5,11.55,11.2,11.25,85640.0,11.398,219
2009-02-03 04:25:00,11.5,11.7,11.0,11.15,115987.0,11.252,370
2009-02-03 08:00:00,11.05,11.15,11.0,11.1,67424.0,11.078,241
2009-02-04 04:25:00,11.3,12.45,11.1,12.2,146408.0,11.879,506
2009-02-04 08:00:00,12.2,12.2,11.7,11.75,74099.0,11.921,342
2009-02-05 04:25:00,12.15,12.7,12.05,12.15,144199.0,12.268,459
2009-02-05 08:00:00,12.1,12.15,11.8,11.8,57063.0,11.989,223
2009-02-06 04:25:00,11.8,12.85,11.8,12.3,89176.0,12.298,414
2009-02-06 08:00:00,12.3,12.4,12.05,12.1,41797.0,12.21,189
2009-02-09 04:25:00,11.75,12.6,11.75,12.3,70778.0,12.369,252
2009-02-09 08:00:00,12.25,12.45,12.25,12.4,39357.0,12.395,138
2009-02-10 04:25:00,12.15,12.65,12.15,12.55,61568.0,12.537,285
2009-02-10 08:00:00,12.55,12.55,12.2,12.35,45686.0,12.323,144
2009-02-11 04:25:00,12.2,12.25,12.0,12.2,41180.0,12.183,177
2009-02-11 08:00:00,12.15,12.4,12.15,12.4,35357.0,12.29,128
2009-02-12 04:25:00,12.1,13.25,12.1,12.95,127805.0,12.899,466
2009-02-12 08:00:00,12.9,13.65,12.8,13.0,84025.0,13.157,261
2009-02-13 04:25:00,13.5,13.7,13.15,13.3,162903.0,13.437,494
2009-02-13 08:00:00,13.35,13.45,13.1,13.15,81713.0,13.262,228
2009-02-16 04:25:00,13.65,13.65,12.55,12.65,104494.0,12.924,284
2009-02-16 08:00:00,12.65,12.7,12.35,12.4,40714.0,12.482,117
2009-02-17 04:25:00,12.1,12.25,12.0,12.1,48758.0,12.093,199
2009-02-17 08:00:00,12.05,12.2,12.05,12.2,24854.0,12.095,97
2009-02-18 04:25:00,11.8,12.3,11.8,12.15,63416.0,12.048,219
2009-02-18 08:00:00,12.2,12.25,11.9,11.95,32615.0,12.105,127
2009-02-19 04:25:00,11.85,12.45,11.8,11.85,90205.0,11.985,230
2009-02-19 08:00:00,11.85,11.85,11.45,11.5,68328.0,11.65,181
2009-02-20 04:25:00,11.5,11.8,11.3,11.7,69132.0,11.599,254
2009-02-20 08:00:00,11.7,11.7,11.5,11.7,39473.0,11.608,141
2009-02-24 04:25:00,11.2,11.55,11.2,11.45,49567.0,11.405,201
2009-02-24 08:00:00,11.45,11.55,11.35,11.4,22556.0,11.423,76
2009-02-25 04:25:00,11.3,11.9,11.3,11.75,46115.0,11.74,176
2009-02-25 08:00:00,11.75,11.75,11.5,11.55,29507.0,11.597,88
2009-02-26 04:25:00,11.5,11.65,11.25,11.45,44149.0,11.425,153
2009-02-26 08:00:00,11.45,11.45,11.3,11.3,23746.0,11.392,75
2009-02-27 04:25:00,11.1,11.55,11.1,11.35,32804.0,11.361,165
2009-02-27 08:00:00,11.35,11.4,11.25,11.35,25041.0,11.32,80
2009-03-02 04:25:00,10.9,11.35,10.9,11.05,27441.0,11.153,135
2009-03-02 08:00:00,11.05,11.15,11.0,11.0,22202.0,11.068,98
2009-03-03 04:25:00,10.6,11.15,10.6,11.0,25560.0,11.038,136
2009-03-03 08:00:00,11.1,11.15,10.95,11.1,17143.0,11.049,88
2009-03-04 04:25:00,11.45,11.45,10.95,11.0,25149.0,11.039,139
2009-03-04 08:00:00,11.0,11.05,10.65,10.85,25252.0,10.916,103
2009-03-05 04:25:00,10.6,11.1,10.5,10.6,43918.0,10.863,172
2009-03-05 08:00:00,10.55,10.65,10.5,10.5,34244.0,10.561,126
2009-03-06 04:25:00,10.45,10.85,10.35,10.5,47837.0,10.543,200
2009-03-06 08:00:00,10.5,10.65,10.45,10.6,24579.0,10.511,106
2009-03-09 04:25:00,9.8,10.45,9.8,10.3,49549.0,10.33,154
2009-03-09 08:00:00,10.25,10.3,10.0,10.2,22497.0,10.17,90
2009-03-12 04:25:00,10.5,10.5,10.1,10.3,28680.0,10.239,143
2009-03-12 08:00:00,10.2,10.35,10.15,10.15,13616.0,10.26,77
2009-03-13 04:25:00,10.2,10.75,10.2,10.7,48699.0,10.583,230
2009-03-13 08:00:00,10.65,10.7,10.5,10.65,20017.0,10.624,112
2009-03-16 04:25:00,10.5,11.15,10.5,10.8,30016.0,10.82,224
2009-03-16 08:00:00,10.8,10.9,10.8,10.9,4521.0,10.855,22
2009-03-17 04:25:00,10.8,11.4,10.8,11.05,63878.0,11.214,204
2009-03-17 08:00:00,11.05,11.1,10.95,11.0,22848.0,11.005,84
2009-03-18 04:25:00,10.85,11.5,10.85,11.25,50292.0,11.314,205
2009-03-18 08:00:00,11.2,11.3,11.05,11.1,26538.0,11.175,80
2009-03-19 04:25:00,11.0,11.4,11.0,11.1,40058.0,11.219,139
2009-03-19 08:00:00,11.0,11.15,11.0,11.1,20239.0,11.072,71
2009-03-20 04:25:00,11.15,11.15,10.95,10.95,34514.0,11.071,115
2009-03-20 08:00:00,10.95,11.25,10.9,11.05,25405.0,11.074,94
2009-03-23 04:25:00,11.3,11.75,11.0,11.4,61920.0,11.423,260
