date,open,high,low,close,volume,average,barCount
2004-08-23,25.8,26.5,25.8,26.23,2252000.0,26.305,1797
2004-08-24,26.28,26.68,26.02,26.13,2337000.0,26.32,1889
2004-08-25,26.05,26.25,25.84,26.19,2044700.0,26.062,1707
2004-08-26,26.29,26.55,25.69,25.78,2219100.0,25.995,1894
2004-08-27,25.78,25.97,25.59,25.92,1401000.0,25.77,1379
2004-08-30,25.7,25.92,25.62,25.71,843500.0,25.745,1378
2004-08-31,25.68,26.25,25.6,26.09,1562000.0,26.0,1453
2004-09-01,26.15,26.67,26.12,26.5,1607000.0,26.441,1776
2004-09-02,26.37,26.63,26.12,26.36,1357100.0,26.407,1630
2004-09-03,26.07,26.29,25.85,25.9,1694200.0,26.018,1461
2004-09-07,25.86,26.3,25.86,26.18,1853400.0,26.087,1619
2004-09-08,26.38,26.69,26.3,26.46,2925100.0,26.564,1655
2004-09-09,26.37,26.77,26.26,26.59,1551400.0,26.565,1595
2004-09-10,26.65,26.78,26.47,26.75,1258400.0,26.644,1165
2004-09-13,26.78,26.78,26.32,26.39,1476600.0,26.551,1578
2004-09-14,26.35,26.86,26.33,26.72,1476600.0,26.667,1575
2004-09-15,26.4,26.75,26.05,26.61,2220500.0,26.398,1719
2004-09-16,26.62,27.17,26.62,27.0,2501200.0,27.015,2045
2004-09-17,26.97,27.11,26.65,26.69,1531700.0,26.796,1250
2004-09-20,26.5,26.83,26.41,26.81,1455100.0,26.691,1718
2004-09-21,26.7,27.09,26.66,27.02,1404800.0,26.974,1065
2004-09-22,26.9,27.09,26.6,26.9,1419100.0,26.912,2098
2004-09-23,26.75,27.11,26.67,26.9,1083100.0,26.943,1490
2004-09-24,26.75,27.04,26.75,26.82,1306600.0,26.883,1421
2004-09-27,26.7,26.72,26.5,26.66,1480500.0,26.669,1226
2004-09-28,26.7,26.88,26.64,26.68,2846100.0,26.744,1342
2004-09-29,26.52,27.07,26.44,26.99,1541300.0,26.766,1278
2004-09-30,27.04,27.25,26.96,27.09,2242300.0,27.106,2226
2004-10-01,27.02,27.47,26.95,27.24,1851100.0,27.259,1601
2004-10-04,26.3,27.58,26.3,27.4,2794100.0,27.449,2088
2004-10-05,27.25,27.4,26.9,26.95,2306400.0,27.051,1840
2004-10-06,27.17,27.17,26.71,26.98,1573200.0,26.896,1508
2004-10-07,26.85,27.0,26.58,26.69,1166600.0,26.727,1497
2004-10-08,26.69,26.77,26.55,26.76,1181200.0,26.665,1314
2004-10-11,26.8,27.05,26.52,26.91,1587000.0,26.906,1439
2004-10-12,26.8,27.03,26.4,26.54,3433700.0,26.751,1725
2004-10-13,24.2,24.2,22.61,23.91,27434700.0,23.542,6447
2004-10-14,24.15,24.37,23.5,23.52,9911300.0,23.946,2755
2004-10-15,23.45,23.82,23.15,23.51,5178700.0,23.513,2398
2004-10-18,23.41,23.69,23.32,23.62,3509400.0,23.496,1832
