date,open,high,low,close,volume,average,barCount
2004-08-23,88.45,88.7,88.08,88.29,4143800.0,88.285,5206
2004-08-24,88.3,88.7,88.15,88.7,4336600.0,88.427,5241
2004-08-25,88.52,88.75,88.3,88.64,4931700.0,88.491,5225
2004-08-26,88.58,88.94,88.21,88.23,4098700.0,88.544,4990
2004-08-27,88.35,89.29,88.23,89.03,3224300.0,88.732,4898
2004-08-30,44.79,44.87,44.53,44.58,5995600.0,44.722,6745
2004-08-31,44.75,44.99,44.54,44.96,8549300.0,44.74,7568
2004-09-01,44.45,44.61,43.45,43.64,13757200.0,43.974,7966
2004-09-02,43.85,43.88,43.27,43.86,9961900.0,43.57,6809
2004-09-03,44.0,44.11,43.52,43.62,6981100.0,43.762,5207
2004-09-07,43.95,44.38,43.88,44.25,8515700.0,44.151,7303
2004-09-08,44.03,44.49,44.03,44.12,7207200.0,44.249,6973
2004-09-09,44.25,44.48,44.07,44.36,6483800.0,44.271,6132
2004-09-10,44.26,44.78,44.22,44.59,6049800.0,44.524,6368
2004-09-13,44.46,44.75,44.36,44.48,6830200.0,44.558,6409
2004-09-14,44.27,44.58,44.07,44.39,7378500.0,44.367,6478
2004-09-15,44.36,44.47,44.09,44.18,5553800.0,44.274,5941
2004-09-16,44.29,44.39,44.15,44.31,5567600.0,44.279,5343
2004-09-17,44.49,44.79,44.41,44.66,8958800.0,44.61,5653
2004-09-20,44.4,44.5,44.12,44.36,6318500.0,44.32,6207
2004-09-21,44.37,44.81,44.32,44.69,6509600.0,44.542,5681
2004-09-22,44.16,44.68,43.6,43.92,8860000.0,43.99,7235
2004-09-23,43.93,44.07,43.54,43.58,5678000.0,43.738,6839
2004-09-24,43.6,44.23,43.55,43.98,8161700.0,43.898,6472
2004-09-27,44.1,44.19,43.77,43.84,7776400.0,43.961,5835
2004-09-28,43.75,43.9,43.39,43.69,7736800.0,43.681,6725
2004-09-29,43.55,43.69,43.07,43.58,7961500.0,43.302,6455
2004-09-30,43.68,43.73,43.14,43.32,7900300.0,43.356,6258
2004-10-01,43.53,44.41,43.41,44.15,8251500.0,44.152,6343
2004-10-04,44.39,44.67,44.25,44.31,6324500.0,44.486,6625
2004-10-05,44.51,44.9,44.45,44.79,7679100.0,44.779,6101
2004-10-06,44.92,45.37,44.83,45.25,8873800.0,45.039,6762
2004-10-07,45.25,45.36,44.95,45.31,6679800.0,45.165,5873
2004-10-08,45.37,45.58,45.02,45.2,5854300.0,45.27,6111
2004-10-11,45.29,45.48,45.18,45.35,4118500.0,45.355,4542
2004-10-12,45.0,45.58,45.0,45.49,7824500.0,45.321,5887
