date,open,high,low,close,volume,average,barCount
2004-08-23,3.18,3.24,3.09,3.12,1125200.0,3.14625,303
2004-08-24,3.15,3.19,3.11,3.19,1072400.0,3.1505,302
2004-08-25,3.2,3.26,3.13,3.24,1096800.0,3.22,335
2004-08-26,3.24,3.25,3.2,3.23,371200.0,3.23325,148
2004-08-27,3.25,3.3,3.23,3.29,460000.0,3.26825,166
2004-08-30,3.31,3.32,3.27,3.29,599600.0,3.29325,249
2004-08-31,3.3,3.31,3.18,3.25,797200.0,3.2545,299
2004-09-01,3.3,3.33,3.29,3.33,498800.0,3.31125,331
2004-09-02,3.32,3.49,3.32,3.44,987600.0,3.43425,255
2004-09-03,3.48,3.48,3.4,3.44,794800.0,3.4585,175
2004-09-07,3.44,3.44,3.35,3.36,1069200.0,3.3655,220
2004-09-08,3.33,3.33,3.29,3.31,549600.0,3.31225,241
2004-09-09,3.31,3.33,3.24,3.29,2524000.0,3.3015,278
2004-09-10,3.29,3.58,3.29,3.56,2781600.0,3.4675,816
2004-09-13,3.6,3.88,3.6,3.79,4160000.0,3.76225,821
2004-09-14,3.8,4.02,3.75,3.98,2010400.0,3.88275,599
2004-09-15,3.98,4.29,3.93,4.09,3977600.0,4.1035,856
2004-09-16,4.09,4.12,4.02,4.07,2377200.0,4.08025,658
2004-09-17,4.05,4.05,3.71,3.93,4234000.0,3.888,1032
2004-09-20,3.94,4.03,3.92,4.0,592400.0,3.98875,344
2004-09-21,4.01,4.23,4.01,4.09,2319600.0,4.12525,516
2004-09-22,4.08,4.08,3.95,4.0,1794800.0,4.00025,473
2004-09-23,4.02,4.02,3.91,3.93,711600.0,3.97275,453
2004-09-24,3.99,4.21,3.95,4.01,2554800.0,4.0405,673
2004-09-27,4.0,4.02,3.88,3.9,1376400.0,3.95075,598
2004-09-28,3.88,3.89,3.69,3.75,1862000.0,3.783,792
2004-09-29,3.76,3.97,3.76,3.95,1690400.0,3.91375,784
2004-09-30,3.94,3.98,3.9,3.91,2780000.0,3.92825,624
2004-10-01,3.91,4.2,3.88,4.16,2538000.0,4.0515,744
2004-10-04,4.29,4.46,4.14,4.22,3107200.0,4.336,730
2004-10-05,4.22,4.28,4.15,4.22,1144400.0,4.2145,479
2004-10-06,4.23,4.31,4.12,4.31,1219600.0,4.2315,479
2004-10-07,4.48,4.71,4.4,4.63,5859600.0,4.5555,1304
2004-10-08,4.62,4.62,4.37,4.41,2497200.0,4.481,841
2004-10-11,4.41,4.59,4.4,4.53,966800.0,4.512,394
2004-10-12,4.5,4.6,4.42,4.6,893600.0,4.507,448
2004-10-13,4.65,4.81,4.6,4.65,1685600.0,4.69525,756
2004-10-14,4.63,4.69,4.46,4.5,1038000.0,4.54075,476
2004-10-15,4.52,4.56,4.4,4.5,941200.0,4.474,390
2004-10-18,4.48,4.58,4.41,4.57,688800.0,4.5195,385
2004-10-19,4.59,4.61,4.53,4.54,598000.0,4.56975,377
2004-10-20,4.53,4.57,4.48,4.53,732800.0,4.51975,444
2004-10-21,4.54,4.67,4.51,4.61,718800.0,4.60525,478
2004-10-22,4.63,4.65,4.31,4.35,1066000.0,4.4995,603
2004-10-25,4.39,4.59,4.39,4.54,910000.0,4.4955,567
2004-10-26,4.53,4.61,4.45,4.61,465200.0,4.54975,261
2004-10-27,4.63,4.9,4.54,4.81,1912800.0,4.72175,817
2004-10-28,4.83,5.15,4.75,5.04,2443600.0,4.98675,998
2004-10-29,5.03,5.08,4.85,5.08,1629200.0,4.954,558
2004-11-01,5.13,5.5,5.1,5.43,3124400.0,5.3545,1236
2004-11-02,5.63,5.63,5.44,5.49,3003600.0,5.53225,1120
2004-11-03,5.55,5.67,5.38,5.41,1876000.0,5.4825,897
2004-11-04,5.4,5.43,5.13,5.15,1183200.0,5.265,743
2004-11-05,5.21,5.34,5.14,5.23,1525600.0,5.227,836
2004-11-08,5.22,5.22,5.07,5.1,1006400.0,5.11125,643
2004-11-09,4.93,5.01,4.78,4.87,1910800.0,4.90275,1024
2004-11-10,4.91,4.91,4.82,4.88,772000.0,4.85325,497
2004-11-11,4.88,5.04,4.86,5.01,1006400.0,4.99525,583
2004-11-12,5.05,5.06,4.88,5.0,491200.0,4.972,380
2004-11-15,5.02,5.2,5.0,5.2,2071200.0,5.11025,690
2004-11-16,5.2,5.3,5.08,5.15,2489600.0,5.17175,699
2004-11-17,5.2,5.24,5.07,5.21,1472400.0,5.16675,765
2004-11-18,4.75,4.75,4.33,4.45,9261200.0,4.478,2553
2004-11-19,4.55,4.61,4.26,4.45,3135600.0,4.453,1293
2004-11-22,4.44,4.53,4.37,4.4,856000.0,4.41,489
2004-11-23,4.41,4.51,4.38,4.49,1061200.0,4.46275,612
2004-11-24,4.5,4.56,4.45,4.5,885200.0,4.508,396
2004-11-26,4.48,4.48,4.36,4.43,514000.0,4.434,280
2004-11-29,4.43,4.46,4.38,4.39,1454800.0,4.42325,509
2004-11-30,4.38,4.52,4.34,4.37,2101200.0,4.39575,807
