date,open,high,low,close,volume,average,barCount
2004-08-23,94.15,94.33,92.99,93.16,3383000.0,93.561,5541
2004-08-24,93.13,93.37,92.42,93.36,2576700.0,92.915,5322
2004-08-25,93.31,93.98,93.3,93.87,2012900.0,93.598,4589
2004-08-26,93.68,94.73,93.63,94.6,2084000.0,94.234,4207
2004-08-27,94.86,95.7,94.85,95.28,2110600.0,95.354,3953
2004-08-30,95.99,96.44,95.47,95.5,2738900.0,95.858,5150
2004-08-31,95.79,97.5,95.73,97.5,2771900.0,96.686,5459
2004-09-01,97.6,98.9,97.5,98.67,3347600.0,98.445,5479
2004-09-02,98.78,99.74,98.38,99.74,2841700.0,98.991,5021
2004-09-03,99.66,100.25,99.33,99.88,2736300.0,99.833,4822
2004-09-07,99.27,100.09,98.53,100.02,4370200.0,99.216,6241
2004-09-08,99.77,100.14,99.55,99.82,3159300.0,99.94,4796
2004-09-09,99.8,101.13,99.8,101.06,2996500.0,100.568,4694
2004-09-10,101.33,101.45,100.13,100.26,3510600.0,100.779,4934
2004-09-13,50.85,50.92,50.27,50.85,5664100.0,50.609,6847
2004-09-14,51.0,51.49,50.88,51.24,5817800.0,51.179,6980
2004-09-15,51.3,51.46,51.01,51.05,5468700.0,51.256,6239
2004-09-16,51.04,51.19,50.81,50.99,4181300.0,50.96,5102
2004-09-17,51.2,51.99,51.2,51.95,6448200.0,51.618,5584
2004-09-20,52.0,52.49,51.95,52.05,5677500.0,52.24,6793
2004-09-21,52.21,53.64,52.2,53.51,7184500.0,53.083,7294
2004-09-22,53.27,53.49,52.95,53.14,7960900.0,53.205,7293
2004-09-23,53.0,53.0,52.21,52.33,6492600.0,52.434,6901
2004-09-24,52.58,53.2,52.54,52.91,4521600.0,52.922,6458
2004-09-27,53.03,53.78,52.75,53.7,5839000.0,53.326,6956
2004-09-28,54.0,54.49,53.88,54.06,6851200.0,54.219,8287
2004-09-29,54.02,54.2,53.51,53.68,8204700.0,53.863,7074
2004-09-30,53.63,53.88,53.18,53.6,4990700.0,53.523,6471
2004-10-01,53.61,54.27,53.4,53.97,5382000.0,53.919,6010
2004-10-04,53.72,54.03,53.4,53.92,4382700.0,53.828,6051
2004-10-05,54.0,54.56,53.95,54.48,5206100.0,54.318,6548
2004-10-06,54.55,55.53,54.52,55.4,6596800.0,55.119,7365
2004-10-07,55.2,56.07,54.97,55.23,5567100.0,55.37,7334
2004-10-08,54.95,55.62,54.78,55.28,5617800.0,55.202,7442
2004-10-11,55.41,55.45,54.6,54.91,3415100.0,54.94,5775
2004-10-12,54.59,55.06,54.38,54.48,4633600.0,54.706,6666
2004-10-13,54.0,54.16,53.13,53.34,6969800.0,53.466,9103
2004-10-14,54.01,54.06,53.31,53.39,4711700.0,53.667,8020
2004-10-15,53.5,53.75,53.27,53.38,5912800.0,53.486,6726
2004-10-18,53.35,53.97,52.85,52.93,4827900.0,53.205,7719
2004-10-19,52.41,52.85,52.36,52.7,6153400.0,52.644,7013
2004-10-20,52.74,53.54,52.61,53.37,4534200.0,53.174,6369
2004-10-21,53.65,53.79,53.03,53.39,4173800.0,53.428,6022
2004-10-22,53.55,53.97,53.22,53.32,3962200.0,53.608,6294
2004-10-25,53.45,53.73,52.95,53.42,3893100.0,53.315,6764
2004-10-26,53.44,53.98,53.03,53.93,3748000.0,53.554,6152
2004-10-27,53.95,54.14,52.65,52.99,5687900.0,53.245,9197
2004-10-28,52.9,53.59,52.13,52.46,6098900.0,52.76,8874
2004-10-29,52.0,53.16,51.91,53.05,5696100.0,52.686,8343
2004-11-01,53.06,53.55,52.59,52.95,6750200.0,53.011,9150
2004-11-02,52.55,53.07,52.05,52.14,5487100.0,52.468,7805
2004-11-03,52.8,53.49,52.53,53.18,6458100.0,53.146,8598
2004-11-04,53.48,54.42,53.41,54.4,5385900.0,53.911,8698
2004-11-05,54.39,54.74,54.1,54.51,5601300.0,54.513,8342
2004-11-08,54.5,54.5,53.31,53.41,5097900.0,53.692,7660
2004-11-09,53.06,53.29,52.7,52.78,5621300.0,53.079,7593
2004-11-10,52.5,52.86,51.8,52.67,7611000.0,52.366,8533
2004-11-11,52.65,53.05,52.55,52.96,4693000.0,52.82,6618
2004-11-12,52.78,54.54,52.76,54.52,5360600.0,53.934,8141
2004-11-15,54.05,54.13,52.67,53.0,7077600.0,53.104,9328
2004-11-16,52.92,52.99,52.46,52.54,5023900.0,52.719,6119
2004-11-17,52.71,53.45,52.71,53.34,4454900.0,53.166,7375
