date,open,high,low,close,volume,average,barCount
2004-08-23,22.05,22.33,21.86,21.87,3997162.2580318227,22.0853061,4236
2004-08-24,22.1,22.3,21.9,22.01,5157798.723016113,22.0714923,4656
2004-08-25,21.91,22.39,21.91,22.29,4439951.35299483,22.1820027,4600
2004-08-26,22.27,22.48,22.18,22.38,2794263.707307185,22.3507284,3748
2004-08-27,22.3,22.45,22.09,22.37,3562683.693118475,22.2490983,3446
2004-08-30,22.2,22.34,22.08,22.1,3552954.2920847265,22.1859495,3984
2004-08-31,22.23,22.29,22.03,22.17,4208574.03466099,22.1395746,3719
2004-09-01,22.16,22.23,21.99,22.16,4514746.123441775,22.1099736,4168
2004-09-02,22.05,22.28,21.93,22.24,5091517.1784737,22.0438647,4395
2004-09-03,22.2,22.39,22.0,22.05,3508766.595723117,22.1237874,4507
2004-09-07,22.06,22.49,22.06,22.39,5539170.973953581,22.3053402,5061
2004-09-08,22.56,22.77,22.47,22.59,5982264.112698894,22.6368714,4855
2004-09-09,22.58,22.73,22.51,22.55,5908989.561163473,22.5993768,4741
2004-09-10,22.71,23.08,22.6,22.85,6347319.347319346,22.8855198,5020
2004-09-13,22.9,23.17,22.89,23.0,3882031.0124657946,23.0424051,4417
2004-09-14,23.01,23.07,22.69,22.95,6061214.148170669,22.8460518,4573
2004-09-15,22.94,22.99,22.63,22.71,5919529.745616701,22.763169,4404
2004-09-16,22.63,24.11,22.63,23.09,4655417.046721394,23.0858199,4048
2004-09-17,23.34,23.34,23.08,23.15,4950440.863484341,23.2012638,3858
2004-09-20,22.95,23.12,22.69,22.82,5974156.278504103,22.8569055,4407
2004-09-21,22.99,23.11,22.69,23.09,4896523.766088983,22.9042671,4412
2004-09-22,22.97,23.19,22.9,22.96,4475220.43174217,23.0078706,5177
2004-09-23,22.89,23.18,22.85,22.95,4851626.634235329,23.0058972,4320
2004-09-24,22.89,23.28,22.89,23.15,3632512.41512111,23.1391017,3759
2004-09-27,22.95,23.04,22.8,22.87,4379345.29238877,22.8855198,4081
2004-09-28,22.84,22.96,22.05,22.33,12787169.352386741,22.2589653,6578
2004-09-29,22.31,22.46,21.71,22.45,10697172.392824564,22.0280775,6265
2004-09-30,22.25,22.46,22.09,22.22,8235228.539576365,22.1958165,5110
2004-10-01,22.26,22.86,22.21,22.79,5635451.505016722,22.6585788,5442
2004-10-04,23.42,23.42,22.88,23.22,6926624.100537143,23.1173943,5312
2004-10-05,23.27,23.67,23.21,23.59,7700618.222357351,23.5101009,5780
2004-10-06,23.65,24.03,23.46,23.99,9083307.996351473,23.8406454,5360
2004-10-07,24.05,24.63,23.96,24.38,13374683.287726764,24.3330087,6002
2004-10-08,24.42,24.72,24.23,24.44,9660484.443093138,24.5836305,5530
2004-10-11,24.52,24.68,24.45,24.58,4830748.961183743,24.5668566,3846
2004-10-12,24.32,24.53,24.25,24.45,9086449.782101955,24.3507693,4494
2004-10-13,24.5,24.77,24.5,24.67,9211411.776629167,24.6596064,6438
2004-10-14,24.68,24.7,24.34,24.5,8425661.29522651,24.4849605,5409
2004-10-15,24.49,24.68,24.27,24.58,7956116.347420694,24.5145615,5649
2004-10-18,24.67,24.82,24.65,24.75,6326238.978412891,24.7444626,5117
2004-10-19,24.72,24.78,24.48,24.56,6013276.578493969,24.628032,5546
2004-10-20,24.45,24.57,24.3,24.39,4657950.7449072655,24.4435191,4488
2004-10-21,24.39,24.77,24.17,24.76,7135198.135198134,24.4188516,5337
2004-10-22,24.77,24.8,24.22,24.27,5076314.989358467,24.4968009,4653
2004-10-25,24.09,24.27,23.95,24.23,4999695.956217694,24.1110012,4931
2004-10-26,24.17,24.6,24.04,24.53,5053410.357758183,24.3566895,4451
2004-10-27,24.43,24.65,24.17,24.62,5014391.405695752,24.5185083,5103
2004-10-28,24.64,24.86,24.45,24.74,4583460.018242626,24.7178217,4332
2004-10-29,24.67,24.92,24.57,24.85,5723016.114320462,24.7444626,4880
2004-11-01,24.8,25.08,24.46,24.9,5032127.292996857,24.8391858,4809
2004-11-02,24.64,25.52,24.64,25.14,8195297.45616702,25.2723471,6013
2004-11-03,25.56,25.59,25.12,25.3,6018952.062430322,25.3029348,5975
2004-11-04,25.39,26.04,25.34,25.97,6536434.579912839,25.733136,5960
2004-11-05,25.97,26.32,25.8,26.03,6689875.342049254,26.0409864,6271
2004-11-08,25.8,25.95,25.61,25.69,5283470.15303537,25.7439897,5477
2004-11-09,25.65,26.14,24.12,25.92,5579000.709435491,25.9521834,5015
2004-11-10,26.05,26.5,26.01,26.28,7307084.220127697,26.3172624,5681
2004-11-11,26.44,26.44,26.0,26.27,6101145.231580013,26.2432599,5226
2004-11-12,26.2,26.6,26.12,26.45,4641228.33688051,26.384358,4861
2004-11-15,26.5,26.61,26.28,26.42,4790108.442282354,26.4109989,5243
2004-11-16,26.2,26.4,26.07,26.2,5735785.9531772565,26.2481934,5171
2004-11-17,26.2,26.54,26.12,26.21,5829026.04641735,26.2629939,6022
2004-11-18,26.12,26.34,25.97,26.14,5565217.391304347,26.1041352,5865
2004-11-19,26.54,26.72,26.15,26.27,8997668.997668996,26.4277728,7173
2004-11-22,26.33,26.86,25.19,26.83,6243539.069626025,26.4889482,6287
2004-11-23,26.84,27.01,26.75,26.97,5831762.440458092,26.8816548,5570
2004-11-24,27.04,27.08,26.85,27.02,3260869.5652173907,26.9714445,4818
2004-11-26,26.87,28.9,26.54,26.79,1394648.829431438,26.8333065,2059
2004-11-29,26.98,27.08,26.34,26.69,5451403.668794972,26.6665542,6485
2004-11-30,26.62,26.89,26.52,26.55,4446133.576568359,26.6941818,5433
2004-12-01,26.61,27.41,26.6,27.31,7206749.771967162,27.1648377,6257
2004-12-02,27.31,27.62,27.24,27.27,5585791.020573628,27.43026,6257
2004-12-03,27.15,27.38,26.92,27.04,4850714.502888415,27.0859017,6368
2004-12-06,27.01,27.13,26.84,26.99,3747542.3127597035,26.9990721,5444
2004-12-07,26.88,27.11,26.63,26.71,5473396.169048342,26.83824,6120
2004-12-08,26.71,26.84,26.33,26.82,5874227.222053308,26.561964,5786
2004-12-09,26.84,27.27,26.79,27.25,7137225.093746832,27.0336066,6155
2004-12-10,26.65,27.61,26.65,27.26,3911421.911421911,27.2398269,4663
2004-12-13,27.27,27.42,27.22,27.32,4891253.673862369,27.3088959,4851
2004-12-14,27.36,27.37,27.21,27.3,5176446.741664132,27.2684412,4618
2004-12-15,27.13,27.34,27.11,27.22,6360089.186176142,27.2368668,5589
2004-12-16,27.23,27.49,27.07,27.21,5465288.334853551,27.2911353,5690
2004-12-17,27.19,27.38,26.99,27.04,6664639.7081179675,27.1520106,5491
2004-12-20,27.07,27.26,26.87,27.04,3884767.4065065365,27.0701145,5624
2004-12-21,27.01,27.28,26.93,27.17,3817269.6868349034,27.1796382,5141
2004-12-22,27.2,27.28,27.02,27.26,3755244.7552447547,27.1480638,5101
2004-12-23,27.19,27.31,27.15,27.27,2767203.810682071,27.2368668,3716
2004-12-27,27.29,27.48,27.22,27.39,2743285.6998074385,27.3671112,4109
2004-12-28,27.4,27.62,27.32,27.62,3098408.837539272,27.5003157,4121
2004-12-29,27.51,27.61,27.45,27.58,3164994.4258639906,27.538797,4225
2004-12-30,27.61,27.66,27.52,27.52,3657950.744907266,27.597999,3997
2004-12-31,27.61,27.63,27.39,27.47,2068409.8510185464,27.4815684,3281
2005-01-03,27.44,27.88,27.44,27.47,5267558.528428093,27.6522675,6126
2005-01-04,27.84,27.84,27.15,27.22,5537144.015404884,27.3957255,5450
2005-01-05,27.82,28.41,27.03,27.07,4911827.30313165,27.163851,4895
2005-01-06,27.07,27.49,27.0,27.09,5262491.132056349,27.2901486,5265
2005-01-07,27.13,27.17,26.69,26.8,6215262.997871692,26.8569873,5267
2005-01-10,26.79,27.02,26.74,26.91,4046417.350765176,26.9013888,5238
