date,open,high,low,close,volume,average,barCount
2004-08-19,3.4,3.53,2.37,2.51,855580419.5804197,2.5171146,70185
2004-08-20,2.53,2.73,2.52,2.71,445726273.7262738,2.607605,39732
2004-08-23,2.77,2.84,2.53,2.74,351120879.1208792,2.786809025,35062
2004-08-24,2.78,2.79,2.59,2.63,292119880.11988014,2.646644,29415
2004-08-25,2.62,2.7,2.6,2.65,176591408.5914086,2.653325675,16112
2004-08-26,2.63,2.7,2.62,2.7,135820179.82017985,2.6683657,12715
2004-08-27,2.71,2.72,2.64,2.66,117614385.61438563,2.6873847,10240
2004-08-30,2.63,2.64,2.55,2.55,100707292.70729272,2.5862837,9391
2004-08-31,2.56,2.6,2.56,2.56,92491508.4915085,2.575197625,7943
2004-09-01,2.57,2.58,2.49,2.51,176563436.5634366,2.516038525,12861
2004-09-02,2.48,2.56,2.4,2.54,290481518.4815185,2.512835325,16562
2004-09-03,2.53,2.55,2.49,2.51,98461538.46153848,2.51516265,7448
2004-09-07,2.53,2.55,2.49,2.54,109814185.81418583,2.5268243,9351
2004-09-08,2.52,2.58,2.52,2.56,96863136.86313687,2.559131575,7856
2004-09-09,2.56,2.57,2.53,2.56,75304695.30469532,2.5453428,6551
2004-09-10,2.54,2.67,2.54,2.64,165586413.58641362,2.62757495,14823
2004-09-13,2.67,2.71,2.66,2.69,151736263.73626375,2.69233965,12947
2004-09-14,2.69,2.8,2.67,2.79,211832167.83216786,2.740462725,16991
2004-09-15,2.77,2.86,2.76,2.8,207092907.09290713,2.809581775,20534
2004-09-16,2.81,2.9,2.79,2.85,180827172.82717285,2.856078225,17973
2004-09-17,2.87,2.94,2.84,2.94,156391608.39160842,2.886108225,14447
2004-09-20,2.93,3.04,2.92,2.99,195756243.7562438,2.9952923,20137
2004-09-21,3.01,3.01,2.94,2.95,129654345.65434568,2.962484525,14560
2004-09-22,2.94,2.99,2.92,2.96,149450549.45054948,2.9635606,14536
2004-09-23,2.97,3.07,2.93,3.02,166649350.64935067,2.988810825,17180
2004-09-24,3.03,3.11,3.0,3.0,176779220.77922082,3.0571541,16091
2004-09-27,2.99,3.03,2.95,2.96,130545454.54545456,2.986708725,14545
