date,open,high,low,close,volume,average,barCount
2004-08-23,87.81,88.34,87.28,87.5,3461100.0,87.88,4648
2004-08-24,88.15,88.37,87.46,87.59,2323700.0,87.784,3715
2004-08-25,87.78,90.25,87.56,90.03,4056100.0,89.251,5234
2004-08-26,89.93,91.57,89.76,91.08,3296900.0,90.552,4706
2004-08-27,91.12,91.2,90.17,90.47,1577200.0,90.581,3181
2004-08-30,90.23,90.35,89.01,89.05,1763800.0,89.406,3146
2004-08-31,89.56,89.81,88.46,89.67,2034700.0,89.172,3892
2004-09-01,89.85,90.5,88.95,89.21,1800900.0,89.591,4124
2004-09-02,89.2,91.3,88.89,91.07,2245300.0,90.077,3937
2004-09-03,91.06,91.72,90.0,90.19,1576500.0,90.538,3377
2004-09-07,91.2,92.78,91.06,92.2,3824600.0,91.969,6652
2004-09-08,92.29,92.55,91.36,91.44,2652800.0,91.884,5274
2004-09-09,92.1,92.16,90.61,91.78,3023700.0,91.463,5346
2004-09-10,91.87,93.23,83.82,93.07,2722300.0,92.637,4970
2004-09-13,93.4,93.6,92.35,93.55,2896400.0,93.182,5259
2004-09-14,93.28,94.25,92.9,94.09,2830200.0,93.51,4582
2004-09-15,94.0,94.01,91.52,92.46,2669000.0,93.097,4143
2004-09-16,92.65,93.62,92.4,93.19,2479800.0,93.138,4236
2004-09-17,93.29,93.46,91.81,92.11,2751000.0,92.513,4345
2004-09-20,91.0,92.12,90.97,91.8,2954800.0,91.738,4509
2004-09-21,93.0,94.96,92.75,94.96,6014700.0,94.066,6903
2004-09-22,93.08,94.18,92.5,93.46,6112100.0,93.426,7363
2004-09-23,92.5,93.64,92.5,93.1,4096200.0,93.039,5708
2004-09-24,93.67,93.77,92.84,93.51,2479700.0,93.435,4386
2004-09-27,93.48,93.49,92.12,92.78,3197200.0,92.723,4380
2004-09-28,92.75,93.24,91.77,93.03,2752900.0,92.688,4270
2004-09-29,93.06,93.47,92.4,93.27,2813800.0,92.953,4793
2004-09-30,93.35,93.57,92.45,93.16,2460400.0,93.014,4166
2004-10-01,93.46,94.69,93.34,93.88,3082600.0,94.124,4520
2004-10-04,94.8,95.45,94.44,94.86,3540900.0,94.921,4761
