date,open,high,low,close,volume,average,barCount
2004-08-23,57.13,57.61,57.04,57.11,4476600.0,57.348,6216
2004-08-24,57.47,57.5,57.07,57.18,3766100.0,57.265,5153
2004-08-25,57.23,57.69,55.49,57.65,4059700.0,57.418,5194
2004-08-26,57.66,57.84,57.46,57.52,3824300.0,57.626,5036
2004-08-27,57.6,57.85,57.58,57.71,3310200.0,57.727,4079
2004-08-30,57.62,57.85,57.49,57.52,3109400.0,57.712,4609
2004-08-31,57.51,58.1,57.51,58.1,4803900.0,57.884,5010
2004-09-01,58.0,58.06,57.41,57.75,5736900.0,57.838,5552
2004-09-02,57.68,57.91,57.51,57.72,4954700.0,57.713,5070
2004-09-03,57.8,58.13,57.78,57.92,3747800.0,57.961,5129
2004-09-07,58.05,58.3,57.7,57.82,5414000.0,57.969,6083
2004-09-08,58.25,58.38,58.0,58.27,6705600.0,58.212,6768
2004-09-09,58.27,58.32,57.51,57.53,4971100.0,57.77,6222
2004-09-10,57.41,57.64,57.07,57.55,4065100.0,57.34,5618
2004-09-13,57.8,58.03,57.35,58.0,4138900.0,57.788,5906
2004-09-14,58.03,58.68,58.03,58.39,4852900.0,58.428,6204
2004-09-15,58.25,58.51,58.1,58.15,4158500.0,58.309,4988
2004-09-16,58.14,58.38,58.1,58.14,3186700.0,58.256,4959
2004-09-17,58.36,58.8,58.33,58.56,5964300.0,58.566,5751
2004-09-20,57.75,58.16,57.75,57.91,4704900.0,57.893,5985
2004-09-21,57.9,57.95,57.4,57.9,5133800.0,57.659,6011
2004-09-22,57.58,57.65,57.19,57.25,4389300.0,57.325,5843
2004-09-23,57.0,57.22,56.52,56.56,6026900.0,56.718,6015
2004-09-24,56.45,56.97,56.25,56.59,3890600.0,56.613,6383
2004-09-27,56.35,56.96,56.35,56.57,3881800.0,56.765,5364
2004-09-28,56.68,57.43,56.27,57.1,4626900.0,56.783,6043
2004-09-29,56.93,57.04,56.54,57.02,3564700.0,56.875,4787
2004-09-30,57.22,57.49,56.09,56.31,6666700.0,56.591,6948
2004-10-01,56.39,57.0,56.12,56.99,5208800.0,56.555,6538
2004-10-04,57.0,57.45,56.96,57.25,6362500.0,57.24,6462
2004-10-05,57.37,57.55,57.15,57.47,3670700.0,57.434,5672
2004-10-06,57.5,57.76,57.27,57.74,3545600.0,57.554,5803
2004-10-07,57.65,57.68,55.55,55.95,10036900.0,56.338,8987
2004-10-08,55.42,55.9,55.21,55.33,8629000.0,55.392,8127
2004-10-11,55.19,55.46,54.81,55.39,6996800.0,55.192,6728
2004-10-12,55.5,57.5,55.36,56.83,10772800.0,56.253,9584
2004-10-13,56.92,57.2,56.31,56.51,6725900.0,56.747,7032
2004-10-14,56.49,56.98,56.49,56.53,5586300.0,56.722,6501
2004-10-15,56.73,57.01,56.5,56.54,6381400.0,56.794,6809
2004-10-18,56.2,57.47,56.2,57.32,6294300.0,57.134,6304
2004-10-19,56.84,57.42,56.47,56.61,5247500.0,56.952,6475
2004-10-20,56.35,57.5,56.33,57.5,5783200.0,57.197,6282
2004-10-21,57.3,57.96,57.18,57.76,6339700.0,57.639,6520
2004-10-22,57.78,57.99,57.24,57.29,4934600.0,57.577,6030
2004-10-25,57.1,57.31,56.95,57.05,5476200.0,57.13,6372
