date,open,high,low,close,volume,average,barCount
2006-05-25,4.03,4.6,4.02,4.6,395343000.0,4.6,1
2006-05-26,4.63,4.67,4.41,4.49,102220000.0,4.493,1
2006-05-30,4.5,4.5,4.29,4.4,49898000.0,4.4,1
2006-05-31,4.44,4.54,4.44,4.49,30002000.0,4.494,1
2006-06-01,4.49,4.81,4.49,4.75,62344000.0,4.751,1
2006-06-02,4.85,4.87,4.68,4.7,37253000.0,4.699,1
2006-06-05,4.71,4.93,4.7,4.92,37188000.0,4.915,1
2006-06-06,5.0,5.06,4.78,4.83,49045000.0,4.83,1
2006-06-07,4.83,4.84,4.68,4.76,25013000.0,4.76,1
2006-06-08,4.76,4.77,4.55,4.77,34439000.0,4.772,1
2006-06-09,4.88,4.88,4.77,4.78,13372000.0,4.778,1
2006-06-12,4.8,4.83,4.63,4.7,14546000.0,4.695,1
2006-06-13,4.62,4.74,4.53,4.55,16510000.0,4.55,1
2006-06-14,4.49,4.55,4.44,4.51,15971000.0,4.512,1
2006-06-15,4.54,4.61,4.51,4.6,16500000.0,4.595,1
2006-06-16,4.55,4.6,4.5,4.5,12280000.0,4.502,1
2006-06-19,4.55,4.55,4.41,4.43,11509000.0,4.434,1
2006-06-20,4.47,4.5,4.35,4.4,23792000.0,4.402,1
2006-06-21,4.4,4.59,4.4,4.53,18063000.0,4.53,1
2006-06-22,4.64,4.7,4.59,4.66,13038000.0,4.66,1
2006-06-23,4.7,4.79,4.69,4.7,11612000.0,4.695,1
2006-06-26,4.7,4.75,4.64,4.75,8565000.0,4.75,1
2006-06-27,4.75,4.8,4.73,4.73,9827000.0,4.731,1
2006-06-28,4.69,4.74,4.65,4.7,8756000.0,4.696,1
2006-06-29,4.7,4.81,4.7,4.8,14471000.0,4.8,1
2006-06-30,4.77,4.8,4.66,4.8,25964000.0,4.8,1
2006-07-03,4.79,4.8,4.68,4.73,7029000.0,4.73,1
2006-07-05,4.74,4.78,4.67,4.76,13266000.0,4.76,1
2006-07-06,4.73,4.74,4.68,4.68,8097000.0,4.68,1
2006-07-07,4.68,4.69,4.58,4.61,8380000.0,4.612,1
2006-07-10,4.62,4.66,4.61,4.65,4978000.0,4.649,1
2006-07-11,4.65,4.65,4.53,4.64,8079000.0,4.635,1
2006-07-12,4.64,4.64,4.55,4.56,7672000.0,4.555,1
2006-07-13,4.52,4.52,4.43,4.47,16625000.0,4.472,1
2006-07-14,4.46,4.47,4.39,4.4,9663000.0,4.395,1
2006-07-17,4.39,4.42,4.38,4.4,6458000.0,4.399,1
2006-07-18,4.4,4.41,4.37,4.39,12483000.0,4.39,1
2006-07-19,4.39,4.55,4.38,4.53,15840000.0,4.528,1
2006-07-20,4.54,4.58,4.51,4.56,8829000.0,4.555,1
2006-07-21,4.56,4.56,4.48,4.53,8511000.0,4.528,1
2006-07-24,4.55,4.55,4.5,4.5,5017000.0,4.5,1
2006-07-25,4.52,4.64,4.52,4.61,6900000.0,4.608,1
2006-07-26,4.61,4.79,4.58,4.67,10338000.0,4.668,1
2006-07-27,4.69,4.72,4.65,4.65,6009000.0,4.652,1
2006-07-28,4.65,4.68,4.63,4.63,4339000.0,4.63,1
2006-07-31,4.63,4.64,4.59,4.59,4617000.0,4.587,1
2006-08-01,4.59,4.59,4.47,4.5,7404000.0,4.5,1
2006-08-02,4.8,5.01,4.73,5.0,53374000.0,5.002,1
2006-08-03,4.91,5.02,4.87,5.0,21690000.0,4.999,1
2006-08-04,5.03,5.15,5.0,5.01,14216000.0,5.005,1
2006-08-07,5.05,5.13,5.03,5.11,6918000.0,5.11,1
2006-08-08,5.11,5.27,5.1,5.26,14073000.0,5.257,1
2006-08-09,5.3,5.45,5.2,5.29,15043000.0,5.285,1
2006-08-10,5.22,5.39,5.21,5.36,8725000.0,5.356,1
2006-08-11,5.35,5.45,5.33,5.37,9078000.0,5.368,1
2006-08-14,5.38,5.45,5.35,5.42,6314000.0,5.423,1
2006-08-15,5.47,5.49,5.43,5.45,8561000.0,5.449,1
2006-08-16,5.47,5.54,5.42,5.43,15344000.0,5.427,1
2006-08-17,5.42,5.42,5.32,5.35,10217000.0,5.346,1
2006-08-18,5.31,5.37,5.25,5.35,9343000.0,5.345,1
2006-08-21,5.33,5.56,5.28,5.43,12487000.0,5.426,1
2006-08-22,5.42,5.55,5.42,5.52,9761000.0,5.523,1
2006-08-23,5.55,5.58,5.45,5.46,9805000.0,5.4983,1876
2006-08-24,5.49,5.59,5.48,5.57,5190000.0,5.5312,1688
2006-08-25,5.58,5.59,5.49,5.5,7970000.0,5.5225,1378
2006-08-28,5.49,5.55,5.48,5.51,3408000.0,5.5095,995
2006-08-29,5.53,5.57,5.52,5.53,2869000.0,5.5363,914
2006-08-30,5.55,5.58,5.52,5.53,5710000.0,5.5411,1490
2006-08-31,5.53,5.62,5.53,5.59,6853000.0,5.5828,1648
2006-09-01,5.6,5.75,5.6,5.65,12434000.0,5.6916,3205
2006-09-05,5.69,5.72,5.63,5.69,4592000.0,5.6711,1519
2006-09-06,5.69,5.89,5.66,5.88,13264000.0,5.8043,3118
2006-09-07,5.85,6.09,5.85,6.01,24929000.0,6.0182,5651
2006-09-08,6.1,6.13,5.93,5.97,14731000.0,6.005,4052
2006-09-11,5.98,6.2,5.96,6.19,16683000.0,6.1159,4469
2006-09-12,6.1,6.22,6.05,6.21,16614000.0,6.1635,3695
2006-09-13,6.2,6.23,6.09,6.13,11242000.0,6.1391,2869
2006-09-14,6.09,6.33,6.07,6.28,12628000.0,6.23,3403
2006-09-15,6.28,6.52,6.28,6.5,17759000.0,6.4415,4627
2006-09-18,6.57,6.76,6.43,6.51,23030000.0,6.5887,6056
2006-09-19,6.5,6.62,6.43,6.48,16894000.0,6.5248,4043
2006-09-20,6.51,6.67,6.45,6.65,13418000.0,6.5737,3652
2006-09-21,6.75,6.96,6.7,6.9,25882000.0,6.868,6482
2006-09-22,6.9,6.95,6.51,6.6,29132000.0,6.6754,7797
2006-09-25,6.53,6.57,6.22,6.44,32386000.0,6.4291,7668
2006-09-26,6.34,6.73,6.28,6.6,36639000.0,6.5227,8047
2006-09-27,6.7,6.88,6.55,6.78,17948000.0,6.6936,5079
2006-09-28,6.77,6.89,6.77,6.87,12468000.0,6.8355,3134
2006-09-29,6.85,7.05,6.76,7.02,19890000.0,6.9225,4306
2006-10-02,7.03,7.03,6.97,7.01,16456000.0,6.9972,3589
2006-10-03,6.84,7.09,6.84,6.97,15259000.0,6.9858,4159
2006-10-04,7.0,7.04,6.88,6.96,12141000.0,6.9637,3354
2006-10-05,6.98,7.29,6.9,7.26,24110000.0,7.0799,6830
2006-10-06,7.24,7.58,7.2,7.52,34669000.0,7.4633,8928
2006-10-09,7.19,7.32,7.1,7.28,35486000.0,7.2029,8211
2006-10-10,7.12,7.33,7.05,7.19,26556000.0,7.1749,6875
2006-10-11,7.1,7.15,6.83,6.95,34746000.0,6.9642,8143
2006-10-12,6.91,7.15,6.87,7.05,14791000.0,7.002,5880
2006-10-13,7.1,7.17,6.98,7.01,11068000.0,7.0686,4452
2006-10-16,7.0,7.17,6.98,7.12,8420000.0,7.1183,3266
2006-10-17,7.11,7.12,6.93,6.95,9817000.0,6.9932,3679
2006-10-18,6.96,7.12,6.95,7.04,8176000.0,7.0403,3149
2006-10-19,7.05,7.29,6.98,7.23,12324000.0,7.1332,4652
2006-10-20,7.28,7.28,7.1,7.13,5019000.0,7.1582,2091
2006-10-23,7.14,7.16,6.98,7.03,7296000.0,7.0553,2751
2006-10-24,7.02,7.15,6.99,7.12,8120000.0,7.077,2681
2006-10-25,7.13,7.13,7.05,7.07,9816000.0,7.0782,2608
2006-10-26,7.08,7.4,6.99,7.21,21103000.0,7.2017,7638
2006-10-27,7.1,7.3,6.9,7.25,26650000.0,7.1495,8118
2006-10-30,7.26,7.36,7.18,7.25,16902000.0,7.2438,4420
2006-10-31,7.27,7.63,7.19,7.39,38091000.0,7.4311,10214
2006-11-01,7.59,8.75,7.59,8.5,134669000.0,8.5133,42893
2006-11-02,8.38,8.81,8.25,8.77,56687000.0,8.6148,17913
2006-11-03,8.77,8.97,8.68,8.95,40053000.0,8.8368,15102
2006-11-06,9.0,9.71,9.0,9.65,90645000.0,9.4407,33365
2006-11-07,9.57,9.62,9.24,9.25,68365000.0,9.4166,25288
2006-11-08,9.2,9.2,8.81,8.84,60878000.0,8.9755,22003
2006-11-09,9.13,9.24,8.83,8.83,53673000.0,9.0165,20018
2006-11-10,8.86,9.05,8.78,8.92,27527000.0,8.9383,9123
