date,open,high,low,close,volume,average,barCount
2004-08-23,27.07,27.18,26.64,26.68,1763000.0,26.829,2920
2004-08-24,26.6,27.04,26.6,26.88,2080900.0,26.903,2871
2004-08-25,26.84,27.0,26.56,26.98,2776900.0,26.831,3338
2004-08-26,27.0,27.29,26.95,27.13,2234100.0,27.168,2888
2004-08-27,27.07,27.28,26.98,27.2,1731900.0,27.163,2451
2004-08-30,27.05,27.36,27.01,27.02,1392300.0,27.161,2491
2004-08-31,27.0,27.09,26.66,27.0,2171600.0,26.905,2900
2004-09-01,27.03,27.78,26.86,27.18,2144600.0,27.09,3183
2004-09-02,27.18,27.53,27.01,27.49,2648100.0,27.3,3158
2004-09-03,27.4,27.9,27.4,27.78,2231800.0,27.768,3176
2004-09-07,27.74,27.77,27.1,27.4,4321400.0,27.35,4423
2004-09-08,27.85,27.98,27.48,27.5,4772300.0,27.774,4048
2004-09-09,27.75,27.92,26.87,27.44,4511200.0,27.639,3763
2004-09-10,27.23,27.3,26.98,27.05,4131400.0,27.102,4433
2004-09-13,26.89,27.14,26.89,27.14,3767200.0,27.024,4147
2004-09-14,27.2,27.71,27.04,27.61,4023900.0,27.499,4347
2004-09-15,27.6,27.67,27.42,27.5,2617600.0,27.586,3884
2004-09-16,27.45,27.74,27.45,27.59,2270000.0,27.628,2918
2004-09-17,27.75,27.78,27.56,27.68,2820400.0,27.702,2827
2004-09-20,27.63,27.98,27.42,27.46,3651700.0,27.667,3414
2004-09-21,27.5,27.84,27.43,27.79,2951600.0,27.699,3336
2004-09-22,27.56,27.57,26.95,27.02,5902700.0,27.114,4734
2004-09-23,27.1,27.48,27.07,27.17,3691600.0,27.303,3654
2004-09-24,27.22,27.73,27.22,27.6,3583000.0,27.493,3757
2004-09-27,27.45,28.06,27.42,27.94,4913300.0,27.885,3963
2004-09-28,27.78,28.03,27.73,27.98,3414200.0,27.929,3884
2004-09-29,27.75,27.96,27.65,27.9,3190700.0,27.795,3775
2004-09-30,27.79,28.13,27.71,28.03,3487200.0,27.913,3930
2004-10-01,28.0,28.25,27.92,28.17,3476200.0,28.117,3729
2004-10-04,28.14,28.26,27.9,28.0,4547400.0,28.035,4034
2004-10-05,27.96,27.99,27.77,27.93,2369200.0,27.887,3617
2004-10-06,27.9,28.81,27.46,27.83,5694400.0,27.691,4263
2004-10-07,28.16,28.45,27.88,27.92,5848600.0,28.167,4424
2004-10-08,27.94,28.18,27.9,27.94,3448100.0,28.023,3775
2004-10-11,27.93,28.03,27.59,27.67,2920900.0,27.827,3136
2004-10-12,27.48,27.68,27.31,27.53,3764600.0,27.531,3637
2004-10-13,28.3,28.88,28.05,28.87,11661400.0,28.596,7970
2004-10-14,28.65,29.19,28.65,29.08,6037800.0,29.025,6002
2004-10-15,29.24,29.49,28.96,28.99,5206600.0,29.183,5339
2004-10-18,28.83,29.48,28.8,29.23,5329300.0,29.238,5651
2004-10-19,29.21,29.49,28.81,28.96,6789000.0,29.203,5017
2004-10-20,28.74,28.84,28.35,28.78,5014500.0,28.609,4706
2004-10-21,28.8,28.99,28.27,28.49,3898400.0,28.568,4448
2004-10-22,28.47,28.75,28.42,28.53,3857900.0,28.604,4185
2004-10-25,28.34,28.55,28.1,28.36,3430500.0,28.394,4320
2004-10-26,28.4,28.88,28.2,28.86,3470400.0,28.641,4659
2004-10-27,28.67,29.2,28.61,29.2,3564100.0,28.983,4403
2004-10-28,28.96,29.1,28.86,29.02,2659800.0,28.995,3609
2004-10-29,28.83,29.14,28.68,29.12,3175800.0,29.003,3778
2004-11-01,29.05,29.6,29.0,29.56,4296400.0,29.361,4732
2004-11-02,29.5,29.73,29.05,29.19,3917500.0,29.388,5148
2004-11-03,29.17,29.44,28.77,29.33,5707300.0,29.078,6223
2004-11-04,29.32,29.69,29.3,29.63,7594200.0,29.454,5421
2004-11-05,29.74,30.25,29.65,30.05,6909600.0,29.962,5573
2004-11-08,30.4,31.0,30.04,30.22,7931400.0,30.458,6813
2004-11-09,30.08,30.29,29.93,30.15,3759700.0,30.124,4840
2004-11-10,29.96,30.27,29.81,30.05,4898400.0,30.082,5422
2004-11-11,30.1,30.42,29.93,30.31,3135800.0,30.178,4627
2004-11-12,30.38,30.49,30.1,30.49,3073300.0,30.276,4336
2004-11-15,30.33,30.54,30.24,30.41,3126400.0,30.424,3884
2004-11-16,30.47,30.47,30.12,30.14,2275400.0,30.28,3803
2004-11-17,30.32,30.53,30.11,30.41,3911000.0,30.39,4886
2004-11-18,30.25,30.57,29.65,29.96,9264600.0,29.959,6020
2004-11-19,29.65,29.75,29.0,29.26,7553800.0,29.351,5644
2004-11-22,29.44,29.57,29.02,29.39,4680800.0,29.273,5659
2004-11-23,29.27,30.12,29.26,30.1,4903300.0,29.856,5237
2004-11-24,30.2,30.83,30.2,30.44,3937000.0,30.419,5179
2004-11-26,30.33,30.73,30.31,30.59,1230800.0,30.552,1836
2004-11-29,30.71,30.85,30.01,30.74,5075500.0,30.6,5094
2004-11-30,30.6,30.84,30.5,30.75,5528400.0,30.691,4703
2004-12-01,30.9,31.36,30.86,31.2,6071000.0,31.12,5339
2004-12-02,31.32,31.58,31.14,31.42,4040000.0,31.392,4362
2004-12-03,31.42,31.42,31.12,31.27,3107500.0,31.267,4649
2004-12-06,31.21,31.21,30.96,31.09,2766200.0,31.091,3788
2004-12-07,31.08,31.37,30.91,31.27,4999600.0,31.227,4421
2004-12-08,31.22,31.75,31.21,31.48,5188600.0,31.557,4790
2004-12-09,31.2,31.85,31.14,31.78,6710700.0,31.495,5884
2004-12-10,31.88,31.88,31.4,31.64,3872500.0,31.632,4137
2004-12-13,31.84,31.98,31.73,31.98,3885800.0,31.863,4046
2004-12-14,31.98,32.03,31.82,31.92,5087800.0,31.93,4894
2004-12-15,31.85,32.5,31.84,32.39,4715000.0,32.224,4896
2004-12-16,32.44,32.75,32.31,32.65,5196300.0,32.609,4580
2004-12-17,32.67,32.94,32.44,32.56,6469200.0,32.676,5816
2004-12-20,32.55,32.79,32.19,32.39,4296400.0,32.446,4590
2004-12-21,32.57,32.74,32.4,32.61,4110400.0,32.55,4698
2004-12-22,32.67,32.96,32.3,32.55,3945900.0,32.558,5037
2004-12-23,32.55,32.74,32.12,32.34,2670100.0,32.271,4087
2004-12-27,32.4,32.52,32.12,32.18,2266900.0,32.298,3356
2004-12-28,32.28,32.51,32.22,32.46,2995600.0,32.385,3813
2004-12-29,32.47,32.59,32.22,32.57,2871300.0,32.417,3582
2004-12-30,32.5,32.69,32.34,32.36,2640600.0,32.519,3172
2004-12-31,32.4,32.45,32.05,32.07,2649100.0,32.254,3377
2005-01-03,31.6,32.23,31.54,31.83,4324900.0,31.933,5647
2005-01-04,31.74,32.31,31.74,32.05,5149500.0,32.122,5748
2005-01-05,32.08,32.27,31.84,31.85,3844700.0,32.067,4918
2005-01-06,31.84,32.21,31.8,32.11,3502200.0,32.008,4559
2005-01-07,32.03,32.18,31.73,31.84,3458700.0,31.988,4762
2005-01-10,31.67,31.86,31.52,31.66,3090200.0,31.695,4572
2005-01-11,31.43,31.67,31.05,31.05,4561800.0,31.263,5523
2005-01-12,31.22,31.35,30.96,31.33,3851100.0,31.154,4919
2005-01-13,31.24,31.31,30.84,30.93,3353400.0,31.094,4165
2005-01-14,30.84,31.36,30.81,31.31,3654800.0,31.114,3361
2005-01-18,31.2,31.69,31.08,31.6,3282500.0,31.456,4568
2005-01-19,31.7,32.0,31.56,31.61,4296000.0,31.793,4772
2005-01-20,31.57,31.77,31.13,31.44,3852100.0,31.468,5650
2005-01-21,31.45,31.6,31.13,31.19,3407400.0,31.318,4473
2005-01-24,31.58,31.89,31.43,31.67,4869600.0,31.688,5719
2005-01-25,31.99,32.09,31.9,31.95,4371500.0,32.001,4805
2005-01-26,31.93,32.25,31.87,31.99,3951300.0,32.038,4426
2005-01-27,32.0,32.39,31.94,32.13,5832600.0,32.125,4536
2005-01-28,31.85,32.24,31.2,31.99,7443500.0,31.771,6825
2005-01-31,32.1,32.5,32.1,32.38,4845700.0,32.4,4441
2005-02-01,32.05,32.19,31.91,31.98,5672700.0,32.024,4724
2005-02-02,31.88,32.02,31.56,31.76,6236600.0,31.717,3981
2005-02-03,31.6,32.1,31.4,32.1,3547000.0,31.921,4326
2005-02-04,31.82,32.6,31.8,32.58,4852600.0,32.368,4471
2005-02-07,32.38,32.85,32.38,32.8,5222700.0,32.685,5416
2005-02-08,32.72,32.85,32.38,32.44,4813400.0,32.61,4358
2005-02-09,32.4,32.48,31.96,31.96,4349800.0,32.167,4556
2005-02-10,32.1,32.21,31.86,32.1,3464900.0,32.052,4210
