date,open,high,low,close,volume,average,barCount
2004-08-23,44.77,46.01,44.02,44.05,3763293.1305715786,44.2586095,4953
2004-08-24,44.26,44.49,44.03,44.18,3224646.0409019403,44.177562,4609
2004-08-25,44.19,44.67,43.18,43.86,7540849.501835343,43.8791165,6829
2004-08-26,43.34,43.38,42.63,42.97,9424016.780283168,42.903686,7546
2004-08-27,42.96,43.17,42.89,43.08,5668274.777136864,43.046711,5299
2004-08-30,42.76,43.56,42.76,42.87,4756581.017304667,43.115363,5248
2004-08-31,42.81,43.12,42.44,42.86,4697430.519140011,42.749219,6304
2004-09-01,42.52,42.61,42.07,42.46,4766754.063974829,42.3764005,5881
2004-09-02,42.57,43.2,42.34,42.99,4548085.998951232,42.7978475,5790
2004-09-03,43.17,43.57,43.12,43.38,4094179.33927635,43.3966455,5437
2004-09-07,43.53,43.78,43.24,43.6,4389407.446250656,43.5682755,5593
2004-09-08,43.53,43.85,43.45,43.48,5084006.292606188,43.620718,5699
2004-09-09,43.52,43.52,43.07,43.16,4642055.584687992,43.233597,5107
2004-09-10,42.92,43.82,42.91,43.64,5033665.443104353,43.412855,5736
2004-09-13,43.37,43.38,42.96,43.28,7330886.208704772,43.159224,5796
2004-09-14,43.34,43.74,43.02,43.46,5252018.877818563,43.546345,5568
2004-09-15,43.6,43.67,43.1,43.28,4447299.423177767,43.3623195,4568
2004-09-16,43.29,43.38,42.94,43.07,3835448.3481908757,43.1430145,4482
2004-09-17,43.29,43.31,42.86,42.9,6639014.1583639225,43.0552925,5063
2004-09-20,42.76,42.94,42.34,42.58,5849292.081803881,42.5518445,5245
2004-09-21,42.6,42.99,42.51,42.75,4794022.024121657,42.764475,5361
2004-09-22,42.53,42.8,42.43,42.66,4924803.356056633,42.619543,5665
2004-09-23,42.67,42.97,42.14,42.22,4660199.265862611,42.4660295,5698
2004-09-24,42.19,42.31,41.99,42.05,4082642.8945988463,42.140886,5010
2004-09-27,41.04,42.75,41.04,42.42,6089355.007865758,42.4412385,5713
2004-09-28,42.6,43.66,42.43,42.82,5626953.329837441,42.8245455,6166
2004-09-29,42.7,42.97,42.56,42.97,3932249.606712113,42.7940335,4931
2004-09-30,31.82,32.51,28.65,31.49,142388044.0482433,31.5961295,105502
2004-10-01,32.12,32.39,31.66,31.78,58444467.75039329,32.010902,50956
2004-10-04,32.68,34.33,31.68,32.61,36254431.04352386,32.445698,31706
2004-10-05,32.65,32.66,31.88,31.94,28182170.949134767,32.2616725,21005
2004-10-06,31.58,31.62,30.19,30.22,49018563.188253805,30.796143,33905
2004-10-07,29.7,29.8,28.78,29.51,52463345.56895648,29.194263,36140
2004-10-08,29.37,29.67,28.61,28.95,22841950.707918197,29.2657755,17548
2004-10-11,28.93,29.69,27.65,29.3,24253592.029365495,29.125611,18143
