date,open,high,low,close,volume,average,barCount
2004-08-23,27.27,27.7,27.12,27.25,37412900.0,27.229,67807
2004-08-24,27.39,27.46,26.57,27.23,35001600.0,27.234,61986
2004-08-25,27.23,28.56,27.18,27.55,49702900.0,27.442,79781
2004-08-26,27.45,27.6,27.39,27.45,33553500.0,27.507,58560
2004-08-27,27.49,27.65,27.45,27.46,30780800.0,27.541,54852
2004-08-30,27.29,27.39,26.85,27.31,35078700.0,27.27,59898
2004-08-31,27.27,27.32,27.05,27.29,45118300.0,27.164,78252
2004-09-01,27.23,27.52,27.14,27.38,46504300.0,27.354,83925
2004-09-02,27.37,27.68,27.35,27.63,40094000.0,27.519,68638
2004-09-03,27.43,27.62,27.1,27.12,43623900.0,27.269,71415
2004-09-07,27.3,27.38,27.16,27.35,42489400.0,27.279,75503
2004-09-08,27.31,27.47,27.14,27.28,40046100.0,27.266,71299
2004-09-09,27.3,27.47,27.18,27.27,54614100.0,27.324,87385
2004-09-10,27.35,27.51,27.18,27.49,50144800.0,27.306,76817
2004-09-13,27.54,27.57,26.74,27.24,42789700.0,27.433,66538
2004-09-14,27.35,27.51,27.27,27.42,48483000.0,27.4,73060
2004-09-15,27.38,27.4,27.14,27.18,49070000.0,27.235,69528
2004-09-16,27.23,27.78,27.17,27.26,34258000.0,27.252,53510
2004-09-17,27.38,27.53,27.26,27.49,47951700.0,27.371,65704
2004-09-20,27.41,27.65,27.33,27.51,47671000.0,27.493,72411
2004-09-21,27.45,27.53,27.26,27.29,64517700.0,27.396,89246
2004-09-22,27.23,27.74,27.07,27.11,64802700.0,27.182,92415
2004-09-23,27.18,27.39,27.17,27.35,48137500.0,27.298,76217
2004-09-24,27.39,27.46,27.19,27.31,45108500.0,27.357,71360
2004-09-27,27.17,27.32,27.13,27.23,38885900.0,27.243,60697
2004-09-28,27.21,27.36,27.04,27.27,57715800.0,27.219,87968
2004-09-29,27.28,27.69,27.23,27.56,54232800.0,27.506,84892
2004-09-30,27.58,27.79,27.52,27.64,47319100.0,27.654,79985
2004-10-01,27.8,28.32,27.78,28.25,62878700.0,28.111,104014
2004-10-04,28.43,28.46,28.07,28.09,55816300.0,28.229,90610
2004-10-05,28.15,28.75,28.1,28.38,54940700.0,28.324,86185
2004-10-06,28.39,28.55,28.23,28.53,48393800.0,28.383,79234
2004-10-07,28.49,28.59,28.16,28.18,37069300.0,28.375,58956
2004-10-08,28.11,28.33,27.97,28.0,47464000.0,28.155,80190
2004-10-11,28.21,28.23,27.93,28.05,41975400.0,28.087,61420
2004-10-12,27.83,28.16,27.81,28.05,54731600.0,27.965,80915
2004-10-13,28.18,28.27,27.94,28.0,46409300.0,28.105,74671
2004-10-14,28.06,28.16,27.8,27.8,39845600.0,27.938,74110
2004-10-15,27.95,28.24,27.82,27.98,44465200.0,28.023,79311
2004-10-18,28.06,28.45,27.98,28.41,47597900.0,28.254,84228
2004-10-19,28.54,28.59,28.18,28.18,53290100.0,28.4,93146
2004-10-20,28.23,28.75,27.44,28.72,65543600.0,28.508,108809
2004-10-21,28.81,28.89,28.47,28.55,84118500.0,28.662,112286
2004-10-22,28.3,28.34,26.28,27.73,96260500.0,27.927,130220
2004-10-25,27.67,28.0,27.5,27.62,53342600.0,27.657,85350
2004-10-26,27.7,27.9,27.22,27.9,67443500.0,27.739,99436
2004-10-27,27.87,28.35,27.58,28.13,66669100.0,28.152,108035
2004-10-28,28.12,28.54,27.88,28.05,54972900.0,28.058,83677
2004-10-29,28.09,28.15,27.42,27.95,72343700.0,27.964,86086
2004-11-01,28.16,29.19,27.96,28.1,63378500.0,28.094,99405
2004-11-02,28.24,28.47,28.03,28.24,77443900.0,28.301,111982
2004-11-03,28.65,28.66,28.31,28.48,69191100.0,28.456,98235
2004-11-04,28.39,29.0,28.38,28.99,75395600.0,28.742,112786
2004-11-05,29.16,29.31,29.03,29.26,81774500.0,29.191,125514
2004-11-08,29.19,29.48,29.13,29.3,99758500.0,29.3,119662
2004-11-09,29.43,29.89,29.35,29.77,91888300.0,29.629,138225
2004-11-10,29.9,30.0,28.95,29.73,75491600.0,29.808,116369
2004-11-11,29.89,30.08,28.0,29.99,82188500.0,29.958,119333
2004-11-12,30.16,30.2,29.8,29.96,141743700.0,29.934,176143
2004-11-15,27.34,27.5,27.2,27.38,92626000.0,27.326,119154
