date,open,high,low,close,volume,average,barCount
2017-12-20,118.66,119.12,117.56,119.02,2399215.0,118.462,13124
2017-12-21,119.45,119.57,117.84,118.26,1570907.0,118.632,10907
2017-12-22,118.6,118.75,118.17,118.6,1241150.0,118.558,8062
2017-12-26,118.41,119.24,118.41,118.89,1503982.0,118.914,7878
2017-12-27,118.87,119.4,118.8,119.3,1555515.0,119.058,9006
2017-12-28,119.42,119.53,119.05,119.35,1411985.0,119.309,9218
2017-12-29,119.46,120.57,119.42,119.92,1646852.0,120.127,10996
2018-01-02,119.93,120.18,117.92,118.06,2888392.0,118.558,18466
2018-01-03,117.91,118.47,117.64,117.75,3026620.0,117.999,18387
2018-01-04,117.73,119.11,117.6,118.33,2063227.0,118.595,14253
2018-01-05,118.41,119.09,118.24,118.67,1635676.0,118.595,11230
2018-01-08,118.21,118.74,117.67,117.99,3440032.0,118.125,21826
2018-01-09,118.26,118.98,117.95,118.08,3485528.0,118.433,20474
2018-01-10,118.13,118.36,116.7,117.48,2030967.0,117.383,13750
2018-01-11,117.46,117.85,116.38,116.88,2499193.0,116.838,16382
2018-01-12,116.95,118.01,116.85,117.38,3007807.0,117.544,21867
2018-01-16,117.2,118.35,117.03,117.86,3342446.0,117.891,24120
2018-01-17,118.33,120.17,118.21,119.18,3175416.0,119.484,21529
2018-01-18,119.06,119.62,118.65,119.05,2074698.0,119.123,14820
2018-01-19,119.48,120.68,118.64,120.17,3643664.0,120.103,20834
2018-01-22,120.1,121.85,120.0,121.51,2732691.0,121.337,19032
2018-01-23,121.01,122.51,120.85,121.3,2539922.0,121.567,17761
2018-01-24,121.24,121.48,120.82,121.14,1991511.0,121.19,15173
2018-01-25,120.61,121.46,120.36,120.9,1833835.0,120.994,13162
2018-01-26,120.61,121.84,120.61,121.76,2034667.0,121.303,15090
2018-01-29,121.38,122.16,119.65,119.67,2434199.0,120.544,17856
2018-01-30,119.68,121.2,119.5,119.89,2804224.0,120.216,20896
2018-01-31,119.84,120.75,119.51,120.3,2087628.0,120.14,15711
2018-02-01,119.92,121.01,119.28,120.3,2121098.0,120.314,15706
2018-02-02,119.91,120.28,118.4,118.67,2190793.0,119.19,14231
2018-02-05,118.57,119.66,114.41,114.46,3526875.0,116.859,22917
2018-02-06,112.44,113.95,110.15,113.56,4658961.0,112.504,33350
2018-02-07,113.25,115.77,112.75,113.5,3356241.0,114.509,23911
2018-02-08,113.65,113.72,110.09,110.15,3091382.0,112.002,22390
2018-02-09,110.81,111.99,108.88,111.18,3801252.0,110.466,27948
2018-02-12,111.9,112.75,111.06,111.93,3138585.0,112.072,24323
2018-02-13,112.0,112.67,110.68,112.14,4215845.0,112.017,25688
2018-02-14,111.67,111.9,108.76,109.11,5839664.0,109.541,36450
2018-02-15,109.53,111.04,108.72,110.97,4049912.0,110.148,24813
2018-02-16,111.06,111.7,109.76,111.06,3490203.0,110.896,23659
2018-02-20,110.96,110.96,109.34,109.48,2458058.0,109.957,17731
2018-02-21,109.35,109.85,107.94,108.0,2952386.0,108.884,20596
2018-02-22,108.33,109.97,108.02,109.26,3403664.0,109.353,23773
2018-02-23,109.36,110.05,108.57,109.68,3173404.0,109.314,19815
2018-02-26,110.17,111.17,110.03,110.94,3598303.0,110.749,24018
2018-02-27,111.18,112.08,110.71,110.89,4460182.0,111.36,30174
2018-02-28,111.0,111.65,109.68,109.73,2825794.0,110.579,20992
2018-03-01,109.21,109.88,107.24,108.12,4175012.0,108.351,32929
2018-03-02,107.91,109.32,107.9,109.04,2892811.0,108.671,21406
2018-03-05,108.46,109.6,108.02,109.43,2220797.0,109.023,16630
2018-03-06,109.36,109.62,108.44,109.58,2143514.0,109.02,15670
2018-03-07,108.89,110.06,108.61,109.84,2435770.0,109.536,17854
2018-03-08,110.03,112.13,109.58,112.08,3629580.0,111.415,21655
2018-03-09,112.27,112.57,111.64,112.54,2392853.0,112.149,17808
2018-03-12,112.5,113.09,112.07,112.75,3230676.0,112.642,21260
2018-03-13,113.27,113.9,112.72,113.6,3245659.0,113.58,21021
2018-03-14,113.57,113.77,112.23,112.61,3246297.0,112.674,20285
2018-03-15,112.34,113.25,111.66,111.99,2837298.0,112.387,17935
2018-03-16,112.33,113.2,111.58,111.64,3348374.0,112.178,16215
2018-03-19,111.65,111.99,110.05,110.36,2660459.0,110.725,20242
2018-03-20,110.75,111.3,109.83,109.9,2216417.0,110.223,16852
2018-03-21,109.89,110.08,108.53,108.74,2944901.0,109.097,20815
2018-03-22,108.45,109.67,107.8,107.94,2880965.0,108.871,21667
2018-03-23,108.15,108.74,105.93,106.15,3044713.0,107.329,23501
