date,open,high,low,close,volume,average,barCount
2004-08-23,37.23,38.71,37.17,37.97,18099300.0,38.062,48046
2004-08-24,38.06,38.59,37.57,37.97,12034900.0,37.998,31565
2004-08-25,38.01,38.5,37.68,38.42,9300600.0,38.149,26754
2004-08-26,38.13,38.49,37.78,37.95,7682700.0,38.067,21804
2004-08-27,38.0,38.85,37.93,38.45,10270800.0,38.496,26493
2004-08-30,37.93,38.14,37.37,37.72,7194700.0,37.766,21132
2004-08-31,37.69,38.1,37.49,38.07,8073100.0,37.785,22815
2004-09-01,37.55,38.5,37.36,38.06,10664400.0,37.998,29708
2004-09-02,37.8,39.0,37.76,38.79,8242000.0,38.519,23409
2004-09-03,38.53,38.95,38.04,38.5,8083100.0,38.517,24269
2004-09-07,38.6,39.87,38.58,39.31,14170500.0,39.272,37954
2004-09-08,38.72,39.95,38.7,39.52,14783000.0,39.473,40048
2004-09-09,39.99,40.0,39.12,39.59,14613300.0,39.593,42638
2004-09-10,39.4,39.54,38.91,39.5,11812900.0,39.206,30288
2004-09-13,39.78,41.17,39.58,40.39,13828000.0,40.145,33380
2004-09-14,40.11,41.0,39.98,40.9,10651500.0,40.664,29214
2004-09-15,40.6,40.82,40.1,40.57,9557000.0,40.449,25704
2004-09-16,40.06,40.95,39.9,40.4,12522400.0,40.48,30005
2004-09-17,37.55,39.47,37.5,38.84,43566600.0,38.492,96661
2004-09-20,38.04,38.63,37.91,38.42,16635900.0,38.292,44583
2004-09-21,38.42,39.76,38.29,39.45,11605600.0,39.15,34360
2004-09-22,38.75,38.95,38.3,38.66,11332800.0,38.644,33738
2004-09-23,38.7,39.08,38.52,38.72,8692000.0,38.82,26716
2004-09-24,38.75,38.82,38.05,38.26,9921600.0,38.378,29829
2004-09-27,37.93,38.64,37.82,38.01,10768800.0,38.225,33897
2004-09-28,38.2,38.4,37.8,38.13,9027000.0,38.12,30204
2004-09-29,38.0,39.0,37.71,38.96,10419300.0,38.42,31468
2004-09-30,38.75,39.08,38.35,39.04,13048900.0,38.766,29842
2004-10-01,39.39,40.5,39.17,40.48,13817900.0,39.902,39210
2004-10-04,40.74,41.49,40.71,40.92,12331500.0,41.199,37670
2004-10-05,40.61,41.42,40.45,41.18,8504900.0,41.028,28937
