date,open,high,low,close,volume,average,barCount
2004-08-23,29.0,29.21,28.91,28.95,4617000.0,29.0515,3977
2004-08-24,29.07,29.17,29.01,29.09,4265200.0,29.075,3481
2004-08-25,29.09,29.36,29.06,29.29,5781000.0,29.206,4027
2004-08-26,29.21,29.52,29.17,29.35,5780200.0,29.397,4306
2004-08-27,29.4,29.43,29.23,29.34,3484400.0,29.356,3355
2004-08-30,29.24,29.36,29.19,29.22,3551400.0,29.296,3605
2004-08-31,29.2,29.37,29.12,29.37,4559200.0,29.2575,3871
2004-09-01,29.39,29.52,29.18,29.41,5912400.0,29.3955,4182
2004-09-02,29.48,29.75,29.41,29.72,5815400.0,29.568,4198
2004-09-03,29.74,29.91,29.6,29.66,4943200.0,29.75,3903
2004-09-07,29.87,29.93,29.74,29.85,6734600.0,29.823,4612
2004-09-08,29.8,29.85,29.46,29.5,6761400.0,29.6075,4964
2004-09-09,29.58,29.6,29.4,29.48,4987000.0,29.4805,3843
2004-09-10,29.55,29.61,29.31,29.54,4524600.0,29.448,3589
2004-09-13,29.64,29.73,29.53,29.6,5514600.0,29.6435,4401
2004-09-14,29.65,29.74,29.5,29.53,4601200.0,29.6075,3795
2004-09-15,29.44,29.78,29.43,29.55,5042000.0,29.6145,4258
2004-09-16,29.57,29.68,29.49,29.61,3455800.0,29.5675,3549
2004-09-17,29.7,29.79,29.59,29.68,5590800.0,29.6925,3633
2004-09-20,29.64,29.73,29.39,29.52,4240600.0,29.4935,3865
2004-09-21,29.58,29.65,29.31,29.53,5185400.0,29.4605,4073
2004-09-22,29.29,29.46,29.17,29.33,8708400.0,29.287,4640
2004-09-23,29.4,29.44,29.03,29.08,6933400.0,29.205,4683
2004-09-24,29.01,29.43,29.01,29.32,5590200.0,29.25,4596
2004-09-27,29.33,29.64,29.31,29.54,7832800.0,29.491,4632
2004-09-28,29.55,29.73,29.32,29.66,6281000.0,29.5915,4311
2004-09-29,29.53,29.67,29.39,29.65,6393600.0,29.5115,4648
2004-09-30,29.78,29.88,29.55,29.81,6760800.0,29.7305,4333
2004-10-01,29.84,30.12,29.77,30.1,8033000.0,30.0035,4746
2004-10-04,30.2,30.36,30.11,30.2,7912600.0,30.2085,4878
2004-10-05,30.12,30.33,30.07,30.19,5436600.0,30.197,4099
2004-10-06,30.13,30.3,30.11,30.3,5024800.0,30.2035,3955
2004-10-07,30.23,30.34,30.08,30.1,3994600.0,30.204,3655
2004-10-08,30.16,30.34,30.1,30.22,5143600.0,30.2145,4249
