date,open,high,low,close,volume,average,barCount
2004-08-24 13:30:00,44.26,44.41,44.19,44.36,385317.25222863135,44.284354,459
2004-08-24 14:00:00,44.36,44.49,44.09,44.11,678342.9470372313,44.291982,795
2004-08-24 15:00:00,44.11,44.24,44.04,44.12,477923.4399580493,44.118445,758
2004-08-24 16:00:00,44.13,44.21,44.05,44.15,295857.3675930781,44.1232125,538
2004-08-24 17:00:00,44.15,44.21,44.08,44.15,387100.1573151547,44.141329,537
2004-08-24 18:00:00,44.16,44.16,44.03,44.13,355637.12637650763,44.0984215,637
2004-08-24 19:00:00,44.12,44.22,44.03,44.18,644467.7503932879,44.126073,885
2004-08-25 13:30:00,44.19,44.34,44.14,44.19,305296.2768746723,44.209981,417
2004-08-25 14:00:00,44.19,44.24,43.98,44.19,506135.2910330362,44.1232125,821
2004-08-25 15:00:00,44.19,44.32,44.15,44.32,295437.86051389616,44.2395395,615
2004-08-25 16:00:00,44.33,44.55,44.32,44.49,534137.3885684321,44.4321465,712
2004-08-25 17:00:00,44.49,44.67,43.18,43.44,2319664.3943366543,43.8180925,1296
2004-08-25 18:00:00,43.45,43.98,43.38,43.86,2180388.044048243,43.719882,1581
2004-08-25 19:00:00,43.86,43.9,43.6,43.86,1399790.2464604091,43.778999,1387
2004-08-26 13:30:00,43.34,43.38,42.76,43.02,1935605.663345569,43.0934325,1024
2004-08-26 14:00:00,43.02,43.15,42.67,42.7,2703932.878867331,42.857918,1866
2004-08-26 15:00:00,42.7,42.87,42.63,42.81,1062191.9244887258,42.758754,1144
2004-08-26 16:00:00,42.79,42.83,42.72,42.78,694703.7231253277,42.7844985,845
2004-08-26 17:00:00,42.79,42.87,42.75,42.76,695332.9837441007,42.815964,676
2004-08-26 18:00:00,42.76,42.91,42.75,42.89,720188.7781856318,42.85029,902
2004-08-26 19:00:00,42.89,43.01,42.89,42.97,1612060.8285264813,42.958989,1089
2004-08-27 13:30:00,42.96,43.12,42.89,43.02,820765.6004195071,42.9828265,681
2004-08-27 14:00:00,43.01,43.14,42.98,43.09,925747.2469847929,43.056246,930
2004-08-27 15:00:00,43.09,43.17,43.01,43.15,590561.0907184059,43.1029675,831
2004-08-27 16:00:00,43.15,43.16,43.01,43.04,621709.4913476665,43.0762695,593
2004-08-27 17:00:00,43.03,43.05,42.99,43.03,430938.64708966966,43.027641,604
2004-08-27 18:00:00,43.02,43.1,43.0,43.08,824541.1641321448,43.0343155,758
2004-08-27 19:00:00,43.08,43.1,43.0,43.08,1454011.5364446775,43.054339,902
2004-08-30 13:30:00,42.76,42.97,42.76,42.91,646355.5322496067,42.8645925,450
2004-08-30 14:00:00,42.91,43.39,42.88,43.24,811851.0749868904,43.21262,923
2004-08-30 15:00:00,43.25,43.56,43.24,43.3,808285.2648138438,43.44146,867
2004-08-30 16:00:00,43.3,43.34,43.23,43.28,547561.6151022549,43.275551,527
2004-08-30 17:00:00,43.28,43.28,42.97,43.0,587729.4179339276,43.056246,705
2004-08-30 18:00:00,42.99,43.03,42.91,42.92,487362.34923964343,42.960896,781
2004-08-30 19:00:00,42.92,42.98,42.87,42.87,867435.7629785002,42.932291,995
2004-08-31 13:30:00,42.81,43.07,42.78,43.04,694179.3392763503,42.9179885,696
2004-08-31 14:00:00,43.05,43.12,42.84,42.87,590246.4604090194,42.9561285,960
2004-08-31 15:00:00,42.87,42.93,42.74,42.75,512742.52753015206,42.810243,827
2004-08-31 16:00:00,42.75,42.8,42.67,42.67,399580.49292081804,42.7406375,710
2004-08-31 17:00:00,42.67,42.71,42.51,42.61,568222.3387519665,42.5804495,841
2004-08-31 18:00:00,42.61,42.75,42.44,42.73,703723.1253277399,42.56424,1018
2004-08-31 19:00:00,42.73,42.89,42.55,42.86,1228736.2349239644,42.7177535,1252
2004-09-01 13:30:00,42.52,42.61,42.07,42.2,654011.5364446775,42.358284,623
2004-09-01 14:00:00,42.2,42.51,42.19,42.44,911274.2527530153,42.3630515,1069
2004-09-01 15:00:00,42.45,42.5,42.35,42.39,405558.46879916097,42.41168,735
2004-09-01 16:00:00,42.42,42.55,42.37,42.48,529627.6874672261,42.4584015,588
2004-09-01 17:00:00,42.48,42.51,42.14,42.31,626848.4530676455,42.3230045,828
2004-09-01 18:00:00,42.32,42.45,42.26,42.37,545464.0797063451,42.339214,881
2004-09-01 19:00:00,42.37,42.47,42.29,42.46,1093969.5857367592,42.3935635,1157
2004-09-02 13:30:00,42.57,42.57,42.34,42.41,486837.965390666,42.480332,481
2004-09-02 14:00:00,42.42,42.66,42.41,42.66,624226.5338227582,42.512751,998
2004-09-02 15:00:00,42.65,42.72,42.58,42.71,467121.1326691138,42.6395665,824
2004-09-02 16:00:00,42.72,42.82,42.68,42.81,413319.3497640273,42.7539865,675
2004-09-02 17:00:00,42.81,42.86,42.73,42.81,429365.4955427373,42.8016615,518
2004-09-02 18:00:00,42.82,43.05,42.8,43.05,685998.951232302,42.917035,889
2004-09-02 19:00:00,43.05,43.2,42.89,42.99,1441216.5705296276,43.0343155,1405
2004-09-03 13:30:00,43.17,43.42,43.12,43.37,636497.1158888306,43.30797,570
2004-09-03 14:00:00,43.36,43.43,43.17,43.31,850445.7262716308,43.315598,970
2004-09-03 15:00:00,43.32,43.42,43.25,43.41,529732.5642370215,43.3222725,821
2004-09-03 16:00:00,43.41,43.48,43.37,43.47,310959.62244362873,43.4309715,580
2004-09-03 17:00:00,43.47,43.57,43.44,43.53,428211.8510749869,43.5072515,659
2004-09-03 18:00:00,43.52,43.57,43.4,43.49,430309.3864708967,43.5072515,740
2004-09-03 19:00:00,43.48,43.56,43.37,43.38,908023.072889355,43.4614835,1097
2004-09-07 13:30:00,43.53,43.75,43.5,43.58,678028.3167278448,43.6006945,652
2004-09-07 14:00:00,43.57,43.61,43.34,43.36,884425.7996853697,43.5263215,918
2004-09-07 15:00:00,43.35,43.48,43.24,43.46,554168.8515993707,43.367087,822
2004-09-07 16:00:00,43.46,43.71,43.46,43.66,461143.1567907708,43.5797175,696
2004-09-07 17:00:00,43.67,43.78,43.6,43.66,496591.50498164655,43.7093935,673
2004-09-07 18:00:00,43.66,43.69,43.41,43.56,516518.09124278976,43.559694,823
2004-09-07 19:00:00,43.55,43.74,43.51,43.6,798531.7252228631,43.637881,1009
2004-09-08 13:30:00,43.53,43.84,43.53,43.69,483272.1552176193,43.6750675,576
2004-09-08 14:00:00,43.69,43.85,43.65,43.74,823807.0267435763,43.7494405,1072
2004-09-08 15:00:00,43.74,43.76,43.57,43.63,445516.5180912428,43.687463,806
2004-09-08 16:00:00,43.64,43.67,43.49,43.53,360985.8416360776,43.5797175,653
2004-09-08 17:00:00,43.51,43.65,43.48,43.6,724488.725747247,43.57495,685
2004-09-08 18:00:00,43.61,43.66,43.5,43.57,985107.4986890404,43.5873455,807
2004-09-08 19:00:00,43.57,43.65,43.45,43.48,1260828.5264813844,43.55588,1100
2004-09-09 13:30:00,43.52,43.52,43.25,43.35,611851.0749868904,43.3737615,552
2004-09-09 14:00:00,43.35,43.36,43.19,43.34,677084.4257996854,43.2574345,774
2004-09-09 15:00:00,43.34,43.36,43.16,43.21,399475.61615102255,43.227876,638
2004-09-09 16:00:00,43.22,43.32,43.16,43.3,393917.1473518616,43.224062,519
2004-09-09 17:00:00,43.31,43.34,43.14,43.15,848872.5747246984,43.2898535,737
2004-09-09 18:00:00,43.16,43.3,43.1,43.14,811326.6911379129,43.1601775,807
2004-09-09 19:00:00,43.13,43.19,43.07,43.16,899528.0545359203,43.142061,1080
2004-09-10 13:30:00,42.92,43.03,42.91,42.96,669323.544834819,42.9427795,564
2004-09-10 14:00:00,42.96,43.14,42.93,43.04,654850.5506030414,43.0419435,851
2004-09-10 15:00:00,43.04,43.29,43.04,43.25,502045.0970110121,43.1964105,785
2004-09-10 16:00:00,43.25,43.57,43.22,43.52,710854.7456738333,43.435739,750
2004-09-10 17:00:00,43.51,43.59,43.47,43.5,452962.7687467226,43.5263215,717
2004-09-10 18:00:00,43.5,43.82,43.48,43.75,657052.9627687468,43.681742,914
2004-09-10 19:00:00,43.75,43.78,43.63,43.64,1386575.7734661773,43.716068,1155
2004-09-13 13:30:00,43.37,43.38,43.0,43.04,1249606.7121132668,43.189736,680
2004-09-13 14:00:00,43.05,43.16,42.96,43.12,1477399.056109072,43.054339,1034
2004-09-13 15:00:00,43.12,43.25,43.08,43.24,1030833.7703198742,43.168759,880
2004-09-13 16:00:00,43.23,43.24,43.13,43.19,725327.7399056109,43.1811545,741
2004-09-13 17:00:00,43.19,43.25,43.13,43.17,466701.62558993185,43.19355,664
2004-09-13 18:00:00,43.17,43.23,43.09,43.09,620555.8468799161,43.1773405,692
2004-09-13 19:00:00,43.09,43.37,43.03,43.28,1760461.4577871002,43.197364,1105
2004-09-14 13:30:00,43.34,43.66,43.02,43.62,472994.23177766125,43.420483,627
2004-09-14 14:00:00,43.61,43.74,43.51,43.57,651599.3707393812,43.637881,984
2004-09-14 15:00:00,43.57,43.65,43.47,43.59,378290.5086523335,43.5587405,659
2004-09-14 16:00:00,43.59,43.72,43.54,43.68,311169.3759832197,43.660765,591
2004-09-14 17:00:00,43.67,43.72,43.4,43.5,1250131.0959622443,43.603555,759
2004-09-14 18:00:00,43.49,43.54,43.41,43.52,742632.4069218668,43.4672045,863
2004-09-14 19:00:00,43.53,43.57,43.4,43.46,1445201.8877818563,43.5091585,1085
2004-09-15 13:30:00,43.6,43.67,43.38,43.42,724174.0954378605,43.5339495,558
2004-09-15 14:00:00,43.4,43.48,43.1,43.2,712008.3901415836,43.256481,903
2004-09-15 15:00:00,43.2,43.45,43.19,43.36,457996.8536969061,43.3585055,702
2004-09-15 16:00:00,43.36,43.43,43.25,43.37,465233.350812795,43.3699475,532
2004-09-15 17:00:00,43.38,43.41,43.23,43.36,745883.5867855271,43.363273,555
2004-09-15 18:00:00,43.36,43.38,43.28,43.35,490508.65233350813,43.349924,548
2004-09-15 19:00:00,43.36,43.38,43.21,43.28,851494.4939695857,43.30797,770
2004-09-16 13:30:00,43.29,43.38,43.06,43.11,416360.7760880965,43.208806,481
2004-09-16 14:00:00,43.12,43.24,43.03,43.21,623387.5196643943,43.102014,703
2004-09-16 15:00:00,43.21,43.29,43.16,43.26,628526.4813843734,43.2116665,547
2004-09-16 16:00:00,43.27,43.29,43.16,43.22,587729.4179339276,43.224062,583
2004-09-16 17:00:00,43.23,43.23,43.13,43.16,317042.47509176715,43.170666,463
2004-09-16 18:00:00,43.16,43.22,43.12,43.13,423492.3964341898,43.142061,637
2004-09-16 19:00:00,43.13,43.13,42.94,43.07,838909.281594127,43.0209665,1068
2004-09-17 13:30:00,43.29,43.31,42.98,43.07,1775773.4661772416,43.233597,584
2004-09-17 14:00:00,43.06,43.11,42.96,43.09,1141793.392763503,43.04099,786
2004-09-17 15:00:00,43.1,43.15,43.0,43.0,662926.0618772942,43.0514785,625
2004-09-17 16:00:00,43.0,43.05,42.97,42.99,320818.03880440484,43.014292,519
2004-09-17 17:00:00,42.98,43.08,42.98,43.04,514420.5558468799,43.035269,592
2004-09-17 18:00:00,43.04,43.06,42.93,42.95,772417.4095437861,42.9923615,885
2004-09-17 19:00:00,42.95,42.97,42.86,42.9,1450865.233350813,42.901779,1072
2004-09-20 13:30:00,42.76,42.94,42.76,42.81,599160.9858416361,42.8417085,518
2004-09-20 14:00:00,42.81,42.86,42.54,42.65,968851.5993707394,42.6529155,970
2004-09-20 15:00:00,42.66,42.66,42.36,42.43,797797.5878342948,42.476518,786
2004-09-20 16:00:00,42.43,42.54,42.34,42.35,551127.4252753016,42.440285,613
2004-09-20 17:00:00,42.36,42.58,42.35,42.48,702464.604090194,42.44982,677
2004-09-20 18:00:00,42.49,42.71,42.36,42.57,772627.1630833771,42.4679365,788
2004-09-20 19:00:00,42.57,42.62,42.46,42.58,1457262.7163083376,42.5442165,893
