date,open,high,low,close,volume,average,barCount
2017-12-20 14:30:00,118.66,119.12,117.56,118.18,270916.0,118.299,1007
2017-12-20 15:00:00,118.22,118.42,118.0,118.12,181423.0,118.181,1289
2017-12-20 16:00:00,118.11,118.21,117.92,118.01,120588.0,118.062,915
2017-12-20 17:00:00,118.01,118.23,117.9,118.2,255605.0,118.073,1421
2017-12-20 18:00:00,118.2,118.62,118.18,118.48,556854.0,118.496,1590
2017-12-20 19:00:00,118.5,118.51,118.23,118.45,212413.0,118.408,1566
2017-12-20 20:00:00,118.45,119.1,118.28,119.05,801416.0,118.757,5336
2017-12-21 14:30:00,119.45,119.57,118.75,118.86,215050.0,119.107,1002
2017-12-21 15:00:00,118.8,118.91,118.43,118.57,217183.0,118.645,1476
2017-12-21 16:00:00,118.56,118.8,118.54,118.68,151300.0,118.66,1166
2017-12-21 17:00:00,118.7,118.75,118.54,118.74,112213.0,118.612,841
2017-12-21 18:00:00,118.74,118.96,118.72,118.84,161685.0,118.831,1382
2017-12-21 19:00:00,118.82,118.85,118.61,118.7,142609.0,118.714,1061
2017-12-21 20:00:00,118.69,118.71,117.84,118.28,570867.0,118.367,3979
2017-12-22 14:30:00,118.6,118.66,118.17,118.47,154043.0,118.534,866
2017-12-22 15:00:00,118.45,118.64,118.36,118.51,295334.0,118.509,1503
2017-12-22 16:00:00,118.51,118.67,118.4,118.6,150444.0,118.578,1139
2017-12-22 17:00:00,118.59,118.67,118.52,118.53,78646.0,118.591,586
2017-12-22 18:00:00,118.54,118.65,118.37,118.59,88297.0,118.512,702
2017-12-22 19:00:00,118.62,118.72,118.54,118.72,173536.0,118.626,1109
2017-12-22 20:00:00,118.72,118.75,118.45,118.65,300850.0,118.574,2157
2017-12-26 14:30:00,118.41,118.92,118.41,118.65,102931.0,118.681,589
2017-12-26 15:00:00,118.66,119.12,118.61,119.03,200363.0,118.807,1250
2017-12-26 16:00:00,119.02,119.08,118.8,118.89,79759.0,118.969,592
2017-12-26 17:00:00,118.9,119.24,118.82,119.06,431199.0,119.111,1778
2017-12-26 18:00:00,119.08,119.09,118.86,119.0,114010.0,118.976,785
2017-12-26 19:00:00,118.98,119.0,118.81,118.89,135559.0,118.891,918
2017-12-26 20:00:00,118.9,118.91,118.71,118.89,440161.0,118.805,1966
2017-12-27 14:30:00,118.87,119.35,118.8,118.88,87000.0,119.043,503
2017-12-27 15:00:00,118.88,119.09,118.83,119.0,226223.0,118.988,874
2017-12-27 16:00:00,119.02,119.18,118.96,119.1,179975.0,119.067,1185
2017-12-27 17:00:00,119.07,119.09,118.86,118.92,70310.0,118.967,389
2017-12-27 18:00:00,118.94,119.01,118.87,119.0,81829.0,118.939,507
2017-12-27 19:00:00,118.99,119.02,118.85,118.89,254393.0,118.952,1348
2017-12-27 20:00:00,118.95,119.4,118.94,119.29,655785.0,119.148,4200
2017-12-28 14:30:00,119.42,119.47,119.05,119.35,155656.0,119.36,925
2017-12-28 15:00:00,119.34,119.53,119.26,119.32,187201.0,119.381,1417
2017-12-28 16:00:00,119.31,119.41,119.29,119.32,172446.0,119.358,1162
2017-12-28 17:00:00,119.35,119.49,119.26,119.27,117220.0,119.393,898
2017-12-28 18:00:00,119.26,119.26,119.13,119.19,124607.0,119.2,902
2017-12-28 19:00:00,119.18,119.31,119.13,119.28,149425.0,119.216,934
2017-12-28 20:00:00,119.3,119.47,119.17,119.34,505430.0,119.284,2980
2017-12-29 14:30:00,119.46,120.14,119.42,120.1,262005.0,119.8,1208
2017-12-29 15:00:00,120.07,120.57,120.04,120.42,257998.0,120.322,1833
2017-12-29 16:00:00,120.42,120.49,120.24,120.48,166737.0,120.35,1113
2017-12-29 17:00:00,120.5,120.56,120.29,120.34,106278.0,120.429,735
2017-12-29 18:00:00,120.32,120.36,120.07,120.12,99136.0,120.238,791
2017-12-29 19:00:00,120.1,120.21,119.94,120.19,142446.0,120.052,1040
2017-12-29 20:00:00,120.2,120.26,119.57,119.94,612252.0,120.071,4276
