date,open,high,low,close,volume,average,barCount
2012-12-10 14:30:00,37.0,37.0,35.25,35.7,372600.0,35.996,743
2012-12-10 16:00:00,35.65,35.75,35.3,35.55,120600.0,35.594,610
2012-12-10 18:00:00,35.6,35.7,35.15,35.15,145600.0,35.562,548
2012-12-10 20:00:00,35.15,35.2,34.91,35.0,60400.0,35.1,288
2012-12-11 14:30:00,35.05,35.61,34.95,35.38,46600.0,35.393,244
2012-12-11 16:00:00,35.43,35.55,35.31,35.4,368000.0,35.423,966
2012-12-11 18:00:00,35.48,35.69,35.25,35.29,706600.0,35.457,1452
2012-12-11 20:00:00,35.25,35.36,35.15,35.32,331700.0,35.271,1107
2012-12-12 14:30:00,35.25,35.25,34.82,35.0,185500.0,35.014,1018
2012-12-12 16:00:00,35.07,35.09,34.7,34.7,558400.0,34.953,1194
2012-12-12 18:00:00,34.71,34.81,33.8,33.95,655100.0,34.298,2414
2012-12-12 20:00:00,33.9,33.91,33.09,33.34,1014900.0,33.359,1483
2012-12-13 14:30:00,33.5,33.77,32.61,33.33,1959500.0,32.992,2709
2012-12-13 16:00:00,33.33,34.24,33.11,33.99,1557700.0,33.706,2747
2012-12-13 18:00:00,34.02,34.17,33.46,34.12,249200.0,33.883,1289
2012-12-13 20:00:00,34.11,34.14,33.8,33.8,480300.0,33.989,2082
2012-12-14 14:30:00,33.9,34.08,33.31,33.4,661300.0,33.865,1897
2012-12-14 16:00:00,33.4,33.63,33.35,33.37,2239800.0,33.423,2508
2012-12-14 18:00:00,33.36,33.4,32.97,32.99,996400.0,33.253,2662
2012-12-14 20:00:00,33.0,33.12,32.65,32.95,559700.0,33.001,1958
2012-12-17 14:30:00,33.5,33.5,32.75,32.76,1199300.0,32.902,580
2012-12-17 16:00:00,32.76,33.39,32.51,33.19,2320700.0,32.734,1468
2012-12-17 18:00:00,33.21,33.66,32.95,33.03,875200.0,33.159,2033
2012-12-17 20:00:00,33.02,37.07,33.0,33.61,1107700.0,33.21,3271
2012-12-18 14:30:00,33.4,33.6,32.95,33.47,532000.0,33.277,1504
2012-12-18 16:00:00,33.47,34.27,33.35,34.14,657700.0,33.63,1813
2012-12-18 18:00:00,34.14,34.68,34.14,34.45,1564500.0,34.406,3625
2012-12-18 20:00:00,34.45,34.51,34.13,34.39,576300.0,34.333,3135
2012-12-19 14:30:00,34.8,34.82,33.73,34.29,205900.0,34.307,927
2012-12-19 16:00:00,34.29,34.37,33.96,33.98,349900.0,34.057,1128
2012-12-19 18:00:00,33.97,34.3,33.97,34.16,419500.0,34.153,637
2012-12-19 20:00:00,34.19,34.51,34.11,34.27,502500.0,34.286,2407
2012-12-20 14:30:00,34.5,34.5,33.85,34.25,123800.0,34.189,378
2012-12-20 16:00:00,34.25,34.29,33.95,34.29,167700.0,34.094,405
2012-12-20 18:00:00,34.29,34.38,34.16,34.21,244800.0,34.281,903
2012-12-20 20:00:00,34.17,34.43,34.1,34.29,454500.0,34.203,1017
2012-12-21 14:30:00,34.29,34.78,34.2,34.55,308300.0,34.465,1551
2012-12-21 16:00:00,34.56,34.91,34.5,34.85,487800.0,34.705,899
2012-12-21 18:00:00,34.81,35.22,34.76,35.03,255300.0,34.998,1485
2012-12-21 20:00:00,35.03,35.33,34.8,35.14,322000.0,35.017,884
2012-12-24 14:30:00,35.6,35.6,34.6,35.06,77700.0,35.017,645
2012-12-24 16:00:00,35.07,35.4,34.97,35.2,207700.0,35.248,1222
2012-12-26 14:30:00,35.27,35.51,34.85,35.34,19600.0,35.184,131
2012-12-26 16:00:00,35.23,35.25,34.85,34.98,228600.0,35.022,1347
