date,open,high,low,close,volume,average,barCount
2015-01-02 14:30:00,2.7,2.73,2.65,2.66,2085900.0,2.692,2255
2015-01-02 16:00:00,2.66,2.67,2.64,2.67,1183000.0,2.656,1884
2015-01-02 18:00:00,2.67,2.7,2.66,2.69,2123800.0,2.685,3162
2015-01-02 20:00:00,2.69,2.72,2.69,2.7,2336500.0,2.704,3134
2015-01-05 14:30:00,2.67,2.68,2.64,2.64,2967200.0,2.661,5050
2015-01-05 16:00:00,2.64,2.7,2.64,2.66,2139400.0,2.671,4113
2015-01-05 18:00:00,2.66,2.67,2.65,2.66,1126100.0,2.657,2284
2015-01-05 20:00:00,2.66,2.67,2.65,2.66,2017900.0,2.658,3678
2015-01-06 14:30:00,2.65,2.66,2.61,2.63,3113400.0,2.626,4097
2015-01-06 16:00:00,2.63,2.64,2.55,2.58,3909600.0,2.596,5098
2015-01-06 18:00:00,2.58,2.61,2.55,2.6,2253600.0,2.581,4449
2015-01-06 20:00:00,2.61,2.63,2.58,2.62,2586100.0,2.608,5475
2015-01-07 14:30:00,2.63,2.65,2.55,2.55,2293200.0,2.592,4287
2015-01-07 16:00:00,2.55,2.59,2.55,2.58,2439100.0,2.572,5458
2015-01-07 18:00:00,2.59,2.6,2.56,2.58,2110200.0,2.585,4866
2015-01-07 20:00:00,2.59,2.59,2.54,2.59,4952800.0,2.56,7130
2015-01-08 14:30:00,2.59,2.62,2.56,2.62,2781600.0,2.585,3903
2015-01-08 16:00:00,2.62,2.65,2.6,2.63,2765500.0,2.622,3541
2015-01-08 18:00:00,2.62,2.64,2.62,2.63,1354500.0,2.628,2898
2015-01-08 20:00:00,2.63,2.64,2.61,2.61,2812900.0,2.618,4304
2015-01-09 14:30:00,2.63,2.63,2.58,2.59,2314500.0,2.609,3047
2015-01-09 16:00:00,2.59,2.64,2.58,2.63,3049000.0,2.611,5944
2015-01-09 18:00:00,2.62,2.63,2.6,2.62,1163900.0,2.616,1911
2015-01-09 20:00:00,2.62,2.63,2.61,2.63,1852200.0,2.622,3392
2015-01-12 14:30:00,2.62,2.64,2.55,2.6,2399100.0,2.582,2760
2015-01-12 16:00:00,2.6,2.61,2.56,2.6,1425800.0,2.586,1763
2015-01-12 18:00:00,2.6,2.6,2.58,2.6,2227500.0,2.592,2674
2015-01-12 20:00:00,2.6,2.64,2.59,2.64,3430100.0,2.62,2810
2015-01-13 14:30:00,2.64,2.65,2.6,2.65,3263700.0,2.625,4977
2015-01-13 16:00:00,2.65,2.66,2.63,2.65,3129100.0,2.647,4285
2015-01-13 18:00:00,2.65,2.65,2.62,2.64,4028500.0,2.635,5452
2015-01-13 20:00:00,2.64,2.68,2.63,2.66,5511000.0,2.658,6121
2015-01-14 14:30:00,2.6,2.66,2.58,2.63,1960600.0,2.63,3430
2015-01-14 16:00:00,2.63,2.63,2.59,2.6,2472100.0,2.61,3907
2015-01-14 18:00:00,2.6,2.62,2.58,2.6,2832000.0,2.598,4273
2015-01-14 20:00:00,2.6,2.63,2.6,2.62,2023900.0,2.613,4065
2015-01-15 14:30:00,2.62,2.65,2.55,2.57,3664900.0,2.583,4490
2015-01-15 16:00:00,2.57,2.58,2.55,2.55,2613200.0,2.563,4652
2015-01-15 18:00:00,2.56,2.56,2.5,2.51,4267600.0,2.523,6211
2015-01-15 20:00:00,2.5,2.52,2.49,2.52,6393300.0,2.508,11883
2015-01-16 14:30:00,2.52,2.53,2.47,2.48,5454500.0,2.49,5671
2015-01-16 16:00:00,2.49,2.49,2.41,2.43,9258500.0,2.439,9374
2015-01-16 18:00:00,2.43,2.45,2.41,2.42,5281000.0,2.431,11747
2015-01-16 20:00:00,2.42,2.43,2.39,2.39,9098300.0,2.406,16672
2015-01-20 14:30:00,2.39,2.43,2.26,2.26,13960900.0,2.334,16615
2015-01-20 16:00:00,2.27,2.31,2.25,2.25,10586600.0,2.275,16886
2015-01-20 18:00:00,2.25,2.26,2.19,2.23,12813800.0,2.224,19362
2015-01-20 20:00:00,2.23,2.26,2.2,2.26,14353700.0,2.228,20024
2015-01-21 14:30:00,2.18,2.4,2.14,2.31,14451400.0,2.311,17731
2015-01-21 16:00:00,2.3,2.4,2.27,2.38,11652300.0,2.321,11587
2015-01-21 18:00:00,2.37,2.39,2.31,2.35,6921700.0,2.35,10503
2015-01-21 20:00:00,2.34,2.45,2.34,2.44,12067900.0,2.41,15882
2015-01-22 14:30:00,2.42,2.46,2.39,2.4,8558900.0,2.431,13988
2015-01-22 16:00:00,2.41,2.5,2.37,2.49,9150600.0,2.442,14072
2015-01-22 18:00:00,2.49,2.5,2.39,2.47,10374600.0,2.458,13810
2015-01-22 20:00:00,2.47,2.5,2.46,2.47,6940800.0,2.485,8834
2015-01-23 14:30:00,2.48,2.5,2.43,2.44,3097400.0,2.455,5280
2015-01-23 16:00:00,2.44,2.47,2.44,2.46,2287800.0,2.454,4933
2015-01-23 18:00:00,2.46,2.46,2.45,2.46,1489500.0,2.454,3740
2015-01-23 20:00:00,2.46,2.46,2.45,2.46,3607300.0,2.455,6713
2015-01-26 14:30:00,2.44,2.55,2.44,2.54,5016300.0,2.485,6643
2015-01-26 16:00:00,2.54,2.59,2.51,2.58,14000300.0,2.556,17389
2015-01-26 18:00:00,2.59,2.64,2.58,2.61,8392400.0,2.603,10856
2015-01-26 20:00:00,2.61,2.64,2.6,2.61,8025200.0,2.619,9915
2015-01-27 14:30:00,2.58,2.77,2.56,2.75,12288100.0,2.689,15695
2015-01-27 16:00:00,2.76,2.84,2.7,2.72,15925300.0,2.76,18821
2015-01-27 18:00:00,2.72,2.78,2.72,2.74,9911500.0,2.742,9538
2015-01-27 20:00:00,2.74,2.76,2.7,2.7,12137100.0,2.716,14366
2015-01-28 14:30:00,2.71,2.75,2.6,2.63,6212900.0,2.658,7137
2015-01-28 16:00:00,2.63,2.73,2.61,2.67,6391400.0,2.672,7286
2015-01-28 18:00:00,2.67,2.68,2.63,2.66,6144900.0,2.654,6450
2015-01-28 20:00:00,2.66,2.66,2.61,2.63,5026100.0,2.63,7346
2015-01-29 14:30:00,2.63,2.69,2.51,2.58,4848800.0,2.592,7099
2015-01-29 16:00:00,2.58,2.61,2.55,2.57,4660000.0,2.569,5987
2015-01-29 18:00:00,2.57,2.61,2.55,2.6,3873000.0,2.587,5619
2015-01-29 20:00:00,2.61,2.62,2.58,2.6,3820300.0,2.601,6966
2015-01-30 14:30:00,2.56,2.6,2.53,2.55,2937300.0,2.558,4057
2015-01-30 16:00:00,2.54,2.57,2.51,2.54,2575800.0,2.542,4343
2015-01-30 18:00:00,2.54,2.59,2.54,2.56,3698800.0,2.564,4295
2015-01-30 20:00:00,2.56,2.58,2.56,2.56,2797900.0,2.568,6186
2015-02-02 14:30:00,2.69,2.75,2.65,2.72,10568800.0,2.684,14681
2015-02-02 16:00:00,2.72,2.72,2.66,2.69,4882100.0,2.687,8879
2015-02-02 18:00:00,2.69,2.7,2.67,2.68,3202300.0,2.685,7724
2015-02-02 20:00:00,2.69,2.7,2.66,2.66,5771600.0,2.679,11281
2015-02-03 14:30:00,2.7,2.8,2.68,2.78,6945800.0,2.753,9042
2015-02-03 16:00:00,2.78,2.79,2.72,2.77,5629100.0,2.756,8799
2015-02-03 18:00:00,2.77,2.79,2.77,2.77,3836900.0,2.779,6505
2015-02-03 20:00:00,2.78,2.79,2.76,2.76,5013100.0,2.771,9441
2015-02-04 14:30:00,2.78,2.82,2.76,2.79,6572600.0,2.795,8376
2015-02-04 16:00:00,2.79,2.82,2.78,2.81,4740100.0,2.806,5512
2015-02-04 18:00:00,2.81,2.9,2.8,2.89,8710100.0,2.845,7458
2015-02-04 20:00:00,2.89,2.92,2.85,2.85,7601800.0,2.884,9712
2015-02-05 14:30:00,2.88,3.1,2.87,3.1,13839800.0,3.018,18386
2015-02-05 16:00:00,3.1,3.25,3.06,3.2,15951200.0,3.142,20718
2015-02-05 18:00:00,3.2,3.35,3.18,3.33,18971100.0,3.261,19276
2015-02-05 20:00:00,3.33,3.37,3.28,3.32,21285700.0,3.326,19527
2015-02-06 14:30:00,3.2,3.21,3.03,3.05,16393200.0,3.125,22702
2015-02-06 16:00:00,3.06,3.12,3.05,3.08,6545300.0,3.085,9823
2015-02-06 18:00:00,3.08,3.09,3.01,3.05,6097700.0,3.048,8340
