date,open,high,low,close,volume,average,barCount
2004-08-23 13:30:00,1.99,2.0,1.97,1.97,22368000.0,1.98935,3546
2004-08-23 14:00:00,1.97,1.98,1.96,1.97,33392000.0,1.97265,6466
2004-08-23 16:00:00,1.97,1.97,1.96,1.96,17366000.0,1.96265,3166
2004-08-23 18:00:00,1.96,1.98,1.96,1.97,32840000.0,1.97205,5987
2004-08-24 13:30:00,1.99,2.0,1.97,1.98,16704000.0,1.98215,2775
2004-08-24 14:00:00,1.98,1.99,1.92,1.93,59420000.0,1.9448,8781
2004-08-24 16:00:00,1.93,1.96,1.92,1.96,29660000.0,1.93385,4967
2004-08-24 18:00:00,1.96,1.97,1.93,1.95,40976000.0,1.9447,6751
2004-08-25 13:30:00,1.95,1.96,1.93,1.93,13926000.0,1.94345,2619
2004-08-25 14:00:00,1.93,1.94,1.91,1.94,29358000.0,1.92745,5216
2004-08-25 16:00:00,1.94,1.99,1.93,1.97,32178000.0,1.96185,5429
2004-08-25 18:00:00,1.98,2.02,1.98,2.02,61582000.0,2.00965,9300
2004-08-26 13:30:00,2.01,2.03,1.99,2.03,29848000.0,2.0097,3864
2004-08-26 14:00:00,2.03,2.04,2.01,2.02,53922000.0,2.0252,7661
2004-08-26 16:00:00,2.02,2.02,1.99,1.99,21168000.0,2.00455,3206
2004-08-26 18:00:00,1.99,2.02,1.99,2.01,30616000.0,2.00545,5439
2004-08-27 13:30:00,2.02,2.02,2.0,2.01,15320000.0,2.0087,2456
2004-08-27 14:00:00,2.01,2.01,1.97,1.99,31970000.0,1.99485,5732
2004-08-27 16:00:00,1.99,2.0,1.99,2.0,13282000.0,1.9945,2447
2004-08-27 18:00:00,2.0,2.01,1.99,1.99,21448000.0,1.9968,3723
2004-08-30 13:30:00,1.99,2.0,1.95,1.96,18278000.0,1.9714,2934
2004-08-30 14:00:00,1.96,1.96,1.93,1.93,48784000.0,1.93885,7859
2004-08-30 16:00:00,1.93,1.94,1.92,1.94,26476000.0,1.92875,3996
2004-08-30 18:00:00,1.94,2.0,1.91,1.91,46118000.0,1.9228,6262
2004-08-31 13:30:00,1.92,1.94,1.91,1.94,14788000.0,1.9279,2784
2004-08-31 14:00:00,1.94,1.94,1.89,1.91,44804000.0,1.90885,7050
2004-08-31 16:00:00,1.91,1.91,1.9,1.9,13026000.0,1.9053,2509
2004-08-31 18:00:00,1.9,1.91,1.9,1.91,40888000.0,1.9054,5751
2004-09-01 13:30:00,1.91,1.92,1.9,1.91,10764000.0,1.9094,1835
2004-09-01 14:00:00,1.91,1.95,1.9,1.93,41706000.0,1.93145,7534
2004-09-01 16:00:00,1.93,1.93,1.91,1.92,23910000.0,1.9192,5125
2004-09-01 18:00:00,1.92,1.92,1.91,1.91,23828000.0,1.9157,4265
2004-09-02 13:30:00,1.9,1.92,1.9,1.91,14206000.0,1.9053,2146
2004-09-02 14:00:00,1.91,1.93,1.91,1.92,24554000.0,1.92405,4117
2004-09-02 16:00:00,1.92,1.93,1.92,1.93,12388000.0,1.926,1931
2004-09-02 18:00:00,1.93,1.98,1.92,1.96,53784000.0,1.95545,8806
2004-09-03 13:30:00,1.94,2.0,1.94,1.99,21994000.0,1.9841,3195
2004-09-03 14:00:00,1.99,1.99,1.95,1.95,44804000.0,1.95905,7427
2004-09-03 16:00:00,1.95,1.97,1.95,1.95,10076000.0,1.95485,2050
2004-09-03 18:00:00,1.95,1.96,1.93,1.94,23334000.0,1.9419,4625
2004-09-07 13:30:00,1.95,1.99,1.94,1.95,19390000.0,1.9523,2916
2004-09-07 14:00:00,1.94,1.95,1.91,1.93,47820000.0,1.9222,7939
2004-09-07 16:00:00,1.93,1.94,1.93,1.93,16156000.0,1.93255,3105
2004-09-07 18:00:00,1.93,1.93,1.91,1.93,28240000.0,1.92005,5545
2004-09-08 13:30:00,1.93,1.94,1.91,1.92,14558000.0,1.92565,2830
2004-09-08 14:00:00,1.92,1.94,1.91,1.92,34814000.0,1.9224,5965
2004-09-08 16:00:00,1.92,1.92,1.89,1.91,32180000.0,1.90445,5269
2004-09-08 18:00:00,1.91,1.92,1.89,1.9,45842000.0,1.8981,7576
2004-09-09 13:30:00,1.91,1.91,1.88,1.89,18618000.0,1.8936,2647
2004-09-09 14:00:00,1.89,1.91,1.87,1.88,45170000.0,1.88145,6551
2004-09-09 16:00:00,1.88,1.9,1.87,1.89,27386000.0,1.8831,4252
2004-09-09 18:00:00,1.89,1.92,1.89,1.9,33510000.0,1.9027,5165
2004-09-10 13:30:00,1.91,1.92,1.9,1.91,14654000.0,1.90795,2435
2004-09-10 14:00:00,1.91,1.94,1.91,1.91,29372000.0,1.9197,5223
2004-09-10 16:00:00,1.91,1.93,1.91,1.92,11758000.0,1.91975,2125
2004-09-10 18:00:00,1.92,1.94,1.91,1.93,31996000.0,1.93115,5171
2004-09-13 13:30:00,1.95,1.96,1.94,1.95,21980000.0,1.95055,3136
2004-09-13 14:00:00,1.95,1.99,1.95,1.99,48526000.0,1.97175,6745
2004-09-13 16:00:00,1.99,2.0,1.99,1.99,36826000.0,1.99445,5155
2004-09-13 18:00:00,1.99,2.0,1.98,2.0,44974000.0,1.98995,6542
2004-09-14 13:30:00,2.01,2.05,1.99,2.04,38104000.0,2.02765,5926
2004-09-14 14:00:00,2.04,2.09,2.03,2.07,104320000.0,2.06065,15721
2004-09-14 16:00:00,2.07,2.1,2.06,2.09,63630000.0,2.08455,9543
2004-09-14 18:00:00,2.09,2.14,2.05,2.13,94204000.0,2.113,13503
2004-09-15 13:30:00,2.1,2.14,2.09,2.11,51682000.0,2.11605,8381
2004-09-15 14:00:00,2.11,2.16,2.11,2.12,89074000.0,2.13035,14245
2004-09-15 16:00:00,2.12,2.14,2.11,2.13,28818000.0,2.1204,5025
2004-09-15 18:00:00,2.13,2.14,2.11,2.11,43550000.0,2.1243,7010
2004-09-16 13:30:00,2.12,2.16,2.11,2.16,19214000.0,2.1409,3196
2004-09-16 14:00:00,2.16,2.21,2.16,2.19,95368000.0,2.1901,15172
2004-09-16 16:00:00,2.19,2.19,2.17,2.18,30258000.0,2.18275,5639
2004-09-16 18:00:00,2.18,2.18,2.12,2.13,75120000.0,2.1393,13432
2004-09-17 13:30:00,2.14,2.16,2.12,2.13,30722000.0,2.1409,5337
2004-09-17 14:00:00,2.13,2.16,2.12,2.15,56600000.0,2.1439,9982
2004-09-17 16:00:00,2.15,2.16,2.14,2.15,21704000.0,2.14975,3857
2004-09-17 18:00:00,2.15,2.16,2.14,2.15,37926000.0,2.148,6204
2004-09-20 13:30:00,2.14,2.18,2.13,2.16,25918000.0,2.1594,5383
2004-09-20 14:00:00,2.16,2.2,2.16,2.18,67884000.0,2.17755,11606
2004-09-20 16:00:00,2.18,2.18,2.15,2.17,27258000.0,2.16395,4693
2004-09-20 18:00:00,2.17,2.19,2.16,2.16,47264000.0,2.16985,8181
2004-09-21 13:30:00,2.18,2.19,2.14,2.15,25094000.0,2.15785,4787
2004-09-21 14:00:00,2.15,2.18,2.14,2.17,35448000.0,2.1609,6998
2004-09-21 16:00:00,2.17,2.17,2.15,2.17,17250000.0,2.1583,2726
2004-09-21 18:00:00,2.17,2.18,2.15,2.16,51110000.0,2.16535,9093
2004-09-22 13:30:00,2.16,2.16,2.13,2.13,31924000.0,2.14045,4739
2004-09-22 14:00:00,2.13,2.13,2.08,2.09,98050000.0,2.10075,15375
2004-09-22 16:00:00,2.09,2.11,2.08,2.08,36876000.0,2.09375,5843
2004-09-22 18:00:00,2.08,2.08,2.06,2.07,68226000.0,2.0689,11060
2004-09-23 13:30:00,2.07,2.09,2.06,2.09,22848000.0,2.0752,4502
2004-09-23 14:00:00,2.09,2.11,2.07,2.08,45776000.0,2.0856,9033
2004-09-23 16:00:00,2.08,2.1,2.07,2.08,22240000.0,2.08285,4026
2004-09-23 18:00:00,2.08,2.11,2.08,2.09,49288000.0,2.0972,9087
