date,open,high,low,close,volume,average,barCount
2004-08-23 13:30:00,3.18,3.24,3.15,3.15,114800.0,3.18825,56
2004-08-23 14:00:00,3.15,3.19,3.14,3.16,428400.0,3.16575,97
2004-08-23 16:00:00,3.17,3.17,3.12,3.13,370000.0,3.128,59
2004-08-23 18:00:00,3.12,3.14,3.09,3.12,212000.0,3.116,91
2004-08-24 13:30:00,3.15,3.17,3.13,3.15,190800.0,3.15125,51
2004-08-24 14:00:00,3.14,3.16,3.11,3.15,286000.0,3.1295,98
2004-08-24 16:00:00,3.15,3.19,3.15,3.15,289600.0,3.1635,73
2004-08-24 18:00:00,3.15,3.19,3.13,3.19,306000.0,3.157,80
2004-08-25 13:30:00,3.2,3.2,3.17,3.17,56000.0,3.18525,20
2004-08-25 14:00:00,3.17,3.2,3.13,3.19,178000.0,3.15675,72
2004-08-25 16:00:00,3.2,3.26,3.19,3.26,586400.0,3.229,145
2004-08-25 18:00:00,3.25,3.26,3.22,3.24,276400.0,3.24925,98
2004-08-26 13:30:00,3.24,3.24,3.2,3.21,49200.0,3.2215,21
2004-08-26 14:00:00,3.23,3.24,3.23,3.24,68400.0,3.2365,40
2004-08-26 16:00:00,3.23,3.25,3.23,3.24,70400.0,3.2415,29
2004-08-26 18:00:00,3.24,3.24,3.23,3.23,183200.0,3.23225,58
2004-08-27 13:30:00,3.25,3.25,3.23,3.24,32000.0,3.2425,9
2004-08-27 14:00:00,3.24,3.25,3.24,3.25,87600.0,3.247,36
2004-08-27 16:00:00,3.25,3.26,3.25,3.26,63200.0,3.2495,19
2004-08-27 18:00:00,3.25,3.3,3.25,3.29,277200.0,3.28225,102
2004-08-30 13:30:00,3.31,3.31,3.3,3.3,62800.0,3.305,32
2004-08-30 14:00:00,3.31,3.31,3.27,3.28,70800.0,3.2805,48
2004-08-30 16:00:00,3.28,3.31,3.28,3.3,211600.0,3.289,110
2004-08-30 18:00:00,3.29,3.32,3.28,3.29,254400.0,3.29775,59
2004-08-31 13:30:00,3.3,3.31,3.28,3.28,29200.0,3.2895,18
2004-08-31 14:00:00,3.29,3.29,3.28,3.28,155200.0,3.28,35
2004-08-31 16:00:00,3.28,3.28,3.28,3.28,116800.0,3.27975,29
2004-08-31 18:00:00,3.28,3.28,3.18,3.25,496000.0,3.2385,217
2004-09-01 13:30:00,3.3,3.33,3.3,3.33,118400.0,3.31425,41
2004-09-01 14:00:00,3.33,3.33,3.29,3.31,105600.0,3.309,89
2004-09-01 16:00:00,3.31,3.31,3.3,3.31,133200.0,3.3105,78
2004-09-01 18:00:00,3.31,3.33,3.3,3.33,141600.0,3.31075,123
2004-09-02 13:30:00,3.32,3.38,3.32,3.36,24800.0,3.3445,15
2004-09-02 14:00:00,3.37,3.41,3.37,3.41,242400.0,3.38575,73
2004-09-02 16:00:00,3.4,3.43,3.4,3.42,102000.0,3.417,49
2004-09-02 18:00:00,3.42,3.49,3.42,3.44,618400.0,3.4595,118
2004-09-03 13:30:00,3.48,3.48,3.47,3.47,112400.0,3.4695,12
2004-09-03 14:00:00,3.47,3.48,3.45,3.45,444000.0,3.47,90
2004-09-03 16:00:00,3.45,3.45,3.4,3.44,116800.0,3.42825,52
2004-09-03 18:00:00,3.43,3.44,3.42,3.44,121600.0,3.436,21
2004-09-07 13:30:00,3.44,3.44,3.44,3.44,21600.0,3.43975,7
2004-09-07 14:00:00,3.44,3.44,3.35,3.36,249600.0,3.368,84
2004-09-07 16:00:00,3.36,3.38,3.36,3.38,486400.0,3.364,59
2004-09-07 18:00:00,3.36,3.37,3.35,3.36,311600.0,3.36075,70
2004-09-08 13:30:00,3.33,3.33,3.31,3.32,39600.0,3.32475,23
2004-09-08 14:00:00,3.32,3.33,3.29,3.31,258800.0,3.31025,84
2004-09-08 16:00:00,3.31,3.32,3.31,3.31,76000.0,3.3155,45
2004-09-08 18:00:00,3.31,3.31,3.31,3.31,175200.0,3.3105,89
2004-09-09 13:30:00,3.31,3.31,3.31,3.31,5600.0,3.31125,4
2004-09-09 14:00:00,3.31,3.33,3.3,3.3,1975600.0,3.312,64
2004-09-09 16:00:00,3.3,3.3,3.24,3.26,421600.0,3.2545,118
2004-09-09 18:00:00,3.26,3.33,3.26,3.29,121200.0,3.294,92
2004-09-10 13:30:00,3.29,3.39,3.29,3.39,157600.0,3.36675,56
2004-09-10 14:00:00,3.4,3.51,3.38,3.5,598800.0,3.4375,230
2004-09-10 16:00:00,3.51,3.58,3.45,3.52,1646000.0,3.47675,303
2004-09-10 18:00:00,3.52,3.57,3.5,3.56,379200.0,3.51625,227
