date,open,high,low,close,volume,average,barCount
2004-08-24 13:30:00,2.78,2.79,2.68,2.68,46373626.37362638,2.74008735,5073
2004-08-24 14:00:00,2.68,2.7,2.59,2.61,135004995.00499502,2.633455825,14249
2004-08-24 16:00:00,2.61,2.65,2.6,2.65,46661338.661338665,2.630152525,4438
2004-08-24 18:00:00,2.65,2.66,2.6,2.63,64079920.07992009,2.61876615,5655
2004-08-25 13:30:00,2.62,2.66,2.61,2.63,27768231.768231772,2.637259625,2971
2004-08-25 14:00:00,2.63,2.63,2.6,2.61,34189810.189810194,2.616538925,3306
2004-08-25 16:00:00,2.61,2.68,2.61,2.67,55156843.15684316,2.661734075,5001
2004-08-25 18:00:00,2.67,2.7,2.64,2.65,59476523.47652349,2.674196525,4834
2004-08-26 13:30:00,2.63,2.67,2.63,2.64,22629370.629370634,2.64429165,1878
2004-08-26 14:00:00,2.64,2.69,2.62,2.68,48819180.819180824,2.659481825,4681
2004-08-26 16:00:00,2.68,2.7,2.68,2.69,29026973.02697303,2.6917891,2662
2004-08-26 18:00:00,2.69,2.7,2.65,2.7,35344655.34465535,2.67682415,3494
2004-08-27 13:30:00,2.71,2.72,2.69,2.7,21758241.75824176,2.703575875,2009
2004-08-27 14:00:00,2.7,2.71,2.68,2.69,51856143.85614386,2.69754485,4099
2004-08-27 16:00:00,2.69,2.69,2.67,2.67,20291708.291708294,2.6794768,1766
2004-08-27 18:00:00,2.67,2.67,2.64,2.66,23708291.708291713,2.657029375,2366
2004-08-30 13:30:00,2.63,2.64,2.61,2.62,18037962.03796204,2.623495875,1945
2004-08-30 14:00:00,2.61,2.62,2.56,2.58,43804195.804195814,2.5859834,4070
2004-08-30 16:00:00,2.58,2.59,2.57,2.57,11908091.90809191,2.57782525,1178
2004-08-30 18:00:00,2.57,2.58,2.55,2.55,26957042.957042962,2.5656631,2198
2004-08-31 13:30:00,2.56,2.6,2.56,2.59,24039960.039960045,2.575247675,1993
2004-08-31 14:00:00,2.59,2.59,2.56,2.58,38689310.68931069,2.577750175,3287
2004-08-31 16:00:00,2.58,2.58,2.57,2.58,10145854.145854147,2.574847275,830
2004-08-31 18:00:00,2.58,2.58,2.56,2.56,19616383.61638362,2.570292725,1833
2004-09-01 13:30:00,2.57,2.58,2.51,2.52,26765234.76523477,2.531053525,2371
2004-09-01 14:00:00,2.52,2.53,2.49,2.52,69506493.50649352,2.514436925,5893
2004-09-01 16:00:00,2.52,2.53,2.51,2.53,24951048.951048955,2.524847325,1291
2004-09-01 18:00:00,2.53,2.53,2.49,2.51,55340659.34065935,2.506779275,3306
2004-09-02 13:30:00,2.48,2.53,2.4,2.52,93454545.45454547,2.49514265,4670
2004-09-02 14:00:00,2.52,2.53,2.5,2.51,71296703.29670331,2.517840325,4833
2004-09-02 16:00:00,2.51,2.51,2.5,2.51,31560439.560439564,2.50485235,1752
2004-09-02 18:00:00,2.51,2.56,2.51,2.54,94169830.16983019,2.529251725,5307
2004-09-03 13:30:00,2.53,2.55,2.52,2.54,20447552.44755245,2.531153625,1371
2004-09-03 14:00:00,2.53,2.54,2.49,2.51,48635364.635364644,2.5100075,3523
2004-09-03 16:00:00,2.51,2.52,2.5,2.52,13878121.87812188,2.513736225,1087
2004-09-03 18:00:00,2.52,2.53,2.5,2.51,15500499.500499504,2.51155905,1467
2004-09-07 13:30:00,2.53,2.55,2.51,2.52,17358641.35864136,2.537760225,1476
2004-09-07 14:00:00,2.52,2.53,2.49,2.52,39032967.03296704,2.51356105,3413
2004-09-07 16:00:00,2.52,2.55,2.52,2.54,22485514.485514488,2.533856325,2074
2004-09-07 18:00:00,2.54,2.54,2.52,2.54,30937062.93706294,2.53227975,2388
2004-09-08 13:30:00,2.52,2.57,2.52,2.55,17994005.994005997,2.55039785,1639
2004-09-08 14:00:00,2.55,2.58,2.55,2.56,34897102.8971029,2.563736175,2648
2004-09-08 16:00:00,2.56,2.57,2.55,2.57,16791208.791208792,2.559732175,1344
2004-09-08 18:00:00,2.57,2.57,2.55,2.56,27180819.180819184,2.5586561,2225
2004-09-09 13:30:00,2.56,2.57,2.53,2.54,11332667.332667334,2.54959705,1209
2004-09-09 14:00:00,2.55,2.56,2.53,2.53,20759240.75924076,2.54469215,1888
2004-09-09 16:00:00,2.53,2.54,2.53,2.53,15104895.104895107,2.5371346,1324
2004-09-09 18:00:00,2.54,2.56,2.54,2.56,28107892.10789211,2.548520975,2130
2004-09-10 13:30:00,2.54,2.6,2.54,2.6,19468531.46853147,2.580352775,1811
2004-09-10 14:00:00,2.6,2.66,2.58,2.64,76483516.4835165,2.630302675,6700
2004-09-10 16:00:00,2.63,2.65,2.61,2.64,28663336.66333667,2.62887625,2407
2004-09-10 18:00:00,2.64,2.67,2.63,2.64,40971028.971028976,2.643966325,3905
2004-09-13 13:30:00,2.67,2.71,2.66,2.68,42853146.85314686,2.69494225,4154
2004-09-13 14:00:00,2.68,2.71,2.68,2.69,40271728.27172828,2.693916225,3568
2004-09-13 16:00:00,2.69,2.7,2.68,2.69,20000000.000000004,2.689061375,1577
2004-09-13 18:00:00,2.69,2.7,2.68,2.69,48611388.611388616,2.6900874,3648
2004-09-14 13:30:00,2.69,2.71,2.67,2.7,19104895.104895107,2.68833565,1793
2004-09-14 14:00:00,2.7,2.74,2.69,2.71,56687312.68731269,2.71646375,4508
2004-09-14 16:00:00,2.71,2.76,2.71,2.75,52571428.57142858,2.73858585,3844
2004-09-14 18:00:00,2.75,2.8,2.74,2.79,83468531.46853147,2.7698671,6846
2004-09-15 13:30:00,2.77,2.83,2.76,2.78,44547452.547452554,2.79854575,4726
2004-09-15 14:00:00,2.78,2.82,2.76,2.8,59708291.70829172,2.791113325,6541
2004-09-15 16:00:00,2.79,2.81,2.78,2.81,18437562.43756244,2.796318525,1908
2004-09-15 18:00:00,2.81,2.86,2.78,2.8,84399600.39960042,2.8313285,7359
2004-09-16 13:30:00,2.81,2.84,2.79,2.84,19968031.968031973,2.81846565,2064
2004-09-16 14:00:00,2.84,2.89,2.83,2.87,54385614.385614395,2.8662634,5464
2004-09-16 16:00:00,2.87,2.89,2.86,2.89,33370629.370629374,2.87602315,3352
2004-09-16 18:00:00,2.89,2.9,2.8,2.85,73102897.10289711,2.849671825,7093
2004-09-17 13:30:00,2.87,2.87,2.84,2.84,19916083.91608392,2.860532675,2000
2004-09-17 14:00:00,2.84,2.88,2.84,2.87,41738261.738261744,2.871894025,4335
2004-09-17 16:00:00,2.87,2.89,2.87,2.88,19236763.23676324,2.876098225,1881
2004-09-17 18:00:00,2.88,2.94,2.87,2.94,75500499.50049952,2.903225325,6231
2004-09-20 13:30:00,2.93,3.0,2.92,2.95,40539460.53946055,2.9678649,4296
2004-09-20 14:00:00,2.95,3.04,2.95,3.01,71992007.992008,3.01406105,7752
2004-09-20 16:00:00,3.01,3.02,2.97,2.99,31420579.420579426,2.99534235,3318
2004-09-20 18:00:00,2.99,3.01,2.97,2.99,51804195.804195814,2.99063765,4771
2004-09-21 13:30:00,3.01,3.01,2.95,2.96,20127872.12787213,2.97862565,2769
2004-09-21 14:00:00,2.96,2.99,2.94,2.95,40179820.17982019,2.959831875,4759
2004-09-21 16:00:00,2.95,2.96,2.94,2.96,16787212.78721279,2.947419475,1549
2004-09-21 18:00:00,2.96,2.98,2.94,2.95,52559440.55944057,2.963135175,5483
2004-09-22 13:30:00,2.94,2.97,2.92,2.96,18225774.22577423,2.949947,2023
2004-09-22 14:00:00,2.96,2.98,2.94,2.97,45750249.75024976,2.959081125,4654
2004-09-22 16:00:00,2.97,2.99,2.96,2.98,31844155.844155848,2.979251275,2981
2004-09-22 18:00:00,2.98,2.98,2.94,2.96,53630369.63036964,2.962684725,4878
2004-09-23 13:30:00,2.97,2.99,2.93,2.94,26669330.669330675,2.952574625,2724
2004-09-23 14:00:00,2.94,2.96,2.93,2.95,32811188.811188817,2.9477448,3406
2004-09-23 16:00:00,2.95,2.96,2.95,2.96,11084915.084915087,2.9553524,1253
2004-09-23 18:00:00,2.96,3.07,2.95,3.02,96083916.0839161,3.01676375,9797
2004-09-24 13:30:00,3.03,3.07,3.02,3.07,31392607.3926074,3.04959655,3205
2004-09-24 14:00:00,3.07,3.11,3.06,3.07,60763236.763236776,3.083505425,5512
2004-09-24 16:00:00,3.07,3.08,3.07,3.07,20279720.279720284,3.071993925,1777
2004-09-24 18:00:00,3.07,3.07,3.0,3.0,64343656.34365635,3.031253225,5597
2004-09-27 13:30:00,2.99,3.03,2.97,3.01,20975024.97502498,3.000822825,2474
2004-09-27 14:00:00,3.01,3.02,2.98,3.0,39488511.488511495,3.002674675,4652
2004-09-27 16:00:00,3.0,3.01,2.98,2.98,20423576.423576426,2.989161175,2373
2004-09-27 18:00:00,2.98,2.99,2.95,2.96,49658341.65834167,2.967039075,5046
