date,open,high,low,close,volume,average,barCount
2004-08-23 13:30:00,22.12,22.23,22.0,22.16,638400.0,22.158,494
2004-08-23 14:00:00,22.16,22.34,22.13,22.33,2298800.0,22.259,1541
2004-08-23 16:00:00,22.32,22.36,22.2,22.32,2238000.0,22.283,1165
2004-08-23 18:00:00,22.32,22.35,22.1,22.18,3168000.0,22.1815,1663
2004-08-24 13:30:00,22.25,22.25,22.13,22.17,1064400.0,22.197,409
2004-08-24 14:00:00,22.17,22.17,22.04,22.06,2515600.0,22.096,1397
2004-08-24 16:00:00,22.06,22.12,22.01,22.1,1688600.0,22.0725,916
2004-08-24 18:00:00,22.1,22.1,22.0,22.03,3028400.0,22.0415,1470
2004-08-25 13:30:00,21.99,22.0,21.86,21.96,1030200.0,21.93,550
2004-08-25 14:00:00,21.95,22.13,21.91,22.01,3097600.0,21.99,1539
2004-08-25 16:00:00,22.01,22.22,22.01,22.16,1744800.0,22.1355,1253
2004-08-25 18:00:00,22.16,22.23,22.11,22.18,2854600.0,22.175,1742
2004-08-26 13:30:00,22.17,22.24,22.09,22.24,640800.0,22.165,412
2004-08-26 14:00:00,22.25,22.32,22.24,22.25,1778200.0,22.2805,1208
2004-08-26 16:00:00,22.25,22.31,22.25,22.28,833000.0,22.286,730
2004-08-26 18:00:00,22.28,22.33,22.23,22.25,1958000.0,22.278,1406
2004-08-27 13:30:00,22.28,22.33,22.25,22.31,522400.0,22.2905,348
2004-08-27 14:00:00,22.31,22.4,22.3,22.36,1395400.0,22.361,1006
2004-08-27 16:00:00,22.36,22.39,22.27,22.35,1213600.0,22.338,874
2004-08-27 18:00:00,22.35,22.45,22.33,22.37,2022600.0,22.3725,1357
2004-08-30 13:30:00,22.25,22.33,22.24,22.28,597600.0,22.2815,346
2004-08-30 14:00:00,22.28,22.34,22.25,22.29,1433600.0,22.289,1083
2004-08-30 16:00:00,22.29,22.32,22.25,22.29,980400.0,22.2875,790
2004-08-30 18:00:00,22.29,22.3,22.17,22.18,2334800.0,22.244,1332
2004-08-31 13:30:00,22.19,22.26,22.15,22.24,491000.0,22.191,400
2004-08-31 14:00:00,22.25,22.25,22.1,22.12,1139600.0,22.172,948
2004-08-31 16:00:00,22.12,22.12,22.01,22.1,1288800.0,22.079,915
2004-08-31 18:00:00,22.11,22.36,22.06,22.36,2786800.0,22.2285,1780
2004-09-01 13:30:00,22.4,22.43,22.36,22.39,701000.0,22.3905,406
2004-09-01 14:00:00,22.39,22.41,22.3,22.31,1701200.0,22.378,1216
2004-09-01 16:00:00,22.31,22.38,22.15,22.35,1666000.0,22.308,1197
2004-09-01 18:00:00,22.35,22.4,22.28,22.34,2588000.0,22.3335,1439
2004-09-02 13:30:00,22.32,22.34,22.28,22.34,1017400.0,22.319,393
2004-09-02 14:00:00,22.32,22.39,22.29,22.36,1827800.0,22.334,1023
2004-09-02 16:00:00,22.36,22.39,22.35,22.38,1899800.0,22.3745,588
2004-09-02 18:00:00,22.39,22.74,22.38,22.71,5224800.0,22.5795,2175
2004-09-03 13:30:00,22.72,22.88,22.71,22.86,1299400.0,22.803,709
2004-09-03 14:00:00,22.85,22.88,22.75,22.86,2769600.0,22.82,1402
2004-09-03 16:00:00,22.86,22.94,22.79,22.86,2241800.0,22.879,893
2004-09-03 18:00:00,22.86,22.9,22.71,22.75,3008200.0,22.796,1420
2004-09-07 13:30:00,22.85,22.9,22.75,22.82,1183400.0,22.819,573
2004-09-07 14:00:00,22.82,22.83,22.64,22.71,1998000.0,22.7335,1590
2004-09-07 16:00:00,22.71,22.89,22.71,22.72,1956400.0,22.803,1155
2004-09-07 18:00:00,22.72,22.84,22.58,22.83,2692400.0,22.712,1791
2004-09-08 13:30:00,22.68,22.68,22.28,22.33,2694800.0,22.4105,921
2004-09-08 14:00:00,22.33,22.5,22.23,22.24,5636000.0,22.2815,2178
2004-09-08 16:00:00,22.23,22.25,22.08,22.08,2921600.0,22.1635,1487
2004-09-08 18:00:00,22.08,22.08,21.7,21.73,10305400.0,21.838,3566
2004-09-09 13:30:00,21.65,21.68,21.58,21.65,2417200.0,21.6315,738
2004-09-09 14:00:00,21.65,21.67,21.51,21.6,5913000.0,21.564,2334
2004-09-09 16:00:00,21.6,21.73,21.56,21.72,3956800.0,21.6375,1559
2004-09-09 18:00:00,21.73,21.82,21.53,21.76,4828600.0,21.746,2139
2004-09-10 13:30:00,21.53,21.6,21.45,21.5,3234400.0,21.5165,1199
2004-09-10 14:00:00,21.5,21.54,21.45,21.51,5175400.0,21.494,2264
2004-09-10 16:00:00,21.5,21.52,21.43,21.43,4039800.0,21.4745,1573
2004-09-10 18:00:00,21.43,21.52,21.34,21.48,7373800.0,21.4045,2902
2004-09-13 13:30:00,21.4,21.43,21.25,21.29,2229400.0,21.346,843
2004-09-13 14:00:00,21.29,21.47,21.29,21.41,5577200.0,21.397,2214
2004-09-13 16:00:00,21.41,21.47,21.38,21.42,3608000.0,21.419,1730
2004-09-13 18:00:00,21.42,21.49,21.38,21.39,4789200.0,21.4295,2141
2004-09-14 13:30:00,21.28,21.44,21.28,21.38,2254200.0,21.357,712
2004-09-14 14:00:00,21.38,21.5,21.36,21.5,3972200.0,21.4635,1753
2004-09-14 16:00:00,21.5,21.56,21.47,21.56,3637600.0,21.5165,1344
2004-09-14 18:00:00,21.56,21.6,21.45,21.45,7441600.0,21.5025,2030
2004-09-15 13:30:00,20.41,20.43,20.1,20.33,15218000.0,20.29,4725
2004-09-15 14:00:00,20.33,20.61,20.3,20.55,22986400.0,20.4635,6895
2004-09-15 16:00:00,20.55,20.57,20.45,20.52,9884000.0,20.502,2730
2004-09-15 18:00:00,20.52,20.62,20.46,20.58,11669200.0,20.512,4007
2004-09-16 13:30:00,20.61,20.68,20.52,20.63,3651800.0,20.6165,1254
2004-09-16 14:00:00,20.62,20.64,20.2,20.2,11657200.0,20.4095,3895
2004-09-16 16:00:00,20.2,20.22,20.06,20.08,10393200.0,20.1405,3241
2004-09-16 18:00:00,20.08,20.09,19.98,20.0,15893400.0,20.0065,4428
2004-09-17 13:30:00,19.98,20.15,19.98,20.07,6647800.0,20.013,1505
2004-09-17 14:00:00,20.07,20.29,20.03,20.18,8663200.0,20.172,3427
2004-09-17 16:00:00,20.18,20.25,20.15,20.24,3841200.0,20.199,1913
2004-09-17 18:00:00,20.25,20.28,20.15,20.18,5716000.0,20.201,2678
2004-09-20 13:30:00,19.95,20.2,19.95,20.1,1628000.0,20.108,807
2004-09-20 14:00:00,20.1,20.22,20.06,20.13,4117200.0,20.138,2412
2004-09-20 16:00:00,20.13,20.25,20.11,20.19,2129000.0,20.1675,1541
2004-09-20 18:00:00,20.2,20.25,20.11,20.21,3896800.0,20.1735,2264
2004-09-21 13:30:00,20.33,20.35,20.21,20.25,2094000.0,20.2715,925
2004-09-21 14:00:00,20.25,20.36,20.18,20.36,4715800.0,20.269,2287
2004-09-21 16:00:00,20.35,20.4,20.33,20.36,2786200.0,20.3655,1553
2004-09-21 18:00:00,20.36,20.5,20.34,20.38,5668400.0,20.4305,2733
2004-09-22 13:30:00,20.39,20.48,20.35,20.47,2017600.0,20.408,978
2004-09-22 14:00:00,20.48,20.48,20.27,20.35,7085400.0,20.3405,2731
2004-09-22 16:00:00,20.35,20.4,20.28,20.29,3731200.0,20.3595,1831
2004-09-22 18:00:00,20.29,20.39,20.2,20.21,6336400.0,20.283,2712
2004-09-23 13:30:00,20.22,20.33,20.21,20.21,1749800.0,20.2455,742
2004-09-23 14:00:00,20.21,20.22,20.05,20.08,4948400.0,20.144,2497
2004-09-23 16:00:00,20.09,20.13,20.02,20.02,3053600.0,20.0585,1710
2004-09-23 18:00:00,20.03,20.11,20.01,20.03,4459600.0,20.059,2159
2004-09-24 13:30:00,20.0,20.05,20.0,20.0,1869400.0,20.011,854
2004-09-24 14:00:00,20.0,20.02,19.86,19.97,4652000.0,19.941,2575
2004-09-24 16:00:00,19.96,19.98,19.93,19.98,2990000.0,19.948,1562
2004-09-24 18:00:00,19.99,20.0,19.93,19.99,3983800.0,19.9635,1948
2004-09-27 13:30:00,19.61,20.0,19.61,19.92,1515800.0,19.923,687
2004-09-27 14:00:00,19.93,19.98,19.89,19.92,4494600.0,19.9315,1682
2004-09-27 16:00:00,19.92,19.94,19.88,19.92,4389000.0,19.9095,1584
2004-09-27 18:00:00,19.92,19.93,19.81,19.84,6557000.0,19.86,2075
2004-09-28 13:30:00,19.9,19.96,19.85,19.93,1692400.0,19.917,633
2004-09-28 14:00:00,19.91,20.02,19.88,19.97,4614200.0,19.972,1802
2004-09-28 16:00:00,19.97,20.03,19.97,20.0,2536000.0,20.0045,1416
2004-09-28 18:00:00,20.0,20.02,19.96,19.99,4607000.0,19.9845,1790
2004-09-29 13:30:00,19.9,19.99,19.85,19.86,1295200.0,19.905,656
2004-09-29 14:00:00,19.85,19.99,19.82,19.96,4054600.0,19.901,1622
2004-09-29 16:00:00,19.95,20.04,19.93,20.0,3114400.0,19.992,1523
2004-09-29 18:00:00,20.0,20.05,19.97,20.0,3738200.0,20.008,1763
2004-09-30 13:30:00,20.08,20.2,20.08,20.09,1346400.0,20.125,574
2004-09-30 14:00:00,20.11,20.11,19.96,20.03,3500000.0,20.01,1943
2004-09-30 16:00:00,20.02,20.07,20.0,20.07,2229000.0,20.026,1277
2004-09-30 18:00:00,20.07,20.09,19.99,20.03,4125200.0,20.016,2061
2004-10-01 13:30:00,20.24,20.27,20.15,20.27,2138200.0,20.2245,628
2004-10-01 14:00:00,20.27,20.38,20.01,20.35,5414000.0,20.321,1844
2004-10-01 16:00:00,20.34,20.39,20.29,20.29,2597400.0,20.347,1403
2004-10-01 18:00:00,20.3,20.31,20.14,20.15,4669200.0,20.234,1848
2004-10-04 13:30:00,20.18,20.45,20.18,20.39,2761600.0,20.4,719
2004-10-04 14:00:00,20.39,20.4,20.22,20.22,4499000.0,20.294,2120
2004-10-04 16:00:00,20.23,20.32,20.22,20.29,1714800.0,20.2665,1307
2004-10-04 18:00:00,20.3,20.43,20.29,20.38,3452600.0,20.3595,1955
2004-10-05 13:30:00,20.38,20.43,20.34,20.43,1247400.0,20.3795,536
2004-10-05 14:00:00,20.43,20.57,20.42,20.55,5592800.0,20.5115,1960
2004-10-05 16:00:00,20.55,20.57,20.43,20.44,3282200.0,20.517,1327
2004-10-05 18:00:00,20.44,20.45,20.3,20.3,4005200.0,20.352,1890
2004-10-06 13:30:00,20.3,20.32,20.25,20.28,1304200.0,20.2845,461
2004-10-06 14:00:00,20.3,20.39,20.22,20.25,3758800.0,20.295,1514
2004-10-06 16:00:00,20.26,20.29,20.22,20.24,2165000.0,20.248,1145
2004-10-06 18:00:00,20.24,20.45,20.23,20.45,5055600.0,20.376,1702
2004-10-07 13:30:00,20.48,20.48,20.4,20.41,806800.0,20.444,486
2004-10-07 14:00:00,20.41,20.42,20.28,20.29,2059200.0,20.3385,1380
2004-10-07 16:00:00,20.28,20.29,20.15,20.18,1901800.0,20.2255,1180
2004-10-07 18:00:00,20.19,20.22,20.06,20.06,3092000.0,20.1415,1627
2004-10-08 13:30:00,20.03,20.15,20.03,20.12,1257000.0,20.0715,567
2004-10-08 14:00:00,20.12,20.13,19.98,19.99,3474600.0,20.0315,1749
2004-10-08 16:00:00,19.99,20.02,19.96,19.98,5021800.0,19.992,1316
2004-10-08 18:00:00,19.98,20.04,19.96,20.0,3755800.0,20.0015,1835
2004-10-11 13:30:00,20.06,20.08,20.0,20.02,807800.0,20.0265,582
2004-10-11 14:00:00,20.02,20.06,19.95,19.96,2258200.0,19.994,1378
2004-10-11 16:00:00,19.96,19.97,19.91,19.97,1754000.0,19.942,1075
2004-10-11 18:00:00,19.96,20.02,19.93,20.02,2252600.0,19.991,1458
2004-10-12 13:30:00,19.83,19.93,19.83,19.89,1428000.0,19.8685,627
2004-10-12 14:00:00,19.89,19.9,19.79,19.89,3221400.0,19.837,1699
2004-10-12 16:00:00,19.9,19.9,19.8,19.85,1942200.0,19.828,1305
2004-10-12 18:00:00,19.84,19.93,19.82,19.89,3942200.0,19.866,1881
2004-10-13 13:30:00,19.89,19.95,19.88,19.9,1205800.0,19.9075,620
2004-10-13 14:00:00,19.9,19.91,19.75,19.75,3679000.0,19.803,1994
2004-10-13 16:00:00,19.75,19.77,19.63,19.64,2811400.0,19.7105,1802
2004-10-13 18:00:00,19.64,19.74,19.63,19.68,3840600.0,19.684,2279
2004-10-14 13:30:00,19.75,19.75,19.66,19.74,989000.0,19.731,589
2004-10-14 14:00:00,19.74,19.89,19.66,19.68,3482800.0,19.757,2095
2004-10-14 16:00:00,19.68,19.75,19.65,19.65,1918800.0,19.6845,1563
2004-10-14 18:00:00,19.65,19.75,19.58,19.59,3156400.0,19.6285,2083
2004-10-15 13:30:00,19.75,19.75,19.57,19.58,2210600.0,19.5855,625
2004-10-15 14:00:00,19.58,19.61,19.55,19.57,3564000.0,19.5765,1792
2004-10-15 16:00:00,19.57,19.67,19.53,19.57,3863600.0,19.5855,2039
2004-10-15 18:00:00,19.56,19.65,19.56,19.61,3975000.0,19.593,2009
2004-10-18 13:30:00,19.55,19.58,19.5,19.53,1540600.0,19.5375,695
2004-10-18 14:00:00,19.52,19.59,19.5,19.58,3162400.0,19.53,1829
2004-10-18 16:00:00,19.57,19.66,19.56,19.6,1978000.0,19.607,1682
2004-10-18 18:00:00,19.59,19.64,19.55,19.61,2937200.0,19.5965,2197
2004-10-19 13:30:00,19.88,19.88,19.6,19.65,1703000.0,19.6275,630
2004-10-19 14:00:00,19.65,19.81,19.63,19.75,4999200.0,19.72,1876
2004-10-19 16:00:00,19.75,19.82,19.75,19.77,3444000.0,19.78,1546
2004-10-19 18:00:00,19.77,19.79,19.65,19.68,4089200.0,19.7135,1920
2004-10-20 13:30:00,19.64,19.68,19.63,19.65,1076400.0,19.652,451
2004-10-20 14:00:00,19.65,19.72,19.65,19.68,3409000.0,19.6785,1733
2004-10-20 16:00:00,19.68,19.75,19.65,19.7,2060400.0,19.7035,1309
