date,open,high,low,close,volume,average,barCount
2006-05-25 14:00:00,4.03,4.5,4.02,4.37,273409000.0,4.2255,21060
2006-05-25 16:00:00,4.37,4.42,4.31,4.41,42556000.0,4.3625,3836
2006-05-25 18:00:00,4.42,4.6,4.4,4.6,62215000.0,4.4982,6989
2006-05-26 13:30:00,4.63,4.67,4.41,4.43,32557000.0,4.5381,3007
2006-05-26 14:00:00,4.44,4.55,4.42,4.53,37195000.0,4.4847,2942
2006-05-26 16:00:00,4.53,4.56,4.49,4.5,12826000.0,4.5227,1565
2006-05-26 18:00:00,4.5,4.5,4.45,4.49,14495000.0,4.473,1935
2006-05-30 13:30:00,4.5,4.5,4.32,4.33,10702000.0,4.3842,1362
2006-05-30 14:00:00,4.33,4.5,4.29,4.38,17104000.0,4.3414,2227
2006-05-30 16:00:00,4.38,4.39,4.36,4.37,8588000.0,4.3726,995
2006-05-30 18:00:00,4.37,4.48,4.36,4.42,12996000.0,4.4125,1715
2006-05-31 13:30:00,4.44,4.54,4.44,4.48,6164000.0,4.4971,553
2006-05-31 14:00:00,4.47,4.52,4.46,4.5,10889000.0,4.492,1375
2006-05-31 16:00:00,4.5,4.53,4.49,4.51,7643000.0,4.5031,1080
2006-05-31 18:00:00,4.51,4.51,4.48,4.49,4797000.0,4.4929,797
2006-06-01 13:30:00,4.49,4.6,4.49,4.6,6437000.0,4.5574,751
2006-06-01 14:00:00,4.6,4.74,4.6,4.71,25681000.0,4.6779,2924
2006-06-01 16:00:00,4.71,4.81,4.7,4.79,14784000.0,4.7564,1829
2006-06-01 18:00:00,4.79,4.79,4.47,4.75,15416000.0,4.7272,2332
2006-06-02 13:30:00,4.85,4.87,4.73,4.73,10436000.0,4.8046,858
2006-06-02 14:00:00,4.73,4.81,4.69,4.69,10112000.0,4.7639,1315
2006-06-02 16:00:00,4.69,4.73,4.68,4.7,5893000.0,4.7032,812
2006-06-02 18:00:00,4.7,4.75,4.68,4.7,7222000.0,4.7239,962
2006-06-05 13:30:00,4.71,4.8,4.7,4.79,3445000.0,4.7367,425
2006-06-05 14:00:00,4.78,4.93,4.75,4.88,14053000.0,4.8259,2408
