date,open,high,low,close,volume,average,barCount
2008-03-19 14:00:00,14.88,17.25,13.75,15.05,532316400.0,14.58875,317926
2008-03-19 16:00:00,15.05,15.25,14.5,14.78,80495200.0,14.76325,85048
2008-03-19 18:00:00,14.78,14.81,14.0,14.16,82936800.0,14.5505,87231
2008-03-20 13:30:00,14.6,14.87,14.38,14.75,26426400.0,14.61125,17180
2008-03-20 14:00:00,14.74,16.0,14.69,15.71,84830400.0,15.33275,85078
2008-03-20 16:00:00,15.71,15.98,15.5,15.79,33198800.0,15.76025,38533
2008-03-20 18:00:00,15.79,16.25,15.66,15.97,49407200.0,16.0265,61177
2008-03-24 13:30:00,16.84,16.93,16.09,16.48,36787200.0,16.453,31466
2008-03-24 14:00:00,16.49,16.56,15.36,15.57,45360800.0,15.9655,56403
2008-03-24 16:00:00,15.57,15.7,15.26,15.38,20299200.0,15.51075,24755
2008-03-24 18:00:00,15.38,15.47,14.75,14.89,42328800.0,15.05875,41647
2008-03-25 13:30:00,15.15,15.61,14.96,15.1,16475200.0,15.20675,14541
2008-03-25 14:00:00,15.1,15.55,15.03,15.4,20159600.0,15.345,20335
2008-03-25 16:00:00,15.39,16.06,15.37,16.02,22926800.0,15.7575,20306
2008-03-25 18:00:00,16.03,16.04,15.75,15.78,25233600.0,15.88125,17915
2008-03-26 13:30:00,15.68,15.75,15.39,15.61,9458000.0,15.60725,7942
2008-03-26 14:00:00,15.62,15.75,15.44,15.66,10381200.0,15.612,11364
2008-03-26 16:00:00,15.66,15.79,15.62,15.64,7648000.0,15.713,7952
2008-03-26 18:00:00,15.64,16.12,15.58,16.0,14809600.0,15.8765,15814
2008-03-27 13:30:00,16.01,16.18,15.83,16.03,9763200.0,16.0285,8299
2008-03-27 14:00:00,16.03,16.12,15.66,16.0,14123200.0,15.9135,14513
2008-03-27 16:00:00,16.01,16.09,15.8,15.85,6709200.0,15.95675,8185
2008-03-27 18:00:00,15.84,16.03,15.72,15.74,7908400.0,15.89125,8261
2008-03-28 13:30:00,15.84,15.86,15.72,15.76,4128000.0,15.75675,3348
2008-03-28 14:00:00,15.76,15.79,15.56,15.65,9325600.0,15.66875,9474
2008-03-28 16:00:00,15.64,15.67,15.54,15.65,5814000.0,15.62675,5753
2008-03-28 18:00:00,15.65,15.74,15.57,15.68,4959600.0,15.6275,5712
