date,open,high,low,close,volume,average,barCount
2004-08-23 13:30:00,45.45,45.49,45.26,45.44,1065800.0,45.417,913
2004-08-23 14:00:00,45.43,45.55,45.1,45.1,2133000.0,45.349,2339
2004-08-23 16:00:00,45.1,45.14,44.85,45.11,1840900.0,44.999,2023
2004-08-23 18:00:00,45.11,45.22,44.85,44.98,2956400.0,45.004,2465
2004-08-24 13:30:00,44.99,44.99,44.25,44.71,1527500.0,44.822,1023
2004-08-24 14:00:00,44.72,44.88,44.51,44.69,3029200.0,44.706,2666
2004-08-24 16:00:00,44.68,44.79,44.59,44.73,1655900.0,44.709,1565
2004-08-24 18:00:00,44.73,44.92,44.64,44.85,2652700.0,44.773,2219
2004-08-25 13:30:00,44.96,45.15,44.92,45.07,1193500.0,45.058,858
2004-08-25 14:00:00,45.08,45.08,44.9,44.97,2316800.0,44.994,2218
2004-08-25 16:00:00,44.97,45.14,44.96,45.09,1876900.0,45.049,1797
2004-08-25 18:00:00,45.1,45.19,45.03,45.19,2985200.0,45.108,2308
2004-08-26 13:30:00,45.0,45.19,44.95,44.95,945000.0,45.044,758
2004-08-26 14:00:00,44.95,45.13,44.93,45.08,2197200.0,45.004,2106
2004-08-26 16:00:00,45.07,45.27,45.04,45.22,2128500.0,45.149,1694
2004-08-26 18:00:00,45.22,45.39,45.13,45.28,2652300.0,45.278,2132
2004-08-27 13:30:00,45.37,45.58,45.36,45.5,866800.0,45.458,765
2004-08-27 14:00:00,45.49,45.55,45.35,45.37,1781200.0,45.45,1879
2004-08-27 16:00:00,45.37,45.53,45.36,45.46,1206500.0,45.458,1205
2004-08-27 18:00:00,45.46,45.53,45.39,45.45,2024100.0,45.469,1650
2004-08-30 13:30:00,45.35,45.65,45.32,45.61,835800.0,45.485,696
2004-08-30 14:00:00,45.61,45.69,45.22,45.22,2177700.0,45.487,2317
2004-08-30 16:00:00,45.23,45.26,45.15,45.25,1357100.0,45.203,1522
2004-08-30 18:00:00,45.25,45.29,45.09,45.13,2314200.0,45.177,2132
2004-08-31 13:30:00,45.24,45.44,45.24,45.42,748900.0,45.34,717
2004-08-31 14:00:00,45.42,45.44,45.28,45.4,1945800.0,45.36,1759
2004-08-31 16:00:00,45.4,45.81,45.39,45.78,2243200.0,45.627,1778
2004-08-31 18:00:00,45.79,46.12,45.7,46.11,4746600.0,45.946,3009
2004-09-01 13:30:00,46.2,46.25,46.03,46.23,1199600.0,46.124,810
2004-09-01 14:00:00,46.22,46.51,46.22,46.34,2854200.0,46.405,2639
2004-09-01 16:00:00,46.34,46.49,46.22,46.46,2966000.0,46.412,2146
2004-09-01 18:00:00,46.46,46.55,46.36,46.46,3141900.0,46.452,2591
2004-09-02 13:30:00,46.71,46.71,46.54,46.6,883000.0,46.639,728
2004-09-02 14:00:00,46.62,46.66,46.45,46.54,1956000.0,46.547,1959
2004-09-02 16:00:00,46.54,46.63,46.5,46.61,1809200.0,46.587,1136
2004-09-02 18:00:00,46.6,46.99,46.6,46.98,4097300.0,46.839,2626
2004-09-03 13:30:00,46.98,46.99,46.88,46.97,1500000.0,46.972,871
2004-09-03 14:00:00,46.98,47.13,46.9,47.08,3644000.0,46.998,2903
2004-09-03 16:00:00,47.07,47.11,46.97,47.09,1443600.0,47.034,1389
2004-09-03 18:00:00,47.09,47.24,46.98,47.09,2235100.0,47.113,2140
2004-09-07 13:30:00,47.07,47.07,46.65,46.72,2261800.0,46.814,1412
2004-09-07 14:00:00,46.71,47.16,46.71,47.08,3015200.0,46.917,2682
2004-09-07 16:00:00,47.08,47.12,47.01,47.02,2143000.0,47.075,1928
2004-09-07 18:00:00,47.02,47.25,46.97,47.16,3912800.0,47.111,2741
2004-09-08 13:30:00,47.0,47.08,46.95,47.04,1111500.0,47.019,863
2004-09-08 14:00:00,47.04,47.15,46.98,47.12,2657100.0,47.08,2599
2004-09-08 16:00:00,47.13,47.22,47.07,47.17,1937900.0,47.146,1822
2004-09-08 18:00:00,47.16,47.23,47.08,47.1,2567800.0,47.145,2342
2004-09-09 13:30:00,47.21,47.26,47.1,47.16,1132400.0,47.195,777
2004-09-09 14:00:00,47.18,47.34,47.1,47.34,2655200.0,47.231,2391
2004-09-09 16:00:00,47.33,47.5,47.32,47.43,2733000.0,47.421,2424
2004-09-09 18:00:00,47.43,47.55,47.4,47.47,3103500.0,47.485,2601
2004-09-10 13:30:00,47.59,47.59,47.35,47.53,1285100.0,47.51,920
2004-09-10 14:00:00,47.53,47.64,47.36,47.36,2642800.0,47.51,2268
