date,open,high,low,close,volume,average,barCount
2004-08-23 13:30:00,25.8,26.5,25.8,26.32,928000.0,26.378,830
2004-08-23 16:00:00,26.31,26.35,26.11,26.23,1324000.0,26.254,967
2004-08-24 13:30:00,26.28,26.68,26.23,26.32,1168200.0,26.441,763
2004-08-24 16:00:00,26.32,26.44,26.02,26.13,1168800.0,26.198,1126
2004-08-25 13:30:00,26.05,26.19,25.84,26.0,733000.0,26.031,621
2004-08-25 16:00:00,26.01,26.25,25.98,26.19,1311700.0,26.079,1086
2004-08-26 13:30:00,26.29,26.55,26.01,26.05,804400.0,26.233,648
2004-08-26 16:00:00,26.05,26.08,25.69,25.78,1414700.0,25.859,1246
2004-08-27 13:30:00,25.78,25.84,25.59,25.67,658300.0,25.704,607
2004-08-27 16:00:00,25.67,25.97,25.64,25.92,742700.0,25.828,772
2004-08-30 13:30:00,25.7,25.79,25.62,25.75,430100.0,25.703,594
2004-08-30 16:00:00,25.76,25.92,25.7,25.71,413400.0,25.788,784
2004-08-31 13:30:00,25.68,26.05,25.6,25.94,553900.0,25.886,523
2004-08-31 16:00:00,25.93,26.25,25.9,26.09,1008100.0,26.062,930
2004-09-01 13:30:00,26.15,26.48,26.12,26.31,577800.0,26.328,644
2004-09-01 16:00:00,26.32,26.67,26.31,26.5,1029200.0,26.504,1132
2004-09-02 13:30:00,26.37,26.63,26.37,26.37,501700.0,26.504,602
2004-09-02 16:00:00,26.35,26.5,26.12,26.36,855400.0,26.35,1028
2004-09-03 13:30:00,26.07,26.29,26.03,26.03,613600.0,26.15,658
2004-09-03 16:00:00,26.03,26.05,25.85,25.9,1080600.0,25.942,803
2004-09-07 13:30:00,25.86,26.09,25.86,26.09,1011500.0,25.996,647
2004-09-07 16:00:00,26.1,26.3,26.0,26.18,841900.0,26.197,972
2004-09-08 13:30:00,26.38,26.69,26.3,26.6,1416200.0,26.572,792
2004-09-08 16:00:00,26.6,26.63,26.44,26.46,1508900.0,26.557,863
2004-09-09 13:30:00,26.37,26.63,26.26,26.63,617200.0,26.407,560
2004-09-09 16:00:00,26.63,26.77,26.51,26.59,934200.0,26.669,1035
2004-09-10 13:30:00,26.65,26.78,26.53,26.54,343900.0,26.662,450
2004-09-10 16:00:00,26.54,26.77,26.47,26.75,914500.0,26.637,715
2004-09-13 13:30:00,26.78,26.78,26.53,26.66,468600.0,26.631,617
2004-09-13 16:00:00,26.66,26.68,26.32,26.39,1008000.0,26.514,961
