date,open,high,low,close,volume,average,barCount
2004-08-23 13:30:00,36.27,36.28,35.65,36.07,2950600.0,35.996,3105
2004-08-23 16:00:00,36.07,36.11,35.82,35.99,2460500.0,35.991,3395
2004-08-24 13:30:00,36.19,36.4,36.07,36.12,2393800.0,36.212,2601
2004-08-24 16:00:00,36.12,36.35,36.1,36.3,3777700.0,36.25,2782
2004-08-25 13:30:00,36.22,36.49,36.09,36.25,2008100.0,36.242,2500
2004-08-25 16:00:00,36.25,36.77,36.25,36.6,3283200.0,36.549,4001
2004-08-26 13:30:00,36.53,36.87,36.47,36.69,1935800.0,36.743,2354
2004-08-26 16:00:00,36.7,36.7,36.5,36.57,1804500.0,36.6,2678
2004-08-27 13:30:00,36.58,36.79,36.34,36.69,1511700.0,36.634,1978
2004-08-27 16:00:00,36.68,36.73,36.51,36.62,1689900.0,36.637,2461
2004-08-30 13:30:00,36.55,36.74,36.48,36.69,1495900.0,36.652,2074
2004-08-30 16:00:00,36.7,36.8,36.52,36.57,1862900.0,36.697,2490
2004-08-31 13:30:00,36.68,36.75,36.26,36.26,2096300.0,36.541,1914
2004-08-31 16:00:00,36.26,36.6,36.18,36.55,2997200.0,36.367,3308
2004-09-01 13:30:00,36.55,36.83,36.36,36.82,2825200.0,36.614,2190
2004-09-01 16:00:00,36.81,36.95,36.4,36.87,3304700.0,36.777,3933
2004-09-02 13:30:00,36.91,37.26,36.91,37.02,3929600.0,37.08,3325
2004-09-02 16:00:00,37.01,38.0,37.0,37.9,6264300.0,37.66,5237
2004-09-03 13:30:00,37.76,37.88,37.37,37.53,3893500.0,37.614,3347
2004-09-03 16:00:00,37.53,37.6,37.41,37.52,2363100.0,37.515,2964
2004-09-07 13:30:00,37.73,37.99,37.6,37.79,2981600.0,37.773,3457
2004-09-07 16:00:00,37.78,37.8,37.51,37.64,3383800.0,37.625,3745
2004-09-08 13:30:00,37.5,37.64,37.29,37.32,2711700.0,37.501,2696
2004-09-08 16:00:00,37.32,37.38,37.03,37.28,3206000.0,37.255,3514
2004-09-09 13:30:00,37.25,37.35,36.69,36.78,2273100.0,36.922,2815
2004-09-09 16:00:00,36.78,37.14,36.75,37.01,3284300.0,36.932,3881
2004-09-10 13:30:00,37.0,37.4,36.99,37.4,1769800.0,37.254,2655
