date,open,high,low,close,volume,average,barCount
2004-08-23 13:30:00,57.13,57.5,57.04,57.45,1819900.0,57.36,2474
2004-08-23 16:00:00,57.46,57.61,57.04,57.11,2656700.0,57.339,3742
2004-08-24 13:30:00,57.47,57.5,57.12,57.22,1708200.0,57.298,2154
2004-08-24 16:00:00,57.21,57.47,57.07,57.18,2057900.0,57.237,2999
2004-08-25 13:30:00,57.23,57.4,57.19,57.28,1144600.0,57.29,1878
2004-08-25 16:00:00,57.28,57.69,55.49,57.65,2915100.0,57.469,3316
2004-08-26 13:30:00,57.66,57.84,57.57,57.67,1761400.0,57.709,2008
2004-08-26 16:00:00,57.67,57.76,57.46,57.52,2062900.0,57.555,3028
2004-08-27 13:30:00,57.6,57.82,57.58,57.7,1256200.0,57.696,1793
2004-08-27 16:00:00,57.7,57.85,57.64,57.71,2054000.0,57.745,2286
2004-08-30 13:30:00,57.62,57.85,57.59,57.75,1286800.0,57.747,1919
2004-08-30 16:00:00,57.75,57.81,57.49,57.52,1822600.0,57.688,2690
2004-08-31 13:30:00,57.51,57.84,57.51,57.76,1427300.0,57.746,1751
2004-08-31 16:00:00,57.76,58.1,57.73,58.1,3376600.0,57.943,3259
2004-09-01 13:30:00,58.0,58.06,57.8,57.86,2439700.0,57.913,2284
2004-09-01 16:00:00,57.87,57.93,57.41,57.75,3297200.0,57.783,3268
2004-09-02 13:30:00,57.68,57.89,57.64,57.69,1863600.0,57.755,1913
2004-09-02 16:00:00,57.67,57.91,57.51,57.72,3091100.0,57.687,3157
2004-09-03 13:30:00,57.8,58.13,57.78,58.02,1859600.0,57.978,2218
2004-09-03 16:00:00,58.01,58.07,57.81,57.92,1888200.0,57.944,2911
2004-09-07 13:30:00,58.05,58.3,57.84,57.89,2581100.0,58.109,2520
2004-09-07 16:00:00,57.89,58.02,57.7,57.82,2832900.0,57.841,3563
2004-09-08 13:30:00,58.25,58.3,58.0,58.1,2997500.0,58.185,2838
2004-09-08 16:00:00,58.1,58.38,58.05,58.27,3708100.0,58.233,3930
2004-09-09 13:30:00,58.27,58.32,57.69,57.84,1850600.0,57.907,2680
2004-09-09 16:00:00,57.85,57.99,57.51,57.53,3120500.0,57.689,3542
2004-09-10 13:30:00,57.41,57.44,57.07,57.32,1809800.0,57.25,2484
2004-09-10 16:00:00,57.32,57.64,57.22,57.55,2255300.0,57.412,3134
2004-09-13 13:30:00,57.8,57.8,57.35,57.64,1408100.0,57.58,2166
2004-09-13 16:00:00,57.63,58.03,57.61,58.0,2730800.0,57.896,3740
2004-09-14 13:30:00,58.03,58.5,58.03,58.48,1830700.0,58.303,2415
2004-09-14 16:00:00,58.48,58.68,58.29,58.39,3022200.0,58.504,3789
2004-09-15 13:30:00,58.25,58.51,58.1,58.38,1663800.0,58.295,2204
2004-09-15 16:00:00,58.38,58.43,58.11,58.15,2494700.0,58.319,2784
2004-09-16 13:30:00,58.14,58.38,58.1,58.3,1295200.0,58.276,2047
2004-09-16 16:00:00,58.31,58.38,58.1,58.14,1891500.0,58.242,2912
2004-09-17 13:30:00,58.36,58.8,58.33,58.68,3669300.0,58.535,2491
2004-09-17 16:00:00,58.67,58.75,58.48,58.56,2295000.0,58.616,3260
2004-09-20 13:30:00,57.75,58.16,57.75,57.79,2112500.0,57.955,2570
2004-09-20 16:00:00,57.8,57.95,57.76,57.91,2592400.0,57.843,3415
2004-09-21 13:30:00,57.9,57.9,57.4,57.53,2208400.0,57.633,2494
2004-09-21 16:00:00,57.53,57.95,57.47,57.9,2925400.0,57.678,3517
2004-09-22 13:30:00,57.58,57.65,57.21,57.25,1754200.0,57.379,2491
2004-09-22 16:00:00,57.26,57.43,57.19,57.25,2635100.0,57.289,3352
2004-09-23 13:30:00,57.0,57.22,56.63,56.64,3078900.0,56.82,2677
2004-09-23 16:00:00,56.64,56.78,56.52,56.56,2948000.0,56.611,3338
2004-09-24 13:30:00,56.45,56.97,56.25,56.66,2031000.0,56.564,2710
2004-09-24 16:00:00,56.66,56.86,56.51,56.59,1859600.0,56.667,3673
2004-09-27 13:30:00,56.35,56.95,56.35,56.76,1429200.0,56.759,2268
2004-09-27 16:00:00,56.76,56.96,56.52,56.57,2452600.0,56.769,3096
2004-09-28 13:30:00,56.68,56.69,56.27,56.41,1781700.0,56.414,2463
2004-09-28 16:00:00,56.39,57.43,56.35,57.1,2845200.0,57.014,3580
2004-09-29 13:30:00,56.93,57.04,56.67,56.91,1727200.0,56.865,2032
2004-09-29 16:00:00,56.94,57.02,56.54,57.02,1837500.0,56.884,2755
2004-09-30 13:30:00,57.22,57.49,56.6,56.83,2727500.0,56.9,3043
2004-09-30 16:00:00,56.83,56.9,56.09,56.31,3939200.0,56.376,3905
2004-10-01 13:30:00,56.39,56.58,56.12,56.51,2778200.0,56.382,3199
2004-10-01 16:00:00,56.52,57.0,56.51,56.99,2430600.0,56.752,3339
