date,open,high,low,close,volume,average,barCount
2004-08-23 13:30:00,38.75,38.88,38.65,38.84,3943000.0,38.771,2566
2004-08-23 16:00:00,38.84,38.84,38.47,38.53,3464700.0,38.659,3415
2004-08-24 13:30:00,38.75,38.85,38.3,38.5,2218900.0,38.629,2417
2004-08-24 16:00:00,38.48,38.69,38.34,38.59,2925200.0,38.557,3105
2004-08-25 13:30:00,38.6,39.02,38.6,38.99,3975200.0,38.818,2465
2004-08-25 16:00:00,38.99,39.63,38.99,39.41,7546400.0,39.419,5406
2004-08-26 13:30:00,39.32,39.65,39.1,39.48,4040600.0,39.409,2671
2004-08-26 16:00:00,39.47,39.59,39.43,39.46,4161900.0,39.515,3033
2004-08-27 13:30:00,39.55,39.75,39.5,39.71,2868100.0,39.633,2207
2004-08-27 16:00:00,39.7,39.8,39.59,39.72,3432900.0,39.73,2748
2004-08-30 13:30:00,39.67,39.69,39.2,39.34,2701000.0,39.371,2487
2004-08-30 16:00:00,39.35,39.36,38.29,39.16,2942800.0,39.237,2710
2004-08-31 13:30:00,39.11,39.35,39.03,39.05,1864000.0,39.2,1878
2004-08-31 16:00:00,39.04,39.58,38.91,39.58,3533500.0,39.215,3271
2004-09-01 13:30:00,39.52,39.65,39.21,39.35,2539100.0,39.425,2472
2004-09-01 16:00:00,39.37,39.4,38.99,39.26,4430500.0,39.27,3568
2004-09-02 13:30:00,39.45,39.54,39.31,39.37,2332000.0,39.445,2055
2004-09-02 16:00:00,39.37,39.99,39.27,39.89,4690800.0,39.727,3519
2004-09-03 13:30:00,39.75,40.0,39.7,39.86,3944700.0,39.848,2506
2004-09-03 16:00:00,39.85,39.92,39.77,39.85,2115700.0,39.842,2369
2004-09-07 13:30:00,39.85,40.1,39.85,39.95,4524100.0,39.996,2876
2004-09-07 16:00:00,39.96,40.06,39.71,39.82,5434800.0,39.885,4144
2004-09-08 13:30:00,39.62,39.89,39.56,39.61,4354100.0,39.735,2633
2004-09-08 16:00:00,39.61,39.65,39.35,39.39,6112400.0,39.516,4195
2004-09-09 13:30:00,39.51,39.71,39.35,39.42,2792100.0,39.536,2583
2004-09-09 16:00:00,39.42,39.82,39.38,39.68,4278000.0,39.635,3777
2004-09-10 13:30:00,39.62,39.83,39.47,39.76,3383000.0,39.707,2457
2004-09-10 16:00:00,39.76,39.92,39.65,39.81,2652200.0,39.776,2941
2004-09-13 13:30:00,39.69,39.88,39.57,39.59,2441200.0,39.675,2321
2004-09-13 16:00:00,39.59,39.63,39.4,39.45,4221600.0,39.491,3453
2004-09-14 13:30:00,39.3,39.57,39.29,39.38,2597200.0,39.444,2397
2004-09-14 16:00:00,39.38,39.67,39.35,39.49,4333000.0,39.483,3618
2004-09-15 13:30:00,39.37,39.45,39.11,39.22,2848500.0,39.274,2299
2004-09-15 16:00:00,39.21,39.36,39.08,39.12,3819800.0,39.237,2967
2004-09-16 13:30:00,39.31,39.84,39.31,39.75,5056300.0,39.659,3162
2004-09-16 16:00:00,39.74,39.74,39.15,39.59,5676100.0,39.476,4284
2004-09-17 13:30:00,39.68,39.8,39.51,39.74,4378700.0,39.68,2588
2004-09-17 16:00:00,39.74,39.8,39.64,39.67,3855800.0,39.731,2970
2004-09-20 13:30:00,39.66,39.66,39.33,39.43,2554600.0,39.488,2595
2004-09-20 16:00:00,39.43,39.5,39.3,39.41,5496000.0,39.402,3703
2004-09-21 13:30:00,39.5,40.0,39.5,39.83,3452400.0,39.677,2496
2004-09-21 16:00:00,39.83,40.25,39.79,40.09,6293100.0,40.027,4926
2004-09-22 13:30:00,39.5,39.69,39.35,39.59,5226000.0,39.559,3297
2004-09-22 16:00:00,39.6,39.94,39.57,39.75,6633600.0,39.782,4058
2004-09-23 13:30:00,39.75,39.76,39.41,39.55,4237800.0,39.581,2807
2004-09-23 16:00:00,39.51,39.67,39.41,39.47,4492900.0,39.539,3733
2004-09-24 13:30:00,39.47,39.69,39.42,39.66,2998100.0,39.548,2188
2004-09-24 16:00:00,39.66,39.93,39.64,39.7,4488300.0,39.76,2991
2004-09-27 13:30:00,39.62,39.63,39.15,39.23,3734800.0,39.359,2744
2004-09-27 16:00:00,39.23,39.39,39.06,39.15,4493700.0,39.227,3768
2004-09-28 13:30:00,39.14,39.29,38.95,39.23,3784000.0,39.098,2672
2004-09-28 16:00:00,39.24,39.47,39.11,39.4,3943100.0,39.305,3493
2004-09-29 13:30:00,39.38,39.4,39.06,39.13,2606500.0,39.206,2478
2004-09-29 16:00:00,39.14,39.66,39.04,39.66,4014500.0,39.362,3309
2004-09-30 13:30:00,39.65,39.75,39.43,39.47,2894700.0,39.584,2349
2004-09-30 16:00:00,39.47,39.79,39.42,39.72,3944700.0,39.619,3100
2004-10-01 13:30:00,39.9,40.23,39.86,40.2,5754000.0,40.038,3047
2004-10-01 16:00:00,40.19,40.4,40.12,40.35,4818400.0,40.27,3979
2004-10-04 13:30:00,40.33,40.45,40.11,40.21,4796000.0,40.3,2565
2004-10-04 16:00:00,40.2,40.29,39.75,39.76,6342400.0,40.012,3683
2004-10-05 13:30:00,39.7,39.81,39.06,39.34,7613200.0,39.288,2885
2004-10-05 16:00:00,39.33,39.49,39.2,39.47,4142600.0,39.331,4032
2004-10-06 13:30:00,39.31,39.46,39.24,39.24,3137000.0,39.302,2493
2004-10-06 16:00:00,39.24,39.53,39.16,39.52,3992300.0,39.288,3403
2004-10-07 13:30:00,39.52,39.68,39.41,39.53,2152100.0,39.526,2346
2004-10-07 16:00:00,39.54,39.89,39.5,39.54,4269400.0,39.666,3158
2004-10-08 13:30:00,39.54,39.77,39.5,39.57,2581400.0,39.61,2320
2004-10-08 16:00:00,39.56,39.62,39.26,39.49,3631600.0,39.439,2955
2004-10-11 13:30:00,39.5,39.69,39.42,39.52,1517300.0,39.539,1880
2004-10-11 16:00:00,39.52,39.59,39.41,39.42,1653400.0,39.5,2146
2004-10-12 13:30:00,39.05,39.38,39.01,39.11,3697600.0,39.105,2084
2004-10-12 16:00:00,39.1,39.64,39.01,39.5,4457400.0,39.343,3394
2004-10-13 13:30:00,39.6,39.69,39.43,39.5,2758600.0,39.56,2265
2004-10-13 16:00:00,39.49,39.51,38.95,39.24,4275700.0,39.161,4234
2004-10-14 13:30:00,39.24,39.24,38.25,38.25,4056800.0,38.658,2859
2004-10-14 16:00:00,38.25,38.55,38.2,38.53,7099100.0,38.444,4129
2004-10-15 13:30:00,38.53,38.94,38.35,38.76,3649300.0,38.74,2886
2004-10-15 16:00:00,38.77,39.1,38.71,38.73,3959500.0,38.902,3889
2004-10-18 13:30:00,38.55,38.8,38.53,38.68,2093700.0,38.67,2477
2004-10-18 16:00:00,38.68,39.11,38.67,39.02,3682800.0,38.96,3921
2004-10-19 13:30:00,38.75,39.38,37.79,38.2,7716000.0,38.452,4887
2004-10-19 16:00:00,38.28,38.5,37.99,38.0,7990700.0,38.194,4542
2004-10-20 13:30:00,36.7,37.29,36.32,37.04,13787700.0,36.827,7176
2004-10-20 16:00:00,37.04,37.45,36.94,37.27,7906500.0,37.248,5606
2004-10-21 13:30:00,37.08,37.85,37.08,37.68,4296000.0,37.615,3381
2004-10-21 16:00:00,37.69,37.8,37.05,37.68,6532400.0,37.51,5198
2004-10-22 13:30:00,37.8,37.88,37.6,37.74,3263800.0,37.716,2565
2004-10-22 16:00:00,37.74,37.76,37.4,37.45,5430300.0,37.556,3698
2004-10-25 13:30:00,37.47,37.53,36.9,37.06,4957600.0,37.14,3143
2004-10-25 16:00:00,37.05,37.19,36.97,37.04,6113400.0,37.079,4002
2004-10-26 13:30:00,37.02,37.35,36.95,37.14,4323100.0,37.093,3208
2004-10-26 16:00:00,37.15,37.6,37.09,37.49,5571600.0,37.305,4372
2004-10-27 13:30:00,37.35,37.78,37.03,37.7,4189300.0,37.361,3225
2004-10-27 16:00:00,37.7,38.18,37.61,38.02,7011100.0,37.955,5332
2004-10-28 13:30:00,37.85,38.06,37.67,38.04,3026000.0,37.882,2429
2004-10-28 16:00:00,38.02,38.55,37.95,38.42,5180600.0,38.333,4020
2004-10-29 13:30:00,38.42,38.55,38.03,38.15,3045300.0,38.265,2896
2004-10-29 16:00:00,38.15,38.62,38.02,38.55,5958300.0,38.346,3744
2004-11-01 14:30:00,38.77,38.77,38.53,38.72,1911200.0,38.619,1366
2004-11-01 16:00:00,38.72,38.94,38.5,38.55,5207300.0,38.765,4057
2004-11-01 20:00:00,38.55,38.58,38.43,38.54,1739100.0,38.505,1047
2004-11-02 14:30:00,38.5,39.1,38.5,38.92,2629500.0,38.846,1866
2004-11-02 16:00:00,38.93,39.17,38.48,38.78,3785400.0,38.977,3675
2004-11-02 20:00:00,38.79,38.79,38.41,38.5,2396400.0,38.565,1606
2004-11-03 14:30:00,39.35,39.43,39.07,39.3,3274000.0,39.269,2425
2004-11-03 16:00:00,39.29,39.41,38.82,38.92,5364400.0,39.144,4419
2004-11-03 20:00:00,38.9,38.99,38.63,38.84,1742000.0,38.809,1641
2004-11-04 14:30:00,38.75,38.95,38.5,38.77,2592200.0,38.711,1939
2004-11-04 16:00:00,38.76,39.43,38.7,39.37,5167500.0,39.155,4478
2004-11-04 20:00:00,39.37,39.66,39.36,39.65,3004900.0,39.503,1786
2004-11-05 14:30:00,39.64,39.91,39.55,39.72,3908600.0,39.715,2658
2004-11-05 16:00:00,39.74,39.74,39.0,39.25,6650100.0,39.255,5669
2004-11-05 20:00:00,39.25,39.35,39.17,39.33,1720100.0,39.269,1497
2004-11-08 14:30:00,39.32,39.45,39.12,39.21,2540100.0,39.254,2110
2004-11-08 16:00:00,39.21,39.36,39.11,39.31,3081300.0,39.253,3658
2004-11-08 20:00:00,39.32,39.35,39.24,39.28,1195800.0,39.303,1240
2004-11-09 14:30:00,39.33,39.49,39.17,39.21,1609500.0,39.347,1865
2004-11-09 16:00:00,39.21,39.27,39.11,39.17,3160300.0,39.197,3528
2004-11-09 20:00:00,39.16,39.21,39.06,39.14,1110200.0,39.138,1093
2004-11-10 14:30:00,39.18,39.19,38.88,39.06,2231200.0,39.049,1882
2004-11-10 16:00:00,39.05,39.16,38.85,39.05,3871600.0,39.004,4039
2004-11-10 20:00:00,39.04,39.09,38.87,38.95,1349400.0,38.97,1593
2004-11-11 14:30:00,39.2,39.21,38.87,39.05,2058200.0,39.047,1762
2004-11-11 16:00:00,39.05,39.42,39.01,39.23,3366500.0,39.181,3462
2004-11-11 20:00:00,39.23,39.25,39.11,39.19,2318600.0,39.179,1325
2004-11-12 14:30:00,38.93,39.15,38.9,39.07,2651800.0,39.017,2047
2004-11-12 16:00:00,39.06,39.16,39.01,39.09,4872700.0,39.089,3622
2004-11-12 20:00:00,39.09,39.29,39.09,39.17,2634800.0,39.161,1604
2004-11-15 14:30:00,39.0,39.16,38.95,39.09,2445500.0,39.046,1961
2004-11-15 16:00:00,39.09,39.12,39.0,39.07,3552800.0,39.05,3566
2004-11-15 20:00:00,39.07,39.15,39.06,39.15,1597100.0,39.104,1187
2004-11-16 14:30:00,38.5,38.72,38.4,38.66,4836300.0,38.522,2161
2004-11-16 16:00:00,38.67,38.76,35.65,38.53,5498400.0,38.566,3284
2004-11-16 20:00:00,38.53,38.59,38.46,38.48,2642300.0,38.531,1089
2004-11-17 14:30:00,38.5,38.83,38.5,38.61,3696500.0,38.607,2324
2004-11-17 16:00:00,38.62,38.68,38.16,38.25,5536000.0,38.479,4116
2004-11-17 20:00:00,38.25,38.28,38.12,38.26,2682400.0,38.209,1633
2004-11-18 14:30:00,38.2,38.34,38.13,38.18,2989300.0,38.213,2038
2004-11-18 16:00:00,38.18,38.21,37.79,37.9,7981400.0,37.968,5251
2004-11-18 20:00:00,37.9,37.98,37.82,37.82,3236700.0,37.887,1881
2004-11-19 14:30:00,37.9,37.98,37.5,37.56,4171800.0,37.739,2738
2004-11-19 16:00:00,37.55,37.6,37.33,37.35,5600700.0,37.453,3965
2004-11-19 20:00:00,37.34,37.45,37.27,37.41,2676100.0,37.37,1476
2004-11-22 14:30:00,37.42,37.42,37.15,37.29,4758500.0,37.264,2412
2004-11-22 16:00:00,37.29,37.85,37.25,37.63,5341500.0,37.496,4266
2004-11-22 20:00:00,37.63,37.7,37.5,37.58,1956400.0,37.599,1463
2004-11-23 14:30:00,37.65,37.7,37.51,37.51,2261400.0,37.615,1755
2004-11-23 16:00:00,37.5,37.6,37.28,37.5,5116500.0,37.427,4120
2004-11-23 20:00:00,37.5,37.61,37.35,37.6,2795100.0,37.512,1589
2004-11-24 14:30:00,37.78,37.8,37.57,37.58,2359400.0,37.66,2017
2004-11-24 16:00:00,37.58,37.69,37.55,37.69,2867300.0,37.613,3384
2004-11-24 20:00:00,37.68,37.75,37.64,37.7,1298000.0,37.688,1211
2004-11-26 14:30:00,37.7,37.79,37.6,37.64,1449400.0,37.689,1344
2004-11-26 16:00:00,37.64,37.77,37.63,37.69,1670100.0,37.708,1542
2004-11-26 20:00:00,37.69,37.69,37.69,37.69,0.0,37.69,0
2004-11-29 14:30:00,37.69,37.86,37.43,37.51,3084400.0,37.594,2005
2004-11-29 16:00:00,37.51,37.62,37.11,37.58,5206100.0,37.349,4355
2004-11-29 20:00:00,37.59,37.64,37.3,37.35,1984500.0,37.466,1629
2004-11-30 14:30:00,37.18,37.29,37.06,37.09,4026800.0,37.176,2411
2004-11-30 16:00:00,37.09,37.45,37.06,37.31,4601700.0,37.277,4012
2004-11-30 20:00:00,37.31,37.7,37.31,37.65,2196200.0,37.51,1394
2004-12-01 14:30:00,37.8,38.1,37.77,38.0,3663300.0,37.918,2488
2004-12-01 16:00:00,38.01,38.21,37.95,38.18,4668100.0,38.11,4643
2004-12-01 20:00:00,38.16,38.27,38.16,38.25,2428900.0,38.22,1505
2004-12-02 14:30:00,38.25,38.49,38.2,38.44,2371600.0,38.285,1711
2004-12-02 16:00:00,38.42,38.62,38.37,38.49,4066700.0,38.496,3749
2004-12-02 20:00:00,38.5,38.53,38.36,38.44,1528800.0,38.461,1218
2004-12-03 14:30:00,38.38,38.52,38.2,38.31,2757100.0,38.349,2289
2004-12-03 16:00:00,38.3,38.42,37.99,38.15,4939400.0,38.191,4816
2004-12-03 20:00:00,38.15,38.2,38.06,38.06,2168000.0,38.113,1419
2004-12-06 14:30:00,37.95,38.17,37.77,37.99,2496600.0,37.97,2055
2004-12-06 16:00:00,38.0,38.42,37.91,38.36,4807900.0,38.157,3788
2004-12-06 20:00:00,38.36,38.37,37.96,38.15,1972400.0,38.182,1285
2004-12-07 14:30:00,38.2,38.29,38.09,38.12,2137800.0,38.197,1404
2004-12-07 16:00:00,38.12,38.3,37.83,37.9,3740500.0,38.047,3474
2004-12-07 20:00:00,37.9,37.97,37.8,37.81,1797800.0,37.895,1065
2004-12-08 14:30:00,37.81,37.83,37.55,37.58,3513700.0,37.716,1704
2004-12-08 16:00:00,37.58,37.78,37.56,37.58,4515900.0,37.671,3522
2004-12-08 20:00:00,37.59,37.63,37.53,37.53,2564700.0,37.568,966
2004-12-09 14:30:00,37.25,37.53,37.25,37.52,3150500.0,37.435,2159
2004-12-09 16:00:00,37.52,37.89,37.44,37.77,4291500.0,37.602,3964
2004-12-09 20:00:00,37.75,37.89,37.67,37.68,2097800.0,37.768,1477
2004-12-10 14:30:00,38.18,38.52,37.49,37.54,2330600.0,37.667,1957
2004-12-10 16:00:00,37.54,37.82,37.52,37.66,3988000.0,37.629,3935
2004-12-10 20:00:00,37.66,37.74,37.6,37.61,1521900.0,37.673,1102
2004-12-13 14:30:00,38.0,38.3,37.92,38.04,4732300.0,38.066,2480
2004-12-13 16:00:00,38.05,38.36,37.97,38.34,5982500.0,38.149,3827
2004-12-13 20:00:00,38.34,38.4,38.26,38.33,2649600.0,38.323,1399
2004-12-14 14:30:00,38.32,38.57,38.3,38.57,2418200.0,38.426,1904
2004-12-14 16:00:00,38.57,38.72,38.41,38.68,5850600.0,38.522,4511
2004-12-14 20:00:00,38.68,38.8,38.65,38.75,2626600.0,38.739,1868
2004-12-15 14:30:00,38.8,39.25,38.76,39.15,4173300.0,39.067,2620
2004-12-15 16:00:00,39.14,39.15,38.91,39.07,5431500.0,39.013,4321
2004-12-15 20:00:00,39.07,39.13,39.01,39.04,2321300.0,39.073,1573
2004-12-16 14:30:00,38.8,39.0,38.74,38.99,2661200.0,38.871,1937
2004-12-16 16:00:00,38.99,39.0,38.75,38.75,4976600.0,38.875,4138
2004-12-16 20:00:00,38.75,38.98,38.63,38.93,2526800.0,38.828,1708
2004-12-17 14:30:00,38.2,38.82,38.19,38.69,7039400.0,38.377,2148
2004-12-17 16:00:00,38.69,38.7,38.45,38.59,4011600.0,38.553,3682
2004-12-17 20:00:00,38.59,38.67,38.51,38.52,1755400.0,38.582,1473
2004-12-20 14:30:00,38.6,38.88,38.52,38.81,3095600.0,38.675,2348
2004-12-20 16:00:00,38.81,38.82,38.56,38.62,3663300.0,38.658,3682
2004-12-20 20:00:00,38.62,38.68,38.59,38.61,1311300.0,38.635,1119
2004-12-21 14:30:00,38.65,38.89,38.64,38.84,2024200.0,38.743,1874
2004-12-21 16:00:00,38.83,39.25,38.82,39.07,4729300.0,39.043,4261
2004-12-21 20:00:00,39.09,39.12,39.0,39.07,1612500.0,39.061,1468
2004-12-22 14:30:00,38.95,39.23,38.8,39.18,3037800.0,38.981,2199
2004-12-22 16:00:00,39.17,39.23,38.98,39.02,3635200.0,39.08,3706
2004-12-22 20:00:00,39.01,39.16,38.99,39.09,2103100.0,39.048,1357
2004-12-23 14:30:00,39.12,39.48,39.1,39.36,3157300.0,39.301,2058
2004-12-23 16:00:00,39.36,39.4,39.19,39.25,3964300.0,39.278,3118
