date,open,high,low,close,volume,average,barCount
2004-08-23 13:30:00,64.5,64.76,64.23,64.66,752600.0,64.478,1224
2004-08-23 16:00:00,64.66,64.84,64.22,64.37,1146300.0,64.497,1947
2004-08-24 13:30:00,64.65,64.75,64.31,64.37,862300.0,64.509,1320
2004-08-24 16:00:00,64.39,64.92,64.35,64.66,1162500.0,64.689,1728
2004-08-25 13:30:00,64.83,64.83,64.32,64.32,826800.0,64.545,1190
2004-08-25 16:00:00,64.33,64.96,64.33,64.5,1234900.0,64.601,2073
2004-08-26 13:30:00,64.19,64.49,63.49,63.52,1291600.0,64.056,1556
2004-08-26 16:00:00,63.52,63.71,63.28,63.6,1915000.0,63.511,2407
2004-08-27 13:30:00,63.85,64.52,63.7,64.34,783500.0,64.209,1363
2004-08-27 16:00:00,64.35,64.56,64.22,64.35,745200.0,64.394,1496
2004-08-30 13:30:00,64.0,64.03,63.26,63.31,785000.0,63.583,1335
2004-08-30 16:00:00,63.32,63.4,62.99,63.2,1213100.0,63.208,1774
2004-08-31 13:30:00,63.35,63.77,62.94,63.08,515400.0,63.261,971
2004-08-31 16:00:00,63.08,63.49,62.8,63.4,1149200.0,63.092,1774
2004-09-01 13:30:00,63.5,63.72,63.22,63.59,1042100.0,63.527,1323
2004-09-01 16:00:00,63.59,64.18,62.99,64.09,1890700.0,63.64,2309
2004-09-02 13:30:00,64.11,64.47,64.0,64.4,640700.0,64.283,1121
2004-09-02 16:00:00,64.38,65.0,64.17,64.82,1293000.0,64.621,2135
2004-09-03 13:30:00,64.89,65.24,64.79,65.18,1075000.0,64.998,1599
2004-09-03 16:00:00,65.19,65.25,64.77,65.01,819300.0,65.009,1647
2004-09-07 13:30:00,65.3,66.5,65.3,65.98,945300.0,65.844,1843
2004-09-07 16:00:00,65.98,66.5,65.78,65.99,1948100.0,66.162,2749
2004-09-08 13:30:00,65.78,66.46,65.17,65.19,995000.0,65.555,1388
2004-09-08 16:00:00,65.19,65.37,64.9,65.12,1050300.0,65.152,1918
2004-09-09 13:30:00,65.32,65.95,65.15,65.62,1123300.0,65.537,1549
2004-09-09 16:00:00,65.61,65.83,65.43,65.73,1501200.0,65.599,2162
2004-09-10 13:30:00,65.73,65.73,65.01,65.15,780700.0,65.266,1458
2004-09-10 16:00:00,65.15,65.96,65.15,65.88,1072900.0,65.557,1754
2004-09-13 13:30:00,65.98,65.98,65.52,65.82,1091100.0,65.808,1310
2004-09-13 16:00:00,65.83,66.0,65.45,65.45,1640600.0,65.719,1941
2004-09-14 13:30:00,65.46,66.0,65.46,65.89,1048200.0,65.674,1238
2004-09-14 16:00:00,65.88,66.69,65.84,66.47,2400000.0,66.29,2337
2004-09-15 13:30:00,66.65,67.3,66.59,67.15,1468900.0,67.01,1469
2004-09-15 16:00:00,67.16,67.29,66.93,67.02,1735500.0,67.111,2193
2004-09-16 13:30:00,67.02,67.19,66.86,66.98,773200.0,66.999,1321
2004-09-16 16:00:00,66.98,67.04,66.67,66.78,1501500.0,66.899,1915
2004-09-17 13:30:00,66.98,66.98,66.33,66.42,1592700.0,66.688,1353
2004-09-17 16:00:00,66.42,66.6,66.26,66.41,1168100.0,66.415,1741
2004-09-20 13:30:00,66.29,66.44,65.3,65.48,1041100.0,65.859,1525
2004-09-20 16:00:00,65.49,65.6,65.08,65.53,1712600.0,65.363,2341
2004-09-21 13:30:00,65.5,65.5,64.85,64.95,1883600.0,65.044,1567
2004-09-21 16:00:00,64.94,65.51,64.94,65.15,1611500.0,65.165,1956
2004-09-22 13:30:00,64.65,64.97,64.07,64.13,1213300.0,64.363,1623
2004-09-22 16:00:00,64.1,64.49,63.65,63.91,1702700.0,63.992,2428
2004-09-23 13:30:00,64.25,64.7,63.94,64.21,856600.0,64.213,1300
2004-09-23 16:00:00,64.2,64.2,63.48,63.53,932500.0,63.749,1811
2004-09-24 13:30:00,63.5,64.08,63.24,63.95,838200.0,63.62,1302
2004-09-24 16:00:00,63.95,64.07,63.57,63.74,905000.0,63.846,1884
2004-09-27 13:30:00,63.67,63.85,62.9,63.17,885000.0,63.218,1265
2004-09-27 16:00:00,63.18,63.39,62.75,62.9,963300.0,63.015,1797
2004-09-28 13:30:00,63.0,63.05,61.81,62.0,1682800.0,62.211,1828
2004-09-28 16:00:00,62.0,62.33,61.87,62.0,2330600.0,62.072,2269
2004-09-29 13:30:00,62.0,62.2,61.53,61.9,1010100.0,61.949,1593
2004-09-29 16:00:00,61.89,61.95,61.2,61.8,1850900.0,61.63,2387
2004-09-30 13:30:00,61.3,61.7,59.8,60.11,3415000.0,60.41,2914
2004-09-30 16:00:00,60.11,60.23,59.72,60.04,2906100.0,59.937,3284
2004-10-01 13:30:00,60.25,61.47,60.23,61.45,1681900.0,61.111,1866
2004-10-01 16:00:00,61.47,61.83,61.28,61.66,1720800.0,61.596,2865
2004-10-04 13:30:00,61.4,62.38,61.4,62.01,1529000.0,62.031,1465
2004-10-04 16:00:00,62.01,62.09,61.5,61.56,1517700.0,61.813,2294
2004-10-05 13:30:00,61.71,62.14,61.5,62.13,886300.0,61.895,1425
2004-10-05 16:00:00,62.13,62.32,61.93,62.07,1242800.0,62.087,2223
2004-10-06 13:30:00,62.02,62.03,60.61,60.67,1804400.0,61.173,2316
2004-10-06 16:00:00,60.66,61.58,60.46,61.4,1929000.0,61.005,2852
2004-10-07 13:30:00,61.55,61.86,59.66,59.77,2367000.0,60.159,2329
2004-10-07 16:00:00,59.79,60.43,59.39,59.61,2967000.0,59.789,2969
2004-10-08 13:30:00,59.5,60.39,59.31,59.7,1783100.0,59.914,2064
2004-10-08 16:00:00,59.7,59.81,59.01,59.08,1990200.0,59.407,2674
2004-10-11 13:30:00,59.16,59.5,58.8,58.85,1291400.0,59.162,1735
