date,open,high,low,close,volume,average,barCount
2004-08-23 13:30:00,10.34,10.39,10.22,10.35,12599600.0,10.318,17381
2004-08-23 16:00:00,10.35,10.36,10.27,10.31,13828800.0,10.314,18315
2004-08-24 13:30:00,10.32,10.36,10.17,10.19,12143800.0,10.271,14800
2004-08-24 16:00:00,10.19,10.36,10.15,10.33,25412200.0,10.285,24412
2004-08-25 13:30:00,10.35,10.44,10.26,10.3,12251600.0,10.343,14330
2004-08-25 16:00:00,10.3,10.44,10.29,10.4,15322500.0,10.376,18967
2004-08-26 13:30:00,10.36,10.42,10.29,10.29,7107700.0,10.362,9905
2004-08-26 16:00:00,10.29,10.32,10.21,10.24,18058500.0,10.263,20492
2004-08-27 13:30:00,10.24,10.31,10.23,10.28,6828100.0,10.274,9356
2004-08-27 16:00:00,10.27,10.34,10.25,10.29,12293600.0,10.299,14618
2004-08-30 13:30:00,10.21,10.24,10.11,10.13,14298300.0,10.172,15103
2004-08-30 16:00:00,10.13,10.15,10.08,10.1,18071800.0,10.119,17650
2004-08-31 13:30:00,10.1,10.14,9.91,9.95,13462200.0,10.005,14336
2004-08-31 16:00:00,9.95,10.0,9.82,9.98,20254800.0,9.926,23890
2004-09-01 13:30:00,9.96,10.11,9.94,10.07,11705100.0,10.05,15733
2004-09-01 16:00:00,10.07,10.08,9.96,10.05,15828700.0,10.024,20023
2004-09-02 13:30:00,10.08,10.11,9.97,10.11,10895900.0,10.043,13883
2004-09-02 16:00:00,10.11,10.35,10.07,10.29,28074700.0,10.228,32460
2004-09-03 13:30:00,10.18,10.29,10.0,10.06,14796200.0,10.109,20586
2004-09-03 16:00:00,10.06,10.09,9.97,10.05,17496200.0,10.03,21184
2004-09-07 13:30:00,10.17,10.22,10.04,10.05,12803800.0,10.128,19170
2004-09-07 16:00:00,10.04,10.17,9.98,10.07,16756800.0,10.078,22628
2004-09-08 13:30:00,9.94,10.03,9.49,9.97,21581500.0,9.972,25774
2004-09-08 16:00:00,9.97,10.02,9.86,9.91,22572100.0,9.935,26665
2004-09-09 13:30:00,9.99,10.02,9.91,9.94,19422400.0,9.977,23192
2004-09-09 16:00:00,9.94,10.02,9.9,9.94,22990700.0,9.956,24354
2004-09-10 13:30:00,10.13,10.46,10.04,10.43,39699400.0,10.291,41909
2004-09-10 16:00:00,10.43,10.5,10.38,10.48,23862500.0,10.45,26224
2004-09-13 13:30:00,10.56,10.67,10.51,10.59,21029900.0,10.572,27335
2004-09-13 16:00:00,10.58,10.7,10.55,10.58,27865400.0,10.626,30597
