date,open,high,low,close,volume,average,barCount
2004-08-23 13:30:00,54.76,55.05,54.76,54.87,1070000.0,54.911,1956
2004-08-23 16:00:00,54.87,55.05,54.71,54.77,1432800.0,54.862,2641
2004-08-24 13:30:00,54.7,55.02,54.66,54.96,1344700.0,54.906,1975
2004-08-24 16:00:00,54.96,55.0,54.83,54.96,1958400.0,54.933,2574
2004-08-25 13:30:00,54.95,55.0,54.77,54.97,1033700.0,54.913,1907
2004-08-25 16:00:00,54.97,55.43,54.97,55.27,2319200.0,55.216,3328
2004-08-26 13:30:00,55.5,55.75,55.33,55.72,1162100.0,55.62,2051
2004-08-26 16:00:00,55.72,55.8,55.54,55.71,1884200.0,55.681,2606
2004-08-27 13:30:00,55.6,55.76,55.5,55.66,1283300.0,55.616,1677
2004-08-27 16:00:00,55.66,56.0,55.64,55.99,1969800.0,55.906,2623
2004-08-30 13:30:00,55.7,56.09,55.7,55.99,1086000.0,55.955,1880
2004-08-30 16:00:00,55.99,56.05,55.5,55.53,1451100.0,55.76,2797
2004-08-31 13:30:00,55.5,55.82,55.4,55.46,790500.0,55.593,1519
2004-08-31 16:00:00,55.46,55.97,55.22,55.96,1867700.0,55.626,3136
2004-09-01 13:30:00,55.97,56.08,55.71,55.73,1282400.0,55.936,2031
2004-09-01 16:00:00,55.73,56.21,55.49,56.18,2391200.0,55.936,3451
2004-09-02 13:30:00,56.17,56.22,55.89,56.0,759000.0,56.077,1500
2004-09-02 16:00:00,56.0,56.54,55.9,56.52,1736300.0,56.273,2790
2004-09-03 13:30:00,56.6,56.9,56.49,56.68,1613000.0,56.692,2268
2004-09-03 16:00:00,56.69,56.86,56.51,56.59,1602500.0,56.738,2576
2004-09-07 13:30:00,56.35,56.9,56.35,56.77,1597600.0,56.694,2290
2004-09-07 16:00:00,56.76,56.88,55.74,56.69,1845700.0,56.591,3233
2004-09-08 13:30:00,56.55,56.66,56.2,56.51,2005400.0,56.476,2540
2004-09-08 16:00:00,56.51,56.9,56.48,56.74,2074400.0,56.68,3549
2004-09-09 13:30:00,56.61,56.67,55.93,56.07,1939900.0,56.336,3137
2004-09-09 16:00:00,56.07,56.36,55.93,55.97,3121500.0,56.179,4794
2004-09-10 13:30:00,56.05,56.05,55.62,55.93,1550900.0,55.913,2160
2004-09-10 16:00:00,55.93,56.22,55.76,56.2,1921200.0,55.977,2709
2004-09-13 13:30:00,56.19,56.24,55.7,55.99,1197400.0,55.98,1923
2004-09-13 16:00:00,55.99,56.34,55.99,56.26,2410700.0,56.214,3164
2004-09-14 13:30:00,56.48,56.59,56.21,56.55,1581200.0,56.413,2075
2004-09-14 16:00:00,56.54,56.86,56.52,56.65,2203000.0,56.716,2859
2004-09-15 13:30:00,56.55,56.73,56.46,56.53,1546300.0,56.593,1846
2004-09-15 16:00:00,56.52,56.55,56.3,56.31,1794300.0,56.426,2383
2004-09-16 13:30:00,55.85,56.04,55.68,55.88,1988100.0,55.868,2208
2004-09-16 16:00:00,55.89,56.0,55.72,55.93,1578000.0,55.869,2437
2004-09-17 13:30:00,56.19,56.7,55.86,56.64,3112100.0,56.287,2123
2004-09-17 16:00:00,56.65,56.95,56.2,56.33,2484800.0,56.558,3092
2004-09-20 13:30:00,55.61,55.72,54.42,54.5,5392900.0,54.914,4907
2004-09-20 16:00:00,54.5,54.51,54.24,54.42,5208800.0,54.356,5187
2004-09-21 13:30:00,54.35,54.69,53.58,54.67,3439900.0,54.217,3448
2004-09-21 16:00:00,54.67,54.91,54.28,54.89,4078000.0,54.582,4416
2004-09-22 13:30:00,54.3,54.75,54.07,54.1,2503500.0,54.272,2717
2004-09-22 16:00:00,54.1,54.32,54.1,54.27,2869400.0,54.208,3536
2004-09-23 13:30:00,54.29,54.52,54.15,54.23,1864500.0,54.294,2303
2004-09-23 16:00:00,54.22,54.44,54.17,54.2,2278800.0,54.283,3227
2004-09-24 13:30:00,53.96,54.4,53.83,54.1,2216900.0,54.07,2666
2004-09-24 16:00:00,54.1,54.35,53.92,54.05,2637000.0,54.082,3465
2004-09-27 13:30:00,53.92,54.15,53.83,53.95,1655300.0,53.957,2252
2004-09-27 16:00:00,53.96,53.99,53.6,53.61,2573700.0,53.792,3490
2004-09-28 13:30:00,53.75,53.77,53.4,53.59,1840100.0,53.59,2756
2004-09-28 16:00:00,53.59,53.82,53.27,53.77,2561700.0,53.607,3334
2004-09-29 13:30:00,53.55,53.79,53.37,53.42,1649300.0,53.576,1879
2004-09-29 16:00:00,53.42,54.48,53.39,54.45,3194900.0,53.989,3209
2004-09-30 13:30:00,54.08,54.72,54.04,54.07,2278900.0,54.296,3329
2004-09-30 16:00:00,54.06,54.2,53.88,54.12,3005100.0,54.069,3287
2004-10-01 13:30:00,54.35,54.57,54.15,54.52,1675000.0,54.399,2031
2004-10-01 16:00:00,54.53,54.66,54.36,54.65,2384500.0,54.506,2708
2004-10-04 13:30:00,54.74,54.9,54.68,54.81,1968200.0,54.808,2197
2004-10-04 16:00:00,54.81,54.83,54.3,54.33,2779000.0,54.55,3049
2004-10-05 13:30:00,54.2,54.36,54.15,54.26,1514400.0,54.234,1984
2004-10-05 16:00:00,54.26,54.33,54.02,54.27,2157800.0,54.173,2529
2004-10-06 13:30:00,54.26,54.35,54.0,54.3,1434300.0,54.164,1786
2004-10-06 16:00:00,54.3,54.37,54.12,54.3,2859600.0,54.264,2631
2004-10-07 13:30:00,54.35,54.4,54.15,54.21,1430600.0,54.269,1644
2004-10-07 16:00:00,54.21,54.21,53.6,53.63,2140500.0,53.905,3101
2004-10-08 13:30:00,53.42,54.02,53.4,53.62,2154200.0,53.68,2448
