date,open,high,low,close,volume,average,barCount
2004-08-23 13:30:00,65.37,65.85,65.15,65.29,701500.0,65.429,1459
2004-08-23 16:00:00,65.28,65.34,64.68,64.94,890600.0,65.082,1906
2004-08-24 13:30:00,65.0,65.67,63.79,65.31,578500.0,65.29,1100
2004-08-24 16:00:00,65.29,65.3,64.75,64.96,938200.0,65.05,1585
2004-08-25 13:30:00,64.98,65.15,64.58,64.74,486900.0,64.799,930
2004-08-25 16:00:00,64.74,65.26,64.71,65.16,908700.0,64.985,1648
2004-08-26 13:30:00,65.17,65.49,64.9,65.13,433700.0,65.251,906
2004-08-26 16:00:00,65.13,65.54,65.12,65.29,756900.0,65.349,1488
2004-08-27 13:30:00,65.3,65.69,65.25,65.56,441800.0,65.452,970
2004-08-27 16:00:00,65.56,65.86,65.38,65.68,550800.0,65.657,1119
2004-08-30 13:30:00,65.4,65.85,65.16,65.39,531500.0,65.424,899
2004-08-30 16:00:00,65.36,65.5,65.1,65.17,663900.0,65.319,1373
2004-08-31 13:30:00,65.45,65.8,65.25,65.51,490500.0,65.565,951
2004-08-31 16:00:00,65.5,66.16,65.5,66.14,1160900.0,65.849,1869
2004-09-01 13:30:00,65.98,66.48,65.93,66.41,765000.0,66.294,1137
2004-09-01 16:00:00,66.38,66.87,66.38,66.6,1174700.0,66.634,1906
2004-09-02 13:30:00,66.42,66.94,65.85,66.84,503700.0,66.589,992
2004-09-02 16:00:00,66.83,67.5,66.79,67.36,1232900.0,67.13,1590
2004-09-03 13:30:00,67.0,67.67,66.94,67.34,790200.0,67.256,1162
2004-09-03 16:00:00,67.35,67.35,67.06,67.06,728700.0,67.179,1104
2004-09-07 13:30:00,67.04,67.9,67.04,67.83,1916400.0,67.568,1312
2004-09-07 16:00:00,67.84,68.24,67.75,68.15,1320100.0,67.985,2014
2004-09-08 13:30:00,68.42,69.05,68.34,68.94,1237000.0,68.696,1966
2004-09-08 16:00:00,68.93,69.04,68.46,68.59,1688800.0,68.794,2409
2004-09-09 13:30:00,68.6,68.89,68.43,68.76,982800.0,68.71,1649
2004-09-09 16:00:00,68.77,68.85,68.52,68.55,1148600.0,68.708,1953
2004-09-10 13:30:00,68.39,68.89,68.09,68.62,648800.0,68.488,1221
2004-09-10 16:00:00,68.6,68.99,68.45,68.87,756000.0,68.675,1515
2004-09-13 13:30:00,69.0,69.65,68.83,69.36,776200.0,69.291,1542
2004-09-13 16:00:00,69.37,69.53,68.99,69.02,1226700.0,69.204,2152
2004-09-14 13:30:00,69.39,69.72,68.71,69.55,731000.0,69.379,1227
2004-09-14 16:00:00,69.56,69.94,69.54,69.82,1386400.0,69.768,2372
2004-09-15 13:30:00,69.45,70.03,69.34,70.03,1607000.0,69.786,1495
2004-09-15 16:00:00,70.05,70.54,69.9,70.27,1839800.0,70.219,2287
2004-09-16 13:30:00,70.28,70.3,69.9,69.92,781900.0,70.141,1172
2004-09-16 16:00:00,69.91,69.98,69.61,69.77,1125900.0,69.779,1665
2004-09-17 13:30:00,69.08,69.56,68.8,69.54,1400100.0,69.141,1442
2004-09-17 16:00:00,69.53,69.96,69.29,69.87,978400.0,69.701,1856
2004-09-20 13:30:00,67.17,70.0,67.17,69.64,710900.0,69.626,1125
2004-09-20 16:00:00,69.63,69.9,69.41,69.73,663800.0,69.7,1532
2004-09-21 13:30:00,70.15,70.2,69.71,70.02,826700.0,69.961,1221
2004-09-21 16:00:00,70.01,71.02,69.96,70.5,1456400.0,70.446,1880
2004-09-22 13:30:00,70.52,70.74,69.85,70.39,1057400.0,70.287,1722
2004-09-22 16:00:00,70.42,70.7,70.21,70.3,1165200.0,70.464,2070
2004-09-23 13:30:00,70.68,70.68,69.63,69.75,819100.0,70.003,1315
2004-09-23 16:00:00,69.75,70.32,69.5,70.1,1157300.0,70.004,1526
2004-09-24 13:30:00,69.99,71.7,69.93,71.47,880600.0,70.998,1285
2004-09-24 16:00:00,71.46,71.78,71.1,71.39,1260200.0,71.457,1934
2004-09-27 13:30:00,71.33,71.88,70.88,71.86,817300.0,71.403,1087
2004-09-27 16:00:00,71.86,72.65,71.86,72.59,2279100.0,72.292,2231
2004-09-28 13:30:00,72.59,73.04,72.36,72.9,1257000.0,72.778,1834
2004-09-28 16:00:00,72.9,74.75,72.59,73.7,2703400.0,73.814,3402
2004-09-29 13:30:00,73.67,73.67,72.88,72.88,1221800.0,73.132,1907
2004-09-29 16:00:00,72.89,73.06,71.95,72.18,2629800.0,72.319,2825
2004-09-30 13:30:00,72.84,73.28,72.55,73.11,1208500.0,72.972,1478
2004-09-30 16:00:00,73.1,74.2,72.96,73.66,2196600.0,73.565,2974
2004-10-01 13:30:00,74.1,74.75,73.66,73.66,1262000.0,74.364,1570
2004-10-01 16:00:00,73.65,73.96,73.21,73.76,2022200.0,73.633,2733
2004-10-04 13:30:00,73.76,74.46,73.35,73.8,1285400.0,73.828,1726
2004-10-04 16:00:00,73.82,73.89,73.22,73.28,1267700.0,73.463,2214
2004-10-05 13:30:00,73.23,74.55,73.16,74.01,1143100.0,73.995,1580
2004-10-05 16:00:00,74.0,74.07,73.08,73.83,1328300.0,73.642,2104
2004-10-06 13:30:00,73.82,74.67,73.81,74.43,859300.0,74.376,1199
2004-10-06 16:00:00,74.42,74.57,74.0,74.56,842300.0,74.289,1826
2004-10-07 13:30:00,74.6,75.0,74.28,74.56,1128800.0,74.644,1482
2004-10-07 16:00:00,74.55,75.19,74.54,74.9,1975600.0,74.916,2668
2004-10-08 13:30:00,74.9,74.99,73.62,73.93,1423700.0,74.155,1679
2004-10-08 16:00:00,73.93,74.0,72.63,73.41,2654900.0,73.33,3156
2004-10-11 13:30:00,73.55,74.0,73.05,73.39,897100.0,73.362,1177
2004-10-11 16:00:00,73.37,73.63,73.23,73.26,615200.0,73.385,1371
2004-10-12 13:30:00,73.26,73.26,72.73,72.86,787600.0,72.939,1099
2004-10-12 16:00:00,72.86,72.86,72.21,72.51,2269300.0,72.433,2475
2004-10-13 13:30:00,72.92,72.93,71.6,72.28,1552600.0,72.169,1575
2004-10-13 16:00:00,72.27,72.43,71.93,72.0,1924000.0,72.173,2417
2004-10-14 13:30:00,74.2,74.88,73.4,74.34,3605600.0,74.046,2611
2004-10-14 16:00:00,74.3,74.4,71.1,72.66,2527000.0,73.676,2939
2004-10-15 13:30:00,72.65,72.89,70.89,72.56,3170300.0,72.017,2795
2004-10-15 16:00:00,72.56,73.73,72.4,73.36,2402300.0,73.045,3292
2004-10-18 13:30:00,73.05,73.67,72.83,73.51,1190300.0,73.256,1828
2004-10-18 16:00:00,73.51,73.54,73.03,73.35,1910400.0,73.295,2914
2004-10-19 13:30:00,72.59,73.35,64.61,66.61,11811500.0,66.682,6076
2004-10-19 16:00:00,66.6,68.45,66.14,66.51,9411700.0,67.364,6338
2004-10-20 13:30:00,66.55,68.8,65.81,68.26,4500200.0,67.006,3847
2004-10-20 16:00:00,68.26,71.43,68.22,69.85,6012600.0,69.845,5751
2004-10-21 13:30:00,69.61,70.25,67.75,67.85,2891700.0,68.957,2739
2004-10-21 16:00:00,67.83,68.69,67.02,67.9,4189000.0,67.864,3559
2004-10-22 13:30:00,68.21,69.58,68.21,69.25,1974800.0,68.943,2055
2004-10-22 16:00:00,69.25,70.25,69.1,69.8,2976400.0,69.727,3172
2004-10-25 13:30:00,69.35,69.8,68.47,69.45,1391700.0,69.065,1638
2004-10-25 16:00:00,69.41,70.0,69.17,69.2,1904200.0,69.578,2495
2004-10-26 13:30:00,70.17,71.23,70.17,70.67,2493900.0,70.724,2098
2004-10-26 16:00:00,70.69,71.18,70.68,71.03,2725300.0,70.926,3572
2004-10-27 13:30:00,71.48,71.9,71.0,71.87,1670700.0,71.488,1838
2004-10-27 16:00:00,71.89,73.22,71.77,72.88,2174400.0,72.674,2831
2004-10-28 13:30:00,72.95,73.17,71.48,72.3,2110800.0,72.408,1917
2004-10-28 16:00:00,72.26,72.81,71.8,72.56,1950700.0,72.486,1933
2004-10-29 13:30:00,72.45,72.75,72.25,72.45,1106500.0,72.454,1403
2004-10-29 16:00:00,72.45,72.51,71.9,72.38,1795400.0,72.256,2365
2004-11-01 14:30:00,72.2,72.45,71.67,71.67,1170900.0,72.11,1217
2004-11-01 16:00:00,71.68,72.45,71.58,72.24,1733400.0,72.052,2629
2004-11-01 20:00:00,72.25,72.52,72.15,72.23,662800.0,72.367,862
2004-11-02 14:30:00,72.5,73.53,72.5,72.99,921900.0,73.068,1031
2004-11-02 16:00:00,73.0,73.93,72.1,72.85,1449500.0,72.861,1768
2004-11-02 20:00:00,72.85,73.0,71.9,72.03,1566700.0,72.279,1347
2004-11-03 14:30:00,74.75,76.76,74.75,75.5,2822900.0,75.689,2131
2004-11-03 16:00:00,75.5,76.0,75.31,75.42,2241700.0,75.588,3246
