date,Buy_Signal,Buy_Signal_Date,Stoploss_Trigger,Stoploss_Trigger_Date,Actual_Buy,Buy_Quantity,Total_Buy_Quantity,Actual_Sell,Available_Capital_for_trade,Current_Capital_Value,Stoploss,LM_Low_window_1_CS_last,LM_Low_window_1_CS_last_date,First_buy_date,Divg_Slope,Trade_Profit,Trade_Loss,Trade_Brokerage_Paid
2024-10-01 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,52550.0,2024-09-06 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-02 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,52550.0,2024-09-06 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-03 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,52550.0,2024-09-06 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-04 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,52550.0,2024-09-06 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-05 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,52550.0,2024-09-06 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-06 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,52550.0,2024-09-06 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-07 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,52550.0,2024-09-06 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-08 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,59828.11,2024-10-03 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-09 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,59828.11,2024-10-03 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-10 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,59828.11,2024-10-03 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-11 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,59828.11,2024-10-03 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-12 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,59828.11,2024-10-03 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-13 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,59828.11,2024-10-03 00:00:00+00:00,0,0.0,0.0,0.0,0.0
