date,open,high,low,close,volume
2020-08-18 22:00:00+0000,2.09,4.44,2.0,3.1,6039881.97
2020-08-19 00:00:00+0000,3.1,3.14,2.9738,3.1063,2367749.81
2020-08-19 02:00:00+0000,3.1082,3.1124,2.64,2.885,3241623.46
2020-08-19 04:00:00+0000,2.885,3.0755,2.811,2.9255,2127064.18
2020-08-19 06:00:00+0000,2.9255,3.1999,2.9,3.195,2251289.88
2020-08-19 08:00:00+0000,3.195,3.195,3.01,3.0401,1155918.24
2020-08-19 10:00:00+0000,3.0497,3.09,2.9,3.0,804755.47
2020-08-19 12:00:00+0000,3.0,3.0078,2.9,2.9354,1018365.78
2020-08-19 14:00:00+0000,2.9431,3.008,2.9353,2.9401,675945.48
2020-08-19 16:00:00+0000,2.9425,3.0298,2.9167,2.982,538927.67
2020-08-19 18:00:00+0000,2.983,2.9956,2.72,2.8027,832794.53
2020-08-19 20:00:00+0000,2.8027,3.0078,2.7918,2.995,412270.69
2020-08-19 22:00:00+0000,2.9997,3.035,2.9001,2.95,469069.73
2020-08-20 00:00:00+0000,2.9449,2.999,2.85,2.9001,504729.32
2020-08-20 02:00:00+0000,2.9001,2.9105,2.715,2.75,911322.37
2020-08-20 04:00:00+0000,2.75,2.8,2.6759,2.7344,563288.68
2020-08-20 06:00:00+0000,2.7345,2.915,2.6833,2.835,655798.2
2020-08-20 08:00:00+0000,2.8311,2.8965,2.8038,2.8488,361982.59
2020-08-20 10:00:00+0000,2.8454,2.895,2.7803,2.8715,946951.13
2020-08-20 12:00:00+0000,2.8715,2.9398,2.8133,2.8342,669955.83
2020-08-20 14:00:00+0000,2.8351,3.03,2.8,3.0117,1134817.29
2020-08-20 16:00:00+0000,3.0072,3.1111,2.9835,3.0286,1111490.06
2020-08-20 18:00:00+0000,3.0289,3.029,2.82,2.8832,1263803.05
2020-08-20 20:00:00+0000,2.8832,3.0,2.78,2.7946,953533.7
2020-08-20 22:00:00+0000,2.7987,2.9147,2.6,2.9,1963191.38
2020-08-21 00:00:00+0000,2.8978,2.957,2.8804,2.9409,621851.43
2020-08-21 02:00:00+0000,2.9408,2.95,2.6826,2.8303,1392206.84
2020-08-21 04:00:00+0000,2.8407,2.899,2.7903,2.8641,714251.79
2020-08-21 06:00:00+0000,2.8679,2.9512,2.85,2.9512,949069.8
2020-08-21 08:00:00+0000,2.951,3.09,2.901,2.901,1354667.14
2020-08-21 10:00:00+0000,2.901,3.0271,2.84,2.8951,773838.5
2020-08-21 12:00:00+0000,2.8954,2.9696,2.8311,2.9302,544315.79
2020-08-21 14:00:00+0000,2.9302,2.9509,2.86,2.9116,772226.96
2020-08-21 16:00:00+0000,2.9106,2.9717,2.8793,2.9375,336840.66
2020-08-21 18:00:00+0000,2.9347,3.028,2.8441,2.9274,1239909.96
2020-08-21 20:00:00+0000,2.9238,2.9882,2.8437,2.8912,608373.33
2020-08-21 22:00:00+0000,2.8854,2.9128,2.82,2.833,457601.54
2020-08-22 00:00:00+0000,2.8387,2.87,2.782,2.84,606624.2
2020-08-22 02:00:00+0000,2.84,2.9486,2.82,2.9398,416049.62
2020-08-22 04:00:00+0000,2.9361,2.96,2.8675,2.9301,489987.36
2020-08-22 06:00:00+0000,2.9354,3.6868,2.9015,3.41,5349059.96
2020-08-22 08:00:00+0000,3.4122,4.019,3.211,3.8997,7778946.51
2020-08-22 10:00:00+0000,3.892,3.98,3.6363,3.8153,4132983.22
2020-08-22 12:00:00+0000,3.8205,4.0313,3.501,3.8149,5208981.84
2020-08-22 14:00:00+0000,3.8149,3.9353,3.6,3.8226,4016307.63
2020-08-22 16:00:00+0000,3.8226,4.19,3.7815,4.1582,3854464.77
2020-08-22 18:00:00+0000,4.1646,4.3634,4.0921,4.219,4153266.89
2020-08-22 20:00:00+0000,4.2197,4.3,3.9333,4.2717,2639734.33
2020-08-22 22:00:00+0000,4.2647,4.55,4.1092,4.4546,2965070.18
2020-08-23 00:00:00+0000,4.4756,4.4864,4.132,4.41,2535724.28
2020-08-23 02:00:00+0000,4.41,4.4133,4.0202,4.1,2220100.26
2020-08-23 04:00:00+0000,4.1,4.2776,4.0279,4.1473,1297692.83
2020-08-23 06:00:00+0000,4.1473,4.2691,4.01,4.2083,1361697.71
2020-08-23 08:00:00+0000,4.2093,4.2255,4.1202,4.1778,1085172.55
2020-08-23 10:00:00+0000,4.18,4.1833,3.717,3.7399,4080028.76
2020-08-23 12:00:00+0000,3.7418,3.9736,3.7032,3.8441,3420394.55
2020-08-23 14:00:00+0000,3.838,3.9156,3.7185,3.91,2366918.96
2020-08-23 16:00:00+0000,3.91,3.9183,3.724,3.7676,1496030.42
