date,open,high,low,close,volume,average,barCount
2009-01-09 04:25:00,21.8,22.2,20.9,21.85,27798.0,21.631,135
2009-01-09 05:00:00,21.75,21.8,20.95,21.1,87851.0,21.417,325
2009-01-09 06:00:00,21.1,21.45,21.0,21.3,50902.0,21.19,298
2009-01-09 07:00:00,21.25,21.6,21.25,21.6,36722.0,21.452,249
2009-01-09 08:00:00,21.6,21.9,21.45,21.75,32785.0,21.657,242
2009-01-09 09:00:00,21.8,21.9,21.4,21.7,30501.0,21.629,243
2009-01-12 04:25:00,21.5,21.5,21.3,21.4,1576.0,21.378,13
2009-01-12 05:00:00,21.45,21.7,21.25,21.6,27025.0,21.531,188
2009-01-12 06:00:00,21.6,21.75,21.55,21.65,23913.0,21.69,142
2009-01-12 07:00:00,21.65,21.75,21.5,21.55,15802.0,21.608,141
2009-01-12 08:00:00,21.55,21.75,21.5,21.55,18441.0,21.621,128
2009-01-12 09:00:00,21.55,21.65,21.45,21.55,30953.0,21.547,188
2009-01-13 04:25:00,21.1,21.7,21.1,21.5,21313.0,21.518,112
2009-01-13 05:00:00,21.6,22.2,21.55,22.0,27048.0,21.913,193
2009-01-13 06:00:00,22.0,22.25,21.9,22.0,19589.0,22.01,176
2009-01-13 07:00:00,22.0,22.1,21.8,22.0,13495.0,21.997,118
2009-01-13 08:00:00,22.0,22.2,20.8,22.15,35388.0,21.841,189
2009-01-13 09:00:00,22.25,22.25,21.85,22.05,35993.0,22.027,197
2009-01-14 04:25:00,22.2,22.5,22.1,22.35,13625.0,22.281,106
2009-01-14 05:00:00,22.35,22.45,22.0,22.1,12328.0,22.23,177
2009-01-14 06:00:00,22.1,22.3,22.05,22.1,14237.0,22.156,111
2009-01-14 07:00:00,22.2,22.2,22.0,22.05,10391.0,22.077,112
2009-01-14 08:00:00,22.1,22.15,22.0,22.05,21373.0,22.08,105
2009-01-14 09:00:00,22.0,22.3,22.0,22.3,32054.0,22.134,150
2009-01-15 04:25:00,21.3,21.75,21.0,21.45,12894.0,21.381,98
2009-01-15 05:00:00,21.4,21.55,21.3,21.45,26443.0,21.416,149
2009-01-15 06:00:00,21.5,21.65,21.35,21.65,12067.0,21.511,97
2009-01-15 07:00:00,21.65,21.65,21.5,21.5,15200.0,21.567,82
2009-01-15 08:00:00,21.6,21.65,21.45,21.5,13831.0,21.528,120
2009-01-15 09:00:00,21.5,22.8,21.45,22.05,26327.0,22.03,192
2009-01-16 04:25:00,22.9,22.9,22.4,22.5,14737.0,22.622,114
2009-01-16 05:00:00,22.4,22.6,22.25,22.4,11661.0,22.415,141
2009-01-16 06:00:00,22.4,22.45,22.05,22.1,19205.0,22.281,123
2009-01-16 07:00:00,22.1,22.3,22.05,22.2,14940.0,22.182,100
2009-01-16 08:00:00,22.25,22.25,22.15,22.2,18321.0,22.199,91
2009-01-16 09:00:00,22.25,22.35,22.05,22.05,24413.0,22.179,143
2009-01-19 04:25:00,22.0,22.45,22.0,22.25,12852.0,22.299,98
2009-01-19 05:00:00,22.15,22.2,22.05,22.2,10593.0,22.123,134
2009-01-19 06:00:00,22.15,22.35,22.1,22.25,10530.0,22.22,92
2009-01-19 07:00:00,22.25,22.4,22.25,22.25,15207.0,22.27,70
2009-01-19 08:00:00,22.35,22.8,22.25,22.7,16866.0,22.4,98
2009-01-19 09:00:00,22.7,22.7,22.3,22.45,21065.0,22.46,182
2009-01-20 04:25:00,21.7,23.15,21.7,22.75,12739.0,22.423,118
2009-01-20 05:00:00,22.7,22.75,22.3,22.4,33059.0,22.435,171
2009-01-20 06:00:00,22.4,22.85,22.35,22.8,17079.0,22.634,136
2009-01-20 07:00:00,22.8,23.15,22.75,22.95,31058.0,22.881,154
2009-01-20 08:00:00,22.9,23.3,22.9,23.1,15785.0,23.051,173
2009-01-20 09:00:00,23.15,23.65,23.05,23.45,25162.0,23.301,190
2009-01-21 04:25:00,22.5,24.0,22.5,23.75,22364.0,23.561,130
2009-01-21 05:00:00,23.8,23.9,23.55,23.6,26012.0,23.752,179
2009-01-21 06:00:00,23.65,23.85,23.65,23.75,19208.0,23.754,127
2009-01-21 07:00:00,23.8,23.85,23.55,23.6,27002.0,23.691,148
2009-01-21 08:00:00,23.6,24.45,23.6,24.3,26516.0,23.827,143
2009-01-21 09:00:00,24.3,24.35,23.8,23.9,50279.0,23.965,215
2009-01-22 04:25:00,24.2,24.4,23.4,23.6,17067.0,23.861,117
