date,open,high,low,close,volume,average,barCount
2009-01-09 04:25:00,13.45,13.7,12.8,13.0,42485.0,13.28,187
2009-01-09 06:00:00,13.0,13.35,12.9,13.15,29342.0,13.124,145
2009-01-09 08:00:00,13.15,13.45,12.9,13.45,35478.0,13.201,146
2009-01-12 04:25:00,13.05,13.25,13.0,13.2,13926.0,13.109,74
2009-01-12 06:00:00,13.25,13.3,13.0,13.15,24546.0,13.182,90
2009-01-12 08:00:00,13.15,13.2,13.0,13.15,22286.0,13.069,90
2009-01-13 04:25:00,12.9,13.4,12.9,13.25,20769.0,13.199,74
2009-01-13 06:00:00,13.25,13.35,13.15,13.3,20385.0,13.242,93
2009-01-13 08:00:00,13.2,13.2,12.85,12.9,24137.0,13.008,107
2009-01-14 04:25:00,13.0,13.4,13.0,13.05,24900.0,13.117,100
2009-01-14 06:00:00,13.05,13.1,12.9,13.0,15303.0,13.011,70
2009-01-14 08:00:00,12.95,13.25,12.85,13.25,32904.0,13.072,117
2009-01-15 04:25:00,12.45,13.05,12.45,12.8,38479.0,12.838,134
2009-01-15 06:00:00,12.8,13.0,12.8,12.9,17838.0,12.883,84
2009-01-15 08:00:00,12.9,13.0,12.65,13.0,27525.0,12.848,107
2009-01-16 04:25:00,13.15,13.15,12.9,13.05,29545.0,13.031,99
2009-01-16 06:00:00,13.05,13.05,12.45,12.6,23588.0,12.82,105
2009-01-16 08:00:00,12.65,12.85,12.4,12.45,32584.0,12.64,124
2009-01-19 04:25:00,12.7,12.95,12.7,12.85,29307.0,12.819,96
2009-01-19 06:00:00,12.85,13.0,12.75,12.9,12391.0,12.85,61
2009-01-19 08:00:00,12.95,13.3,12.9,13.0,44905.0,13.043,143
2009-01-20 04:25:00,12.5,12.9,12.5,12.8,19906.0,12.798,71
2009-01-20 06:00:00,12.85,12.85,12.75,12.8,12279.0,12.794,52
2009-01-20 08:00:00,12.8,12.85,12.7,12.8,16027.0,12.773,75
2009-01-21 04:25:00,12.15,13.15,12.15,12.75,24782.0,12.831,111
2009-01-21 06:00:00,12.75,12.8,12.65,12.7,12151.0,12.719,66
2009-01-21 08:00:00,12.65,12.75,12.2,12.35,18601.0,12.536,91
2009-01-22 04:25:00,12.45,12.65,12.05,12.25,20509.0,12.524,93
