date,open,high,low,close,volume,average,barCount
2012-12-10,37.0,37.0,34.91,35.0,699200.0,35.759,2189
2012-12-11,35.05,35.69,34.95,35.32,1452900.0,35.404,3769
2012-12-12,35.25,35.25,33.09,33.36,2413900.0,34.109,6109
2012-12-13,33.5,34.24,32.61,33.8,4246700.0,33.419,8827
2012-12-14,33.9,34.08,32.65,33.0,4457200.0,33.397,9025
2012-12-17,33.5,37.07,32.51,33.4,5502900.0,32.934,7352
2012-12-18,33.4,34.68,32.95,34.43,3330500.0,34.06,10077
2012-12-19,34.8,34.82,33.73,34.25,1477800.0,34.197,5099
2012-12-20,34.5,34.5,33.85,34.32,990800.0,34.202,2703
2012-12-21,34.29,35.35,34.2,35.35,1373400.0,34.778,4819
2012-12-24,35.6,35.6,34.6,35.25,285400.0,35.185,1867
2012-12-26,35.27,35.51,34.85,34.92,557600.0,34.978,3520
2012-12-27,35.37,35.37,33.2,34.97,912200.0,34.696,5293
2012-12-28,34.67,34.96,34.36,34.52,1065100.0,34.617,5647
2012-12-31,34.04,35.05,34.0,34.16,1654100.0,34.538,8854
2013-01-02,34.92,35.4,34.1,35.12,12403700.0,34.744,37787
2013-01-03,35.0,35.0,34.16,34.83,15395300.0,34.585,61014
2013-01-04,34.35,34.89,34.25,34.39,20388600.0,34.412,46370
2013-01-07,34.15,35.45,34.15,34.46,16408200.0,34.711,58246
2013-01-08,34.29,34.64,33.36,33.71,16689200.0,33.97,60933
2013-01-09,33.61,33.95,33.61,33.9,18134800.0,33.85,51059
2013-01-10,33.35,34.0,33.33,34.0,14739100.0,33.828,46478
2013-01-11,33.59,33.9,33.35,33.85,10388900.0,33.6,25625
2013-01-14,34.01,34.25,33.8,34.09,10797800.0,34.02,34106
2013-01-15,33.71,34.72,33.71,34.6,12590200.0,34.274,39536
2013-01-16,34.47,35.54,34.45,35.54,15539900.0,35.306,46750
2013-01-17,35.75,36.7,35.75,36.42,12554600.0,36.399,40689
2013-01-18,36.43,37.32,36.04,37.32,10687700.0,36.784,41237
2013-01-22,37.1,37.25,35.93,36.42,13883500.0,36.375,53940
2013-01-23,36.91,37.84,36.5,37.8,8612200.0,37.223,33590
2013-01-24,37.79,38.52,37.23,37.46,10039000.0,37.739,39990
2013-01-25,37.52,37.84,36.64,37.6,8151100.0,37.435,35462
2013-01-28,37.95,37.95,36.71,36.89,5684400.0,37.13,25132
2013-01-29,36.69,37.46,36.25,37.31,7629200.0,36.865,39345
2013-01-30,36.81,37.52,36.81,36.93,10015400.0,37.009,34653
2013-01-31,36.91,36.93,36.27,36.69,9234300.0,36.692,36293
2013-02-01,36.84,37.2,36.52,37.18,8758400.0,37.004,35324
2013-02-04,36.64,37.3,36.55,37.28,5600700.0,37.123,23239
2013-02-05,37.43,37.73,37.18,37.2,6098400.0,37.431,28829
2013-02-06,36.96,37.28,36.86,37.14,5128200.0,37.085,24167
2013-02-07,37.57,37.57,35.8,36.42,9323800.0,36.424,40513
2013-02-08,36.37,36.42,35.83,36.25,13048600.0,36.097,36666
2013-02-11,36.13,36.18,35.75,35.85,5725500.0,35.911,25001
2013-02-12,35.77,35.9,35.2,35.42,7061600.0,35.565,30210
2013-02-13,35.42,35.57,35.15,35.27,4522500.0,35.252,23045
2013-02-14,35.05,36.73,35.01,36.57,5400000.0,36.118,24845
2013-02-15,37.28,37.81,36.93,37.58,12041700.0,37.518,42069
2013-02-19,37.54,38.33,37.11,38.19,7212100.0,37.823,36109
2013-02-20,38.16,39.13,37.61,38.61,7337100.0,38.654,27093
2013-02-21,38.49,39.02,38.19,38.78,6566200.0,38.762,29642
2013-02-22,38.79,38.85,38.14,38.46,3593900.0,38.412,18096
2013-02-25,38.54,38.61,37.37,37.37,3978600.0,37.864,20279
2013-02-26,37.6,37.6,36.96,37.09,3809900.0,37.247,21319
2013-02-27,36.97,36.98,36.4,36.73,9703700.0,36.691,43526
2013-02-28,36.66,37.14,36.5,36.92,6488300.0,36.88,27388
2013-03-01,36.8,38.07,36.55,37.81,6048900.0,37.298,30961
2013-03-04,37.53,38.25,37.53,38.24,4818600.0,38.017,25931
2013-03-05,38.45,38.57,37.29,37.51,5357500.0,37.686,27733
2013-03-06,37.56,37.86,37.37,37.74,5021900.0,37.668,23076
