date,open,high,low,close,volume,average,barCount
2004-08-23,46.28,46.33,45.39,45.58,1965900.0,45.767,9285
2004-08-24,45.9,46.26,45.23,45.73,1324600.0,45.679,6507
2004-08-25,45.83,46.4,45.46,46.3,1242300.0,45.997,5564
2004-08-26,45.96,46.35,45.82,46.16,1002200.0,46.119,4640
2004-08-27,46.07,46.58,45.97,46.41,596800.0,46.415,3113
2004-08-30,46.27,46.3,45.5,45.5,939800.0,45.78,4815
2004-08-31,45.31,45.83,45.12,45.76,1514300.0,45.419,6194
2004-09-01,45.57,46.16,45.02,45.81,1528100.0,45.671,7340
2004-09-02,45.7,47.0,45.7,46.89,1139600.0,46.446,5756
2004-09-03,46.95,47.5,46.41,46.53,1746300.0,46.66,6522
2004-09-07,46.8,47.85,46.54,47.3,2566400.0,47.348,10288
2004-09-08,47.29,48.0,47.15,47.84,2200300.0,47.636,10191
2004-09-09,47.9,49.04,47.84,48.97,3287500.0,48.616,12585
2004-09-10,48.9,49.9,48.82,49.86,2248700.0,49.432,9273
2004-09-13,49.67,50.19,49.48,49.71,2759400.0,49.812,9082
2004-09-14,49.76,49.99,49.31,49.62,1642300.0,49.622,7960
2004-09-15,49.15,49.32,47.22,47.42,3644500.0,47.948,13830
2004-09-16,48.08,48.2,47.54,47.88,2475500.0,47.811,8242
2004-09-17,48.07,48.48,47.84,48.16,2934500.0,48.098,8429
2004-09-20,48.02,48.57,47.67,47.95,2180500.0,48.088,9739
2004-09-21,50.25,50.73,45.99,50.44,5642000.0,50.056,21513
2004-09-22,49.77,50.03,48.83,48.83,3705800.0,49.524,13080
2004-09-23,49.02,49.73,48.77,49.26,2328900.0,49.248,9857
2004-09-24,49.22,49.24,48.32,48.34,1992800.0,48.753,9858
2004-09-27,48.16,48.65,47.75,47.87,2051900.0,48.213,7913
2004-09-28,47.97,48.81,47.87,48.66,2477600.0,48.404,8855
2004-09-29,48.52,49.78,48.47,49.78,2288100.0,49.321,8474
2004-09-30,49.83,49.96,48.98,49.46,2183600.0,49.459,8903
2004-10-01,49.5,50.0,49.27,49.93,2795700.0,49.822,10463
2004-10-04,50.18,51.18,49.76,50.77,2940300.0,50.819,11546
2004-10-05,50.72,51.58,50.52,51.15,2457500.0,51.183,10283
2004-10-06,50.96,51.88,50.9,51.77,1593800.0,51.439,7510
2004-10-07,51.41,51.52,50.9,51.03,1381500.0,51.247,6733
2004-10-08,50.85,51.1,49.58,49.73,1810000.0,50.168,7879
2004-10-11,50.0,51.18,49.98,50.97,2109800.0,50.847,8543
2004-10-12,50.34,52.23,50.31,52.05,3531500.0,51.637,13078
2004-10-13,52.08,52.53,51.02,51.13,3062600.0,51.576,11829
2004-10-14,51.25,51.81,50.79,51.24,2050900.0,51.265,8608
2004-10-15,51.28,51.96,50.92,51.47,1383300.0,51.5,7404
2004-10-18,51.34,53.07,51.14,53.07,2091300.0,52.363,8830
2004-10-19,52.99,53.89,52.7,53.54,2728000.0,53.546,11138
2004-10-20,53.44,53.91,52.84,53.68,1963400.0,53.484,9087
2004-10-21,53.57,54.79,53.36,54.5,2414600.0,54.387,10297
2004-10-22,54.53,54.68,53.5,53.75,2395100.0,53.926,9440
2004-10-25,53.58,54.51,53.4,53.77,2153400.0,53.952,7852
2004-10-26,53.83,54.27,53.39,53.69,1548400.0,53.755,7908
2004-10-27,54.35,56.08,53.81,55.97,4219800.0,55.09,14906
2004-10-28,55.3,55.9,55.08,55.5,2283900.0,55.446,8786
2004-10-29,55.36,56.04,54.76,55.86,2158800.0,55.53,8904
2004-11-01,56.25,56.99,55.81,56.44,2313300.0,56.406,8746
2004-11-02,56.09,57.57,55.19,57.04,2974500.0,57.075,10842
2004-11-03,57.62,57.99,56.93,57.2,2289600.0,57.337,10345
2004-11-04,57.19,58.5,57.0,58.1,2300100.0,57.87,9971
2004-11-05,58.1,58.73,57.64,58.45,2302100.0,58.274,10198
2004-11-08,58.35,58.45,57.67,57.86,1603900.0,57.954,7290
2004-11-09,57.95,58.09,57.34,57.4,2075800.0,57.57,7058
2004-11-10,57.25,58.25,56.75,57.59,2245600.0,57.311,9709
2004-11-11,57.62,58.47,57.21,58.46,1413100.0,57.806,6199
2004-11-12,58.2,58.93,57.6,58.92,1508900.0,58.317,6285
2004-11-15,58.97,59.07,58.15,58.57,1989700.0,58.453,7778
2004-11-16,58.41,58.54,57.6,58.18,1914800.0,58.025,7788
2004-11-17,58.31,59.01,57.86,58.6,2069300.0,58.59,7943
2004-11-18,58.76,59.43,58.4,59.22,1619900.0,58.91,6963
2004-11-19,59.18,59.5,57.53,57.82,1546500.0,58.272,7358
2004-11-22,57.71,59.46,57.5,59.46,1651700.0,58.819,7672
2004-11-23,59.67,60.69,59.05,60.6,2845400.0,59.971,11343
2004-11-24,59.78,61.04,59.78,60.86,1559900.0,60.39,6435
2004-11-26,60.98,61.11,60.58,60.7,439000.0,60.85,2169
2004-11-29,60.97,61.1,59.57,60.71,1359300.0,60.494,6708
2004-11-30,61.06,61.07,60.16,60.56,1300500.0,60.627,6624
2004-12-01,60.58,61.84,60.45,61.61,1549300.0,61.304,7547
2004-12-02,61.44,62.35,61.24,62.3,1213500.0,61.984,5624
2004-12-03,62.5,63.14,62.31,62.97,1748900.0,62.919,7876
2004-12-06,62.7,62.85,61.67,61.96,3644100.0,62.029,9490
2004-12-07,62.67,62.73,60.24,60.28,2269400.0,61.282,9404
2004-12-08,60.42,61.0,59.75,60.31,1781400.0,60.312,9030
2004-12-09,59.98,61.28,59.35,60.89,1976500.0,60.21,9270
2004-12-10,60.83,61.6,60.25,60.97,1570000.0,60.847,6986
2004-12-13,61.58,63.03,61.38,62.69,2214100.0,62.304,8167
2004-12-14,63.08,64.48,62.98,64.1,2263000.0,63.756,9324
2004-12-15,63.78,64.0,62.51,62.64,2808100.0,63.079,9633
2004-12-16,62.91,63.33,60.57,61.07,3043800.0,61.473,12093
2004-12-17,59.75,60.81,59.32,60.31,4193800.0,60.083,13766
2004-12-20,60.18,61.14,60.16,60.78,2721000.0,60.75,10134
2004-12-21,60.82,61.24,60.52,61.04,2045900.0,60.993,7643
2004-12-22,60.37,62.16,60.31,62.16,2252300.0,61.581,8677
2004-12-23,61.85,62.79,61.75,62.62,1766300.0,62.476,6520
2004-12-27,62.55,63.0,62.02,62.31,1427300.0,62.423,5645
2004-12-28,62.27,63.7,61.84,63.7,1904100.0,62.989,7289
2004-12-29,63.65,63.9,63.01,63.29,1286700.0,63.386,5326
2004-12-30,63.29,63.66,62.82,63.12,926200.0,63.236,3975
2004-12-31,63.02,63.56,62.54,62.73,1486300.0,63.137,5049
2005-01-03,62.92,63.5,61.55,61.68,2471600.0,62.423,10270
2005-01-04,62.19,62.38,59.36,60.05,3413700.0,60.85,14109
2005-01-05,60.19,60.9,59.75,59.75,1694500.0,60.157,8044
2005-01-06,60.23,60.39,58.49,58.64,2807900.0,59.192,11543
2005-01-07,59.18,59.51,57.7,58.78,4051700.0,58.782,13020
2005-01-10,58.82,59.92,58.64,58.86,2377600.0,59.144,9681
2005-01-11,58.63,59.0,57.95,58.07,2491300.0,58.449,10352
2005-01-12,58.48,59.14,57.67,59.01,2712200.0,58.428,10910
2005-01-13,59.21,59.39,57.96,58.17,1932600.0,58.73,8445
2005-01-14,58.59,59.0,57.81,58.31,2164700.0,58.152,8513
2005-01-18,58.05,58.56,56.6,58.38,2321200.0,57.907,10444
2005-01-19,58.32,58.9,57.75,57.93,1711100.0,58.264,8416
2005-01-20,57.85,59.11,57.5,58.24,2204100.0,58.451,10030
2005-01-21,58.38,58.39,57.0,57.08,2133000.0,57.423,10472
2005-01-24,57.42,57.67,55.25,55.39,3193400.0,56.181,14672
2005-01-25,55.86,56.85,55.52,55.58,1948300.0,56.056,8954
2005-01-26,56.45,56.47,55.35,56.04,1598500.0,55.928,7704
2005-01-27,56.11,56.38,55.36,56.12,1565200.0,55.939,7785
2005-01-28,56.53,56.54,54.8,55.41,2589500.0,55.367,10992
2005-01-31,56.01,57.33,55.83,56.95,2669400.0,56.709,10893
2005-02-01,56.9,58.37,56.87,57.95,2010400.0,57.799,9200
2005-02-02,59.64,62.54,59.64,62.29,5501300.0,61.314,21551
2005-02-03,61.59,63.48,61.31,63.42,4217200.0,62.822,14760
2005-02-04,62.8,63.99,62.58,63.98,2091600.0,63.548,9001
2005-02-07,63.75,63.99,63.02,63.54,1367200.0,63.465,6673
2005-02-08,63.27,64.39,63.25,63.68,1478900.0,63.82,6381
2005-02-09,63.94,64.15,62.23,62.55,1825100.0,63.068,8456
2005-02-10,62.87,63.13,61.88,62.67,1364200.0,62.517,6943
2005-02-11,62.97,64.41,62.36,63.81,2153100.0,63.849,9747
2005-02-14,63.61,63.98,62.95,63.37,1395700.0,63.458,6351
2005-02-15,63.86,65.12,62.9,64.91,3064300.0,64.489,13421
2005-02-16,64.51,64.85,63.58,64.57,2102700.0,64.215,9745
2005-02-17,64.48,64.97,62.55,62.97,2402200.0,63.495,11699
2005-02-18,63.43,64.25,62.77,62.84,1305200.0,63.204,6254
