date,open,high,low,close,volume,average,barCount
2004-08-23,42.05,42.27,41.54,41.8,3790300.0,41.917,11210
2004-08-24,41.95,42.32,41.84,42.1,2331200.0,42.075,7554
2004-08-25,42.11,42.35,41.71,42.0,2446100.0,42.1,8767
2004-08-26,42.02,42.6,41.86,42.39,1739600.0,42.394,6273
2004-08-27,42.37,42.53,41.95,42.07,2037000.0,42.146,6532
2004-08-30,41.85,42.28,41.71,41.8,2406600.0,41.974,6925
2004-08-31,41.74,41.99,41.03,41.17,3582700.0,41.411,11286
2004-09-01,41.11,41.33,40.46,40.82,4026500.0,40.847,13678
2004-09-02,39.1,40.76,38.87,40.41,8847300.0,40.081,25490
2004-09-03,40.39,40.9,40.26,40.65,3224200.0,40.676,10451
2004-09-07,40.7,40.95,40.25,40.51,2898400.0,40.566,12039
2004-09-08,40.45,40.88,40.05,40.11,2867600.0,40.363,10343
2004-09-09,40.11,40.25,39.59,39.95,2747500.0,39.904,9688
2004-09-10,39.92,40.78,39.79,40.53,3644600.0,40.422,10650
2004-09-13,40.72,41.79,40.5,41.12,4024600.0,41.334,13231
2004-09-14,40.9,41.59,40.81,41.38,2555600.0,41.294,10404
2004-09-15,41.23,41.61,41.13,41.4,1873000.0,41.382,7356
2004-09-16,41.43,41.74,41.3,41.57,2086300.0,41.568,7432
2004-09-17,41.78,41.98,41.2,41.29,2577800.0,41.558,9652
2004-09-20,41.18,41.55,40.69,41.01,2357300.0,41.078,8276
2004-09-21,41.15,41.53,40.94,41.44,1938800.0,41.352,7303
2004-09-22,41.18,41.4,40.82,40.96,1842000.0,41.062,7688
2004-09-23,41.0,41.37,40.75,40.75,1537900.0,40.989,6804
2004-09-24,40.7,41.68,40.58,41.37,1756200.0,41.298,7216
2004-09-27,41.18,41.66,41.11,41.21,1682200.0,41.395,7025
2004-09-28,41.31,41.55,41.14,41.31,1904500.0,41.382,8073
2004-09-29,41.16,41.81,41.15,41.79,1926400.0,41.55,7835
2004-09-30,41.68,41.89,41.29,41.53,2372900.0,41.533,9481
2004-10-01,41.69,42.67,41.48,42.27,3571900.0,42.231,12361
2004-10-04,42.3,43.82,42.3,43.3,4181400.0,43.289,13104
2004-10-05,43.17,43.66,42.91,43.06,2636700.0,43.338,10024
2004-10-06,43.0,43.15,42.24,42.92,3655500.0,42.664,11219
2004-10-07,44.09,44.91,44.0,44.69,8799900.0,44.524,22206
2004-10-08,44.1,45.44,44.01,44.71,6112100.0,44.922,16738
2004-10-11,44.49,45.0,44.14,44.94,2934900.0,44.642,9440
2004-10-12,44.64,45.42,44.39,45.36,4346100.0,44.857,14096
2004-10-13,45.06,45.78,44.95,45.43,3551300.0,45.409,12489
2004-10-14,45.43,45.99,45.1,45.43,4385000.0,45.626,10379
2004-10-15,45.5,45.98,45.16,45.65,3050700.0,45.611,10181
2004-10-18,45.52,46.13,45.24,46.13,3121400.0,45.768,11378
2004-10-19,46.08,46.85,45.81,46.28,4505100.0,46.229,13371
2004-10-20,45.9,46.48,45.71,46.47,3132600.0,46.147,10684
2004-10-21,46.33,46.57,45.86,46.51,4668500.0,46.218,14620
2004-10-22,46.55,46.75,45.7,45.8,3596200.0,46.165,10726
2004-10-25,45.64,46.16,45.34,45.99,2313800.0,45.869,9016
2004-10-26,46.24,47.94,46.1,47.19,7114100.0,47.131,19091
2004-10-27,46.85,48.32,46.53,48.1,4386400.0,47.621,14706
2004-10-28,47.8,48.55,47.64,48.1,3152000.0,48.026,10304
2004-10-29,48.18,48.39,47.47,47.87,2551000.0,47.796,10526
2004-11-01,47.58,48.15,47.2,48.12,3004600.0,47.777,10311
2004-11-02,48.0,48.91,47.85,48.53,2925900.0,48.595,11154
2004-11-03,49.0,49.5,48.2,48.59,3858700.0,48.721,14096
2004-11-04,48.85,49.56,47.9,49.38,4112800.0,48.878,16031
2004-11-05,49.61,50.46,49.17,49.5,3620500.0,49.802,13708
2004-11-08,48.61,49.47,48.41,49.18,3898300.0,49.052,12294
2004-11-09,49.14,49.29,48.85,49.0,3330700.0,49.092,9396
2004-11-10,49.1,49.19,48.71,48.9,2304800.0,49.015,8785
2004-11-11,49.0,49.05,48.52,48.7,2798100.0,48.756,11322
