date,open,high,low,close,volume,average,barCount
2004-08-23,18.92,19.28,18.85,19.18,36591800.0,19.083,64370
2004-08-24,19.12,19.17,18.81,18.97,38894600.0,18.967,64262
2004-08-25,18.98,19.37,18.81,19.3,39635800.0,19.128,61905
2004-08-26,19.26,19.43,19.16,19.18,30591800.0,19.303,55991
2004-08-27,19.22,19.52,19.2,19.49,32148000.0,19.413,52854
2004-08-30,19.32,19.46,19.05,19.05,34742300.0,19.242,57194
2004-08-31,19.14,19.19,18.43,18.76,58584100.0,18.68,89188
2004-09-01,18.66,19.12,18.6,19.1,34543300.0,18.991,60982
2004-09-02,19.06,19.9,18.91,19.3,39237700.0,19.1,62223
2004-09-03,19.02,19.16,18.03,18.76,39788800.0,18.847,64814
2004-09-07,18.99,19.7,18.84,19.02,43512000.0,19.043,72744
2004-09-08,18.96,19.53,18.92,19.29,48446200.0,19.301,84576
2004-09-09,19.49,20.05,19.35,19.93,57841500.0,19.694,85374
2004-09-10,19.88,20.61,19.85,20.44,49866600.0,20.262,72278
2004-09-13,20.55,20.63,19.87,20.26,41294400.0,20.496,68481
2004-09-14,20.32,20.44,20.1,20.34,41256800.0,20.277,67962
2004-09-15,19.88,20.75,19.53,19.56,57620200.0,19.727,78363
2004-09-16,19.62,19.75,19.46,19.6,36816700.0,19.602,57308
2004-09-17,19.31,19.33,19.09,19.18,52603000.0,19.219,69868
2004-09-20,19.04,19.48,18.94,19.3,59749000.0,19.257,99250
2004-09-21,19.38,19.71,19.3,19.63,43224600.0,19.548,70364
2004-09-22,19.2,19.29,18.86,18.95,71658600.0,19.052,101572
2004-09-23,18.9,19.12,18.82,18.9,37412100.0,18.972,60250
2004-09-24,18.88,18.93,18.31,18.41,61064400.0,18.59,98334
2004-09-27,18.26,18.35,17.95,18.04,59020500.0,18.135,85501
2004-09-28,18.12,18.16,17.85,18.05,61134100.0,17.994,76873
2004-09-29,18.16,18.44,18.08,18.32,47902100.0,18.259,73103
2004-09-30,18.27,19.32,18.06,18.09,34039800.0,18.227,56307
2004-10-01,18.28,19.0,18.25,18.93,50149000.0,18.786,79805
2004-10-04,19.21,19.3,18.87,18.95,49053000.0,19.089,75023
2004-10-05,18.89,19.96,18.89,19.11,39732500.0,19.108,61992
2004-10-06,19.05,19.54,19.03,19.52,47767700.0,19.266,75234
2004-10-07,19.5,19.74,19.09,19.12,47252700.0,19.327,72170
2004-10-08,18.96,19.22,18.68,18.77,43701000.0,18.896,71874
2004-10-11,18.78,19.0,18.72,18.98,21655000.0,18.872,36184
2004-10-12,18.69,19.17,18.58,19.16,34935200.0,18.914,61550
2004-10-13,19.49,19.5,18.62,18.84,68595800.0,19.044,99648
2004-10-14,18.79,18.88,18.5,18.6,37011200.0,18.639,66657
2004-10-15,18.58,18.8,18.38,18.48,43189900.0,18.568,71813
2004-10-18,18.53,19.67,18.42,18.66,38266200.0,18.606,65393
2004-10-19,18.93,19.14,18.6,18.7,48171400.0,18.94,78910
2004-10-20,18.59,18.66,18.29,18.45,50699500.0,18.421,77040
2004-10-21,18.67,18.72,18.38,18.64,38094600.0,18.549,60962
2004-10-22,18.68,18.77,18.16,18.27,33572400.0,18.432,56057
2004-10-25,18.16,18.29,18.0,18.02,32389700.0,18.119,55418
2004-10-26,18.13,18.18,17.8,18.18,47330800.0,17.993,73686
2004-10-27,18.09,18.65,17.9,18.56,59427300.0,18.306,92197
2004-10-28,18.55,18.97,18.08,18.92,53045300.0,18.765,74619
2004-10-29,18.93,19.37,18.9,19.17,68069400.0,19.17,85523
2004-11-01,19.2,19.35,18.95,19.23,36167700.0,19.206,61052
2004-11-02,19.31,19.52,19.16,19.28,36287300.0,19.389,61687
2004-11-03,19.79,19.8,19.17,19.28,48491900.0,19.486,78448
2004-11-04,19.28,19.56,19.23,19.51,46936800.0,19.421,77543
2004-11-05,19.79,20.01,18.82,19.97,51450900.0,19.88,80197
2004-11-08,19.97,20.01,19.76,19.96,46646700.0,19.897,69123
2004-11-09,19.88,19.99,19.68,19.75,57781400.0,19.864,83196
2004-11-10,18.97,19.99,18.42,18.45,163932200.0,18.645,192499
2004-11-11,18.52,18.76,18.0,18.74,58601900.0,18.612,84467
2004-11-12,18.81,19.93,18.77,19.27,69876000.0,18.997,92287
2004-11-15,19.13,19.55,19.08,19.55,54683300.0,19.419,76971
2004-11-16,19.44,19.52,19.26,19.39,37737900.0,19.366,54685
2004-11-17,19.5,19.83,19.41,19.55,50968200.0,19.606,72587
