date,open,high,low,close,volume,average,barCount
2004-08-23,36.27,36.28,35.65,35.99,5411100.0,35.994,6500
2004-08-24,36.19,36.4,36.07,36.3,6171500.0,36.235,5383
2004-08-25,36.22,36.77,36.09,36.6,5291300.0,36.433,6501
2004-08-26,36.53,36.87,36.47,36.57,3740300.0,36.674,5032
2004-08-27,36.58,36.79,36.34,36.62,3201600.0,36.636,4439
2004-08-30,36.55,36.8,36.48,36.57,3358800.0,36.677,4564
2004-08-31,36.68,36.75,36.18,36.55,5093500.0,36.439,5222
2004-09-01,36.55,36.95,36.36,36.87,6129900.0,36.702,6123
2004-09-02,36.91,38.0,36.91,37.9,10193900.0,37.436,8562
2004-09-03,37.76,37.88,37.37,37.52,6256600.0,37.577,6311
2004-09-07,37.73,37.99,37.51,37.64,6365400.0,37.695,7202
2004-09-08,37.5,37.64,37.03,37.28,5917700.0,37.367,6210
2004-09-09,37.25,37.35,36.69,37.01,5557400.0,36.928,6696
2004-09-10,37.0,37.69,36.99,37.51,5300000.0,37.445,6488
2004-09-13,37.7,37.79,37.35,37.4,5268500.0,37.6,6367
2004-09-14,37.65,38.2,37.5,38.15,6437200.0,37.821,6804
2004-09-15,38.11,38.55,37.94,38.39,8008900.0,38.373,8168
2004-09-16,38.4,39.09,38.4,38.71,7158300.0,38.812,8327
2004-09-17,38.95,38.95,38.28,38.35,7622200.0,38.564,7808
2004-09-20,38.3,38.59,38.06,38.46,4514400.0,38.359,7176
2004-09-21,38.73,39.09,38.55,38.8,5651900.0,38.813,7498
2004-09-22,38.55,38.81,38.13,38.25,5778000.0,38.486,7082
2004-09-23,38.25,38.52,38.11,38.17,3799900.0,38.327,5754
2004-09-24,38.16,38.81,38.1,38.43,5087100.0,38.549,6071
2004-09-27,38.4,38.66,38.26,38.32,4178600.0,38.474,5581
2004-09-28,38.27,39.0,37.87,38.83,7242200.0,38.455,7191
2004-09-29,38.77,39.39,38.77,39.35,5666300.0,39.153,6665
2004-09-30,39.27,39.73,39.06,39.19,7845900.0,39.375,6652
2004-10-01,39.59,39.65,39.2,39.25,5909200.0,39.449,6251
2004-10-04,39.26,39.9,39.26,39.62,7141700.0,39.779,6365
2004-10-05,39.5,39.68,39.2,39.54,5667800.0,39.418,6156
2004-10-06,39.6,39.8,39.36,39.71,3816600.0,39.611,5565
2004-10-07,39.75,39.95,39.26,39.28,4869100.0,39.624,5275
2004-10-08,39.1,39.6,38.71,39.04,5551500.0,39.168,5890
2004-10-11,39.32,40.21,39.31,40.09,8270900.0,39.879,7854
2004-10-12,39.75,40.0,39.13,39.86,5271600.0,39.804,6049
2004-10-13,40.0,40.03,39.59,39.77,5184000.0,39.817,5979
2004-10-14,39.7,39.87,39.1,39.32,3786400.0,39.522,5577
2004-10-15,39.51,39.88,39.15,39.79,7101300.0,39.521,6171
2004-10-18,39.81,40.27,39.64,40.22,6865100.0,39.957,6940
2004-10-19,40.22,40.46,39.57,39.71,5380400.0,39.982,6303
2004-10-20,39.74,39.81,39.36,39.5,5431500.0,39.554,6023
2004-10-21,39.4,39.93,38.69,39.72,4738600.0,39.704,6107
2004-10-22,39.73,39.94,39.12,39.13,4216300.0,39.454,5817
2004-10-25,38.9,38.9,38.31,38.64,5887600.0,38.583,7755
2004-10-26,38.65,39.72,38.58,39.67,5712100.0,39.375,6607
2004-10-27,39.51,40.85,39.5,40.79,8005300.0,40.339,8661
2004-10-28,40.57,41.44,40.55,41.19,6773100.0,41.085,8001
2004-10-29,41.07,41.5,40.81,41.05,7390700.0,41.171,6966
2004-11-01,41.02,41.68,40.95,41.08,6679800.0,41.256,6432
2004-11-02,40.86,41.56,40.86,41.16,5521500.0,41.278,6582
2004-11-03,41.89,41.89,40.8,41.2,6719100.0,41.363,8029
2004-11-04,41.21,41.99,41.05,41.9,6469700.0,41.687,8684
2004-11-05,41.94,42.7,41.9,42.29,7635500.0,42.248,9048
2004-11-08,42.2,42.76,42.1,42.44,5486000.0,42.433,6818
2004-11-09,42.3,42.55,41.84,42.06,4711500.0,42.114,6350
2004-11-10,42.19,42.45,42.01,42.05,4921600.0,42.228,6056
2004-11-11,42.38,42.87,42.1,42.8,5509300.0,42.592,6767
2004-11-12,42.84,43.25,42.76,43.19,5972300.0,43.041,6499
2004-11-15,43.12,43.99,42.87,43.77,9530900.0,43.564,9798
2004-11-16,44.27,44.3,42.65,43.0,15910200.0,43.243,15763
2004-11-17,42.85,43.3,42.18,42.27,11375200.0,42.498,10533
2004-11-18,42.28,42.89,42.06,42.84,9039600.0,42.607,7007
2004-11-19,42.97,42.98,42.66,42.7,8460300.0,42.795,6401
2004-11-22,42.73,43.41,42.55,43.21,6787400.0,43.097,7423
2004-11-23,43.22,43.57,43.0,43.51,5127000.0,43.32,6858
2004-11-24,43.48,43.8,43.32,43.45,4424300.0,43.498,6147
2004-11-26,43.26,43.69,43.25,43.4,2028200.0,43.411,2660
2004-11-29,43.31,43.48,42.6,43.03,7002300.0,43.001,7750
2004-11-30,42.5,42.9,41.92,41.95,8662600.0,42.281,8507
2004-12-01,41.95,42.57,41.9,42.27,8420600.0,42.25,7285
2004-12-02,42.28,42.68,41.49,42.15,8062500.0,42.201,8387
2004-12-03,41.85,42.27,41.67,41.78,5941400.0,41.924,6589
2004-12-06,41.59,42.18,41.59,42.02,4706900.0,41.886,5380
2004-12-07,41.8,42.95,41.73,41.77,6021400.0,41.971,6338
2004-12-08,42.0,42.71,41.96,42.5,5632300.0,42.487,6590
2004-12-09,42.56,42.99,42.2,42.88,5380100.0,42.587,6685
2004-12-10,42.95,43.03,42.53,42.68,4356700.0,42.774,5887
2004-12-13,41.52,42.87,41.52,42.71,4448600.0,42.593,5658
2004-12-14,42.7,42.8,42.35,42.66,4823100.0,42.546,5664
2004-12-15,42.75,42.75,42.32,42.46,4667100.0,42.517,6114
2004-12-16,42.49,42.65,42.06,42.55,6245200.0,42.394,6423
2004-12-17,42.5,42.65,41.98,42.08,7993900.0,42.316,6195
2004-12-20,42.55,42.55,41.71,41.73,5361100.0,41.965,6416
2004-12-21,41.65,42.16,41.52,42.12,5322800.0,41.877,6507
2004-12-22,42.2,42.65,42.04,42.55,4877400.0,42.434,6408
2004-12-23,42.52,42.84,42.45,42.54,3439000.0,42.624,4886
2004-12-27,42.52,42.87,42.13,42.27,4176600.0,42.482,5567
2004-12-28,42.36,43.0,42.33,42.83,4348900.0,42.729,5912
2004-12-29,42.6,42.95,42.59,42.89,4638100.0,42.77,5184
2004-12-30,42.94,43.09,42.81,42.81,3245500.0,42.957,4889
2004-12-31,42.85,42.97,42.68,42.75,3280800.0,42.807,5202
2005-01-03,42.99,43.22,42.93,43.05,6763600.0,43.089,6864
2005-01-04,43.24,43.27,42.53,42.56,6617400.0,42.953,7031
2005-01-05,42.5,43.25,42.12,42.17,6598200.0,42.384,7283
2005-01-06,42.16,42.33,41.05,41.54,8240800.0,41.56,8096
2005-01-07,41.63,41.66,41.01,41.41,6666500.0,41.3,6899
2005-01-10,41.25,42.05,41.25,41.77,5693800.0,41.771,6600
2005-01-11,41.58,41.84,41.58,41.71,4180500.0,41.709,5719
2005-01-12,41.65,42.25,41.31,42.24,5982700.0,41.769,6721
2005-01-13,42.05,42.2,41.4,41.73,7852700.0,41.798,7325
2005-01-14,41.8,42.0,41.73,41.9,3949700.0,41.872,4868
2005-01-18,41.51,42.24,41.5,42.16,6422300.0,41.892,6523
2005-01-19,41.98,42.22,41.78,41.82,3932500.0,41.951,5237
2005-01-20,41.81,41.81,40.0,41.15,6251300.0,41.291,6525
2005-01-21,41.15,41.39,40.86,40.91,5669000.0,41.133,6128
2005-01-24,41.1,41.16,40.32,40.4,5327400.0,40.637,7115
2005-01-25,40.49,40.88,40.47,40.57,4732000.0,40.678,5985
2005-01-26,40.82,40.82,40.52,40.7,5230500.0,40.686,5432
2005-01-27,40.52,41.06,40.51,40.73,5391500.0,40.807,5060
2005-01-28,40.75,40.82,40.28,40.41,5369600.0,40.523,5914
2005-01-31,40.6,41.34,40.6,41.22,5828000.0,41.113,5522
2005-02-01,41.2,41.31,40.98,41.13,5147600.0,41.138,5397
2005-02-02,41.08,41.35,41.02,41.28,3445000.0,41.184,4826
2005-02-03,41.2,41.62,41.15,41.52,4309200.0,41.381,5310
2005-02-04,41.45,42.43,41.45,42.41,6809100.0,42.106,6640
2005-02-07,42.27,42.5,42.26,42.49,4770900.0,42.372,5068
2005-02-08,42.3,42.6,42.01,42.05,5325700.0,42.294,4780
2005-02-09,42.15,42.41,41.75,41.8,4011000.0,42.004,5228
2005-02-10,42.0,42.45,41.68,42.34,4388300.0,42.079,5204
2005-02-11,42.24,42.99,42.0,42.81,6061300.0,42.621,6499
2005-02-14,42.78,42.9,42.55,42.61,3247600.0,42.653,4805
2005-02-15,42.4,42.85,42.38,42.73,5184100.0,42.671,5354
2005-02-16,42.73,42.73,42.16,42.37,5264500.0,42.405,6228
2005-02-17,42.26,42.45,41.51,41.82,6317400.0,42.09,6339
2005-02-18,41.82,42.23,41.74,42.09,5363300.0,42.053,5364
2005-02-22,41.35,41.45,40.1,40.17,13734700.0,40.616,13016
2005-02-23,40.48,40.6,39.63,39.79,11999700.0,39.982,9903
2005-02-24,39.66,39.78,38.11,39.59,14270700.0,39.392,9829
2005-02-25,39.76,40.61,39.62,40.58,9428500.0,40.216,7257
2005-02-28,40.25,40.65,40.03,40.03,7134700.0,40.275,7119
2005-03-01,40.05,40.18,39.84,40.08,8687900.0,39.998,6683
2005-03-02,40.0,40.19,39.78,40.02,6690000.0,39.97,6686
2005-03-03,39.99,40.15,39.7,39.7,6640500.0,39.855,5616
2005-03-04,39.95,40.15,39.7,40.05,5453400.0,39.98,5954
2005-03-07,40.01,40.27,39.79,39.9,6485100.0,40.007,6198
2005-03-08,39.95,40.14,39.85,39.94,5329300.0,39.998,5287
2005-03-09,39.84,39.9,39.48,39.5,7474700.0,39.659,6886
2005-03-10,39.41,39.89,39.41,39.84,4917600.0,39.677,6622
2005-03-11,40.0,40.0,39.36,39.43,5586200.0,39.608,6080
2005-03-14,39.6,39.67,38.76,39.47,8484200.0,39.223,8115
2005-03-15,39.65,39.99,39.55,39.77,6339000.0,39.83,7037
2005-03-16,39.46,39.84,38.66,38.91,9181300.0,39.039,8738
2005-03-17,38.79,39.01,38.52,38.91,6564300.0,38.84,6594
2005-03-18,38.92,39.1,38.69,38.78,8867300.0,38.85,6266
2005-03-21,38.64,38.67,36.9,38.01,10836600.0,38.039,10365
2005-03-22,38.0,38.38,37.83,37.83,7202900.0,38.098,8357
