date,open,high,low,close,volume,average,barCount
2004-08-23,38.75,38.88,38.47,38.53,7407700.0,38.719,5981
2004-08-24,38.75,38.85,38.3,38.59,5144100.0,38.588,5522
2004-08-25,38.6,39.63,38.6,39.41,11521600.0,39.212,7871
2004-08-26,39.32,39.65,39.1,39.46,8202500.0,39.463,5704
2004-08-27,39.55,39.8,39.5,39.72,6301000.0,39.686,4955
2004-08-30,39.67,39.69,38.29,39.16,5643800.0,39.301,5197
2004-08-31,39.11,39.58,38.91,39.58,5397500.0,39.21,5149
2004-09-01,39.52,39.65,38.99,39.26,6969600.0,39.326,6040
2004-09-02,39.45,39.99,39.27,39.89,7022800.0,39.634,5574
2004-09-03,39.75,40.0,39.7,39.85,6060400.0,39.846,4875
2004-09-07,39.85,40.1,39.71,39.82,9958900.0,39.936,7020
2004-09-08,39.62,39.89,39.35,39.39,10466500.0,39.607,6828
2004-09-09,39.51,39.82,39.35,39.68,7070100.0,39.596,6360
2004-09-10,39.62,39.92,39.47,39.81,6035200.0,39.737,5398
2004-09-13,39.69,39.88,39.4,39.45,6662800.0,39.558,5774
2004-09-14,39.3,39.67,39.29,39.49,6930200.0,39.468,6015
2004-09-15,39.37,39.45,39.08,39.12,6668300.0,39.253,5266
2004-09-16,39.31,39.84,39.15,39.59,10732400.0,39.562,7446
2004-09-17,39.68,39.8,39.51,39.67,8234500.0,39.704,5558
2004-09-20,39.66,39.66,39.3,39.41,8050600.0,39.429,6298
2004-09-21,39.5,40.25,39.5,40.09,9745500.0,39.903,7422
2004-09-22,39.5,39.94,39.35,39.75,11859600.0,39.684,7355
2004-09-23,39.75,39.76,39.41,39.47,8730700.0,39.559,6540
2004-09-24,39.47,39.93,39.42,39.7,7486400.0,39.675,5179
2004-09-27,39.62,39.63,39.06,39.15,8228500.0,39.287,6512
2004-09-28,39.14,39.47,38.95,39.4,7727100.0,39.204,6165
2004-09-29,39.38,39.66,39.04,39.66,6621000.0,39.3,5787
2004-09-30,39.65,39.79,39.42,39.72,6839400.0,39.604,5449
2004-10-01,39.9,40.4,39.86,40.35,10572400.0,40.144,7026
2004-10-04,40.33,40.45,39.75,39.76,11138400.0,40.136,6248
2004-10-05,39.7,39.81,39.06,39.47,11755800.0,39.303,6917
2004-10-06,39.31,39.53,39.16,39.52,7129300.0,39.294,5896
2004-10-07,39.52,39.89,39.41,39.54,6421500.0,39.619,5504
2004-10-08,39.54,39.77,39.26,39.49,6213000.0,39.51,5275
2004-10-11,39.5,39.69,39.41,39.42,3170700.0,39.518,4026
2004-10-12,39.05,39.64,39.01,39.5,8155000.0,39.235,5478
2004-10-13,39.6,39.69,38.95,39.24,7034300.0,39.318,6499
2004-10-14,39.24,39.24,38.2,38.53,11155900.0,38.522,6988
2004-10-15,38.53,39.1,38.35,38.73,7608800.0,38.824,6775
2004-10-18,38.55,39.11,38.53,39.02,5776500.0,38.855,6398
2004-10-19,38.75,39.38,37.79,38.0,15706700.0,38.321,9429
