date,open,high,low,close,volume,average,barCount
2004-08-23,22.12,22.36,22.0,22.18,8343200.0,22.2285,4863
2004-08-24,22.25,22.25,22.0,22.03,8297000.0,22.084,4192
2004-08-25,21.99,22.23,21.86,22.18,8727200.0,22.0725,5084
2004-08-26,22.17,22.33,22.09,22.25,5210000.0,22.2665,3756
2004-08-27,22.28,22.45,22.25,22.37,5154000.0,22.353,3585
2004-08-30,22.25,22.34,22.17,22.18,5346400.0,22.2685,3551
2004-08-31,22.19,22.36,22.01,22.36,5706200.0,22.18,4043
2004-09-01,22.4,22.43,22.15,22.34,6656200.0,22.3445,4258
2004-09-02,22.32,22.74,22.28,22.71,9969800.0,22.4685,4179
2004-09-03,22.72,22.94,22.71,22.75,9319000.0,22.824,4424
2004-09-07,22.85,22.9,22.58,22.83,7830200.0,22.7565,5109
2004-09-08,22.68,22.68,21.7,21.73,21557800.0,22.07,8152
2004-09-09,21.65,21.82,21.51,21.76,17115600.0,21.642,6770
2004-09-10,21.53,21.6,21.34,21.48,19823400.0,21.4605,7938
2004-09-13,21.4,21.49,21.25,21.39,16203800.0,21.4045,6928
2004-09-14,21.28,21.6,21.28,21.45,17305600.0,21.4775,5839
2004-09-15,20.41,20.62,20.1,20.58,59757600.0,20.435,18357
2004-09-16,20.61,20.68,19.98,20.0,41595600.0,20.2065,12818
2004-09-17,19.98,20.29,19.98,20.18,24868200.0,20.1405,9523
2004-09-20,19.95,20.25,19.95,20.21,11771000.0,20.151,7024
2004-09-21,20.33,20.5,20.18,20.38,15264400.0,20.347,7498
2004-09-22,20.39,20.48,20.2,20.21,19170600.0,20.332,8252
2004-09-23,20.22,20.33,20.01,20.03,14211400.0,20.1115,7108
2004-09-24,20.0,20.05,19.86,19.99,13495200.0,19.959,6939
2004-09-27,19.61,20.0,19.61,19.84,16956400.0,19.8975,6028
2004-09-28,19.9,20.03,19.85,19.99,13449600.0,19.9755,5641
2004-09-29,19.9,20.05,19.82,20.0,12202400.0,19.9575,5564
2004-09-30,20.08,20.2,19.96,20.03,11200600.0,20.029,5855
2004-10-01,20.24,20.39,20.01,20.15,14818800.0,20.284,5723
2004-10-04,20.18,20.45,20.18,20.38,12428000.0,20.332,6101
2004-10-05,20.38,20.57,20.3,20.3,14127600.0,20.456,5713
2004-10-06,20.3,20.45,20.22,20.45,12283600.0,20.319,4822
2004-10-07,20.48,20.48,20.06,20.06,7859800.0,20.2445,4673
2004-10-08,20.03,20.15,19.96,20.0,13509200.0,20.012,5467
2004-10-11,20.06,20.08,19.91,20.02,7072600.0,19.984,4493
2004-10-12,19.83,19.93,19.79,19.89,10533800.0,19.8505,5512
