date,open,high,low,close,volume,average,barCount
2004-08-23,64.5,64.84,64.22,64.37,1898900.0,64.49,3171
2004-08-24,64.65,64.92,64.31,64.66,2024800.0,64.612,3048
2004-08-25,64.83,64.96,64.32,64.5,2061700.0,64.579,3263
2004-08-26,64.19,64.49,63.28,63.6,3206600.0,63.731,3963
2004-08-27,63.85,64.56,63.7,64.35,1528700.0,64.299,2859
2004-08-30,64.0,64.03,62.99,63.2,1998100.0,63.356,3109
2004-08-31,63.35,63.77,62.8,63.4,1664600.0,63.144,2745
2004-09-01,63.5,64.18,62.99,64.09,2932800.0,63.6,3632
2004-09-02,64.11,65.0,64.0,64.82,1933700.0,64.509,3256
2004-09-03,64.89,65.25,64.77,65.01,1894300.0,65.003,3246
2004-09-07,65.3,66.5,65.3,65.99,2893400.0,66.058,4592
2004-09-08,65.78,66.46,64.9,65.12,2045300.0,65.348,3306
2004-09-09,65.32,65.95,65.15,65.73,2624500.0,65.572,3711
2004-09-10,65.73,65.96,65.01,65.88,1853600.0,65.434,3212
2004-09-13,65.98,66.0,65.45,65.45,2731700.0,65.755,3251
2004-09-14,65.46,66.69,65.46,66.47,3448200.0,66.103,3575
2004-09-15,66.65,67.3,66.59,67.02,3204400.0,67.065,3662
2004-09-16,67.02,67.19,66.67,66.78,2274700.0,66.933,3236
2004-09-17,66.98,66.98,66.26,66.41,2760800.0,66.573,3094
2004-09-20,66.29,66.44,65.08,65.53,2753700.0,65.551,3866
2004-09-21,65.5,65.51,64.85,65.15,3495100.0,65.1,3523
2004-09-22,64.65,64.97,63.65,63.91,2916000.0,64.146,4051
2004-09-23,64.25,64.7,63.48,63.53,1789100.0,63.971,3111
2004-09-24,63.5,64.08,63.24,63.74,1743200.0,63.737,3186
2004-09-27,63.67,63.85,62.75,62.9,1848300.0,63.112,3062
2004-09-28,63.0,63.05,61.81,62.0,4013400.0,62.13,4097
2004-09-29,62.0,62.2,61.2,61.8,2861000.0,61.742,3980
2004-09-30,61.3,61.7,59.72,60.04,6321100.0,60.192,6198
2004-10-01,60.25,61.83,60.23,61.66,3402700.0,61.356,4731
2004-10-04,61.4,62.38,61.4,61.56,3046700.0,61.923,3759
2004-10-05,61.71,62.32,61.5,62.07,2129100.0,62.007,3648
2004-10-06,62.02,62.03,60.46,61.4,3733400.0,61.086,5168
2004-10-07,61.55,61.86,59.39,59.61,5334000.0,59.953,5298
2004-10-08,59.5,60.39,59.01,59.08,3773300.0,59.646,4738
2004-10-11,59.16,59.5,58.8,59.11,2563600.0,59.142,3779
2004-10-12,57.3,58.1,57.07,57.1,6020100.0,57.415,6228
2004-10-13,57.15,57.34,55.83,56.23,4679500.0,56.37,5458
2004-10-14,56.38,56.99,56.03,56.06,3673100.0,56.551,4704
2004-10-15,56.28,57.57,56.03,57.4,5938400.0,57.024,5506
2004-10-18,57.0,57.79,57.0,57.35,3160300.0,57.412,4569
2004-10-19,57.4,57.5,55.83,56.05,4029300.0,56.496,4543
2004-10-20,55.9,56.05,54.74,55.16,5793100.0,55.158,5011
2004-10-21,54.26,54.88,52.28,52.65,10134200.0,53.409,7195
2004-10-22,52.4,52.86,51.63,51.69,9171800.0,52.154,5302
2004-10-25,51.85,52.0,50.34,50.49,5859000.0,50.91,5758
2004-10-26,50.35,52.52,50.35,52.51,5533900.0,51.543,5285
2004-10-27,53.75,56.58,53.41,56.18,9069100.0,55.153,7828
2004-10-28,56.05,56.3,55.32,55.88,4460900.0,55.667,6027
2004-10-29,55.81,56.0,53.96,54.89,5760300.0,54.566,5569
2004-11-01,54.91,55.55,54.56,55.15,4485900.0,54.971,4989
2004-11-02,54.75,56.23,54.73,55.11,5070100.0,55.573,4903
2004-11-03,57.7,58.79,56.0,56.62,8976000.0,57.646,7100
2004-11-04,56.88,57.44,56.01,57.41,5089300.0,56.743,5288
2004-11-05,57.46,58.2,57.15,57.56,3580200.0,57.687,4590
2004-11-08,57.2,57.65,56.5,56.87,2667500.0,56.87,3886
2004-11-09,56.95,57.34,56.36,56.62,2076600.0,56.685,3603
2004-11-10,56.45,56.47,55.45,55.64,3349800.0,55.9,4127
2004-11-11,55.6,56.72,55.2,56.08,2655100.0,56.068,4771
2004-11-12,56.1,56.29,55.07,56.22,2404400.0,55.735,4427
2004-11-15,56.15,57.11,56.0,57.11,3138600.0,56.751,4375
2004-11-16,57.18,57.44,56.7,56.78,4427200.0,56.987,4937
2004-11-17,57.44,57.5,55.78,55.9,3256600.0,56.45,4189
2004-11-18,56.3,56.5,56.03,56.38,2571100.0,56.276,4081
2004-11-19,56.65,56.65,55.1,55.27,3020000.0,55.619,3870
2004-11-22,55.24,56.2,54.7,56.19,3507500.0,55.48,4472
2004-11-23,55.92,56.13,53.83,54.66,4522100.0,54.604,5092
2004-11-24,54.95,55.25,54.39,54.71,2694600.0,54.728,3761
2004-11-26,54.61,55.39,54.54,54.82,992100.0,55.02,1642
2004-11-29,55.25,55.25,53.45,54.24,5378800.0,54.054,5882
2004-11-30,54.0,54.42,53.31,53.35,3155300.0,53.585,4767
2004-12-01,53.85,54.47,53.7,54.45,2914900.0,54.193,4366
2004-12-02,54.47,55.57,54.2,54.75,3189700.0,54.897,4972
2004-12-03,54.9,55.35,54.21,54.32,2520700.0,54.653,4715
2004-12-06,54.5,54.85,53.87,54.61,2359200.0,54.499,3831
2004-12-07,54.61,55.01,53.64,53.67,2569300.0,54.219,4012
2004-12-08,54.35,54.56,53.68,54.49,3439800.0,54.046,4276
2004-12-09,53.7,54.76,53.42,54.67,4199700.0,54.149,5379
2004-12-10,54.77,55.2,54.62,55.04,4007400.0,54.993,4744
2004-12-13,55.45,56.14,55.43,56.07,4017400.0,55.936,4175
2004-12-14,56.05,57.34,56.05,57.03,4346200.0,56.754,5147
2004-12-15,57.2,57.44,56.44,56.74,3273500.0,56.95,4615
2004-12-16,56.8,57.82,56.62,57.3,4315500.0,57.38,4785
2004-12-17,55.4,56.15,53.36,55.95,12478200.0,55.065,7683
2004-12-20,56.06,56.49,55.0,55.33,4489800.0,55.656,5786
2004-12-21,55.31,55.77,55.1,55.74,3641200.0,55.489,4867
2004-12-22,55.45,56.8,55.45,56.64,3755900.0,56.307,4699
2004-12-23,56.47,57.78,56.41,57.3,2882600.0,57.267,4155
2004-12-27,57.37,58.01,57.2,57.23,2269900.0,57.624,3834
2004-12-28,57.04,57.67,57.01,57.38,1787100.0,57.331,3749
2004-12-29,57.12,57.25,56.73,57.22,2552400.0,56.969,3878
2004-12-30,57.45,57.75,57.26,57.45,2304200.0,57.527,3310
2004-12-31,56.75,57.2,56.7,56.75,3883800.0,56.83,4566
2005-01-03,56.77,57.04,56.2,56.24,2815800.0,56.646,3905
2005-01-04,56.6,56.84,55.45,55.52,4183900.0,55.977,4737
2005-01-05,55.73,56.19,55.5,56.06,3019500.0,55.811,4440
2005-01-06,56.0,56.79,55.89,56.56,2579000.0,56.43,4575
2005-01-07,56.53,56.7,56.17,56.27,2473800.0,56.424,4241
2005-01-10,56.1,57.09,55.9,56.92,2697600.0,56.67,4669
2005-01-11,56.94,57.12,56.4,56.99,3100100.0,56.866,4914
2005-01-12,57.07,57.83,56.89,57.75,4040000.0,57.377,5485
2005-01-13,57.53,57.75,56.41,56.46,3382900.0,56.841,4476
2005-01-14,56.35,57.3,56.28,57.24,3012700.0,56.851,4048
2005-01-18,57.25,57.68,56.61,57.51,2558600.0,57.26,4536
2005-01-19,57.43,57.68,56.96,56.97,2267000.0,57.236,3697
2005-01-20,57.0,57.35,56.06,56.44,3205400.0,56.549,4340
2005-01-21,56.2,56.32,55.28,55.35,3106300.0,55.828,4427
2005-01-24,55.55,55.68,54.86,54.9,2726300.0,55.199,4607
2005-01-25,55.35,55.7,54.78,54.9,2705700.0,55.237,4432
2005-01-26,56.25,57.17,55.39,55.49,5434800.0,56.227,6956
2005-01-27,55.25,55.82,53.62,55.59,3771400.0,55.388,4627
2005-01-28,55.35,55.35,52.86,53.51,5792600.0,53.844,7190
2005-01-31,53.74,54.7,53.65,54.25,4161700.0,54.202,5557
2005-02-01,54.25,54.77,53.85,54.75,2533000.0,54.49,4402
2005-02-02,54.62,55.49,54.42,55.11,2625800.0,55.056,4113
2005-02-03,55.14,55.2,54.61,54.86,3231600.0,54.937,3240
2005-02-04,54.71,55.35,54.5,55.07,1985700.0,54.962,3646
2005-02-07,55.28,56.16,55.15,55.74,1769800.0,55.838,3333
2005-02-08,55.2,55.6,55.06,55.4,2449400.0,55.286,3406
2005-02-09,55.7,56.12,54.58,54.71,2481500.0,55.158,3758
2005-02-10,54.98,55.0,54.5,54.88,1684800.0,54.816,3592
2005-02-11,54.64,56.69,54.6,55.54,2412200.0,55.523,4144
2005-02-14,55.95,55.98,55.04,55.33,1897200.0,55.331,3389
2005-02-15,55.25,55.9,54.95,55.75,3064000.0,55.519,4309
2005-02-16,55.52,55.84,55.04,55.37,2249300.0,55.272,3316
2005-02-17,55.29,55.69,55.01,55.13,2613300.0,55.205,3735
2005-02-18,55.23,55.23,54.35,54.62,4295200.0,54.609,4522
2005-02-22,54.67,55.1,54.5,54.58,3475200.0,54.802,5167
2005-02-23,54.7,55.04,54.56,54.8,2082400.0,54.798,3990
2005-02-24,54.93,55.19,54.57,55.06,2336500.0,54.897,3793
2005-02-25,55.03,55.88,54.94,55.83,2136900.0,55.483,3874
2005-02-28,55.86,56.3,55.26,55.9,2701700.0,55.947,4376
2005-03-01,56.2,56.64,55.97,56.52,2562600.0,56.353,3866
2005-03-02,56.08,57.0,55.87,56.34,2743000.0,56.379,4437
