date,open,high,low,close,volume,average,barCount
2004-08-23,0.11,0.11,0.1,0.11,756336000.0,0.1052583333333333,14966
2004-08-24,0.11,0.11,0.09,0.1,875148000.0,0.101775,18235
2004-08-25,0.1,0.11,0.1,0.11,671472000.0,0.1039166666666667,13591
2004-08-26,0.11,0.11,0.1,0.11,570396000.0,0.105525,11564
2004-08-27,0.11,0.11,0.11,0.11,548472000.0,0.1079666666666667,13142
2004-08-30,0.11,0.11,0.1,0.1,556800000.0,0.1052333333333333,11045
2004-08-31,0.1,0.11,0.1,0.1,555024000.0,0.1028666666666667,11849
2004-09-01,0.1,0.11,0.1,0.11,537888000.0,0.1053416666666667,13039
2004-09-02,0.11,0.11,0.11,0.11,720072000.0,0.108125,15235
2004-09-03,0.11,0.11,0.11,0.11,696876000.0,0.1074666666666667,16111
2004-09-07,0.11,0.11,0.1,0.1,702192000.0,0.1055166666666667,14624
2004-09-08,0.1,0.11,0.1,0.1,776364000.0,0.10355,17346
2004-09-09,0.11,0.11,0.1,0.11,1238208000.0,0.1098416666666667,27114
2004-09-10,0.11,0.12,0.11,0.12,1011720000.0,0.115775,23199
2004-09-13,0.12,0.12,0.12,0.12,896292000.0,0.1192916666666667,23467
2004-09-14,0.12,0.12,0.12,0.12,639384000.0,0.1188666666666667,17369
2004-09-15,0.12,0.12,0.11,0.11,1129896000.0,0.1139916666666667,25424
2004-09-16,0.11,0.12,0.11,0.12,774288000.0,0.116475,19532
2004-09-17,0.12,0.12,0.12,0.12,943020000.0,0.1212916666666667,21535
2004-09-20,0.12,0.13,0.12,0.12,741756000.0,0.1228416666666667,18428
2004-09-21,0.13,0.13,0.12,0.13,483108000.0,0.1249,11794
2004-09-22,0.12,0.13,0.12,0.12,574740000.0,0.1212083333333333,14697
2004-09-23,0.12,0.12,0.12,0.12,548448000.0,0.1195083333333333,13746
2004-09-24,0.12,0.12,0.12,0.12,457092000.0,0.1174916666666667,11181
2004-09-27,0.12,0.12,0.11,0.12,378300000.0,0.1153583333333333,9941
2004-09-28,0.11,0.12,0.11,0.12,460668000.0,0.115425,12553
2004-09-29,0.12,0.12,0.12,0.12,522924000.0,0.118475,14104
2004-09-30,0.12,0.12,0.12,0.12,572760000.0,0.1211916666666667,14420
2004-10-01,0.12,0.13,0.12,0.13,563340000.0,0.124675,13988
2004-10-04,0.13,0.13,0.13,0.13,648012000.0,0.1297666666666667,15061
2004-10-05,0.13,0.13,0.13,0.13,617136000.0,0.12735,14968
2004-10-06,0.13,0.13,0.12,0.13,472404000.0,0.1253666666666667,12960
2004-10-07,0.13,0.13,0.13,0.13,720972000.0,0.130025,17430
2004-10-08,0.13,0.13,0.12,0.12,672828000.0,0.1226166666666667,15521
2004-10-11,0.12,0.12,0.12,0.12,355956000.0,0.1204916666666667,8487
2004-10-12,0.12,0.12,0.12,0.12,773868000.0,0.117475,16821
2004-10-13,0.12,0.12,0.12,0.12,655140000.0,0.1203416666666667,14813
2004-10-14,0.12,0.12,0.11,0.11,468360000.0,0.1156083333333333,11865
2004-10-15,0.12,0.12,0.11,0.11,1249560000.0,0.111475,20891
2004-10-18,0.11,0.12,0.11,0.11,550212000.0,0.1131,14213
2004-10-19,0.12,0.12,0.11,0.11,597096000.0,0.1154166666666667,14859
2004-10-20,0.11,0.11,0.11,0.11,522216000.0,0.1138,14923
