date,open,high,low,close,volume,average,barCount
2004-08-20,10.39,10.43,10.3,10.32,22584400.0,10.374,29197
2004-08-23,10.34,10.39,10.22,10.31,26428400.0,10.316,35696
2004-08-24,10.32,10.36,10.15,10.33,37556000.0,10.281,39212
2004-08-25,10.35,10.44,10.26,10.4,27574100.0,10.361,33297
2004-08-26,10.36,10.42,10.21,10.24,25166200.0,10.291,30397
2004-08-27,10.24,10.34,10.23,10.29,19121700.0,10.29,23974
2004-08-30,10.21,10.24,10.08,10.1,32370100.0,10.142,32753
2004-08-31,10.1,10.14,9.82,9.98,33717000.0,9.957,38226
2004-09-01,9.96,10.11,9.94,10.05,27533800.0,10.035,35756
2004-09-02,10.08,10.35,9.97,10.29,38970600.0,10.176,46343
2004-09-03,10.18,10.29,9.97,10.05,32292400.0,10.066,41770
2004-09-07,10.17,10.22,9.98,10.07,29560600.0,10.1,41798
2004-09-08,9.94,10.03,9.49,9.91,44153600.0,9.953,52439
2004-09-09,9.99,10.02,9.9,9.94,42413100.0,9.966,47546
2004-09-10,10.13,10.5,10.04,10.48,63561900.0,10.351,68133
2004-09-13,10.56,10.7,10.51,10.58,48895300.0,10.603,57932
2004-09-14,10.64,10.69,10.46,10.59,59639200.0,10.589,63716
2004-09-15,11.09,11.41,11.03,11.34,124836700.0,11.283,118156
2004-09-16,11.26,11.4,11.17,11.22,55950200.0,11.255,55649
2004-09-17,11.24,11.58,11.23,11.5,51531100.0,11.465,57898
2004-09-20,11.35,11.55,11.31,11.42,38486800.0,11.425,50281
2004-09-21,11.61,11.68,11.34,11.41,43181300.0,11.425,55538
2004-09-22,11.29,11.39,11.1,11.16,53469000.0,11.227,68262
2004-09-23,11.18,11.24,11.02,11.07,38212000.0,11.126,49602
2004-09-24,11.13,11.21,11.02,11.03,29597000.0,11.135,39543
2004-09-27,10.97,11.28,10.93,11.2,38593400.0,11.163,48103
2004-09-28,11.24,11.36,11.09,11.35,43217400.0,11.245,55556
2004-09-29,11.34,11.52,11.28,11.42,40522900.0,11.399,52850
2004-09-30,11.42,11.45,11.24,11.36,42554600.0,11.368,50613
2004-10-01,11.65,11.95,11.51,11.89,65764400.0,11.812,76221
2004-10-04,12.1,12.18,11.83,11.86,62347700.0,12.002,74752
2004-10-05,11.84,12.21,11.83,12.21,43915300.0,12.062,53986
2004-10-06,12.14,12.26,12.06,12.24,42985200.0,12.161,52640
2004-10-07,12.21,12.42,12.19,12.27,46757500.0,12.305,57778
2004-10-08,12.17,12.47,12.02,12.16,42440400.0,12.279,54745
2004-10-11,12.17,12.27,12.08,12.2,24163300.0,12.202,33951
2004-10-12,12.03,12.23,11.98,12.12,33762400.0,12.082,43812
2004-10-13,12.14,12.2,11.93,11.96,38865300.0,12.027,52067
2004-10-14,11.93,12.11,11.92,12.0,27494000.0,12.008,38876
2004-10-15,12.04,12.25,12.0,12.24,39588400.0,12.142,53344
2004-10-18,12.16,12.46,12.1,12.42,31720900.0,12.311,47467
2004-10-19,12.44,12.54,12.31,12.32,42611900.0,12.453,50697
2004-10-20,12.25,12.41,12.18,12.41,33744300.0,12.279,44675
2004-10-21,12.45,12.47,12.28,12.43,39288900.0,12.395,53419
2004-10-22,12.42,12.48,12.19,12.3,31939100.0,12.362,41531
2004-10-25,12.26,12.33,12.05,12.15,31817400.0,12.151,42450
2004-10-26,12.17,12.3,12.11,12.24,31230100.0,12.195,40557
2004-10-27,12.16,12.72,12.15,12.6,40393300.0,12.492,52674
2004-10-28,12.47,12.77,12.21,12.69,29264800.0,12.659,39845
2004-10-29,12.77,12.81,12.55,12.65,30577200.0,12.667,40224
2004-11-01,12.7,12.87,12.55,12.77,25971600.0,12.73,39579
2004-11-02,12.77,13.0,12.68,12.82,39021300.0,12.892,52181
2004-11-03,12.95,13.0,12.72,12.81,32065300.0,12.864,47755
2004-11-04,12.85,13.14,12.67,13.08,35730300.0,12.985,47460
2004-11-05,13.13,13.28,13.08,13.17,33099500.0,13.181,46748
2004-11-08,13.08,13.2,13.01,13.13,19265100.0,13.126,30390
2004-11-09,13.09,13.38,13.07,13.35,30560800.0,13.266,43740
2004-11-10,13.35,13.5,13.29,13.38,38360900.0,13.396,56786
2004-11-11,13.21,13.28,12.22,13.16,47256700.0,12.975,65068
2004-11-12,13.01,13.4,12.97,13.4,38955400.0,13.22,57584
2004-11-15,13.29,13.31,12.97,13.01,33778500.0,13.085,46912
2004-11-16,12.98,13.04,12.87,12.93,27660900.0,12.947,37907
2004-11-17,13.0,13.21,12.95,13.13,27390800.0,13.126,39676
2004-11-18,13.11,13.15,12.95,12.97,24230000.0,13.01,33831
