date,open,high,low,close,volume,average,barCount
2004-08-23,54.76,55.05,54.71,54.77,2502800.0,54.883,4597
2004-08-24,54.7,55.02,54.66,54.96,3303100.0,54.922,4549
2004-08-25,54.95,55.43,54.77,55.27,3352900.0,55.122,5235
2004-08-26,55.5,55.8,55.33,55.71,3046300.0,55.658,4657
2004-08-27,55.6,56.0,55.5,55.99,3253100.0,55.792,4300
2004-08-30,55.7,56.09,55.5,55.53,2537100.0,55.843,4677
2004-08-31,55.5,55.97,55.22,55.96,2658200.0,55.616,4655
2004-09-01,55.97,56.21,55.49,56.18,3673600.0,55.936,5482
2004-09-02,56.17,56.54,55.89,56.52,2495300.0,56.214,4290
2004-09-03,56.6,56.9,56.49,56.59,3215500.0,56.715,4844
2004-09-07,56.35,56.9,55.74,56.69,3443300.0,56.639,5523
2004-09-08,56.55,56.9,56.2,56.74,4079800.0,56.58,6089
2004-09-09,56.61,56.67,55.93,55.97,5061400.0,56.239,7931
2004-09-10,56.05,56.22,55.62,56.2,3472100.0,55.948,4869
2004-09-13,56.19,56.34,55.7,56.26,3608100.0,56.136,5087
2004-09-14,56.48,56.86,56.21,56.65,3784200.0,56.589,4934
2004-09-15,56.55,56.73,56.3,56.31,3340600.0,56.504,4229
2004-09-16,55.85,56.04,55.68,55.93,3566100.0,55.868,4645
2004-09-17,56.19,56.95,55.86,56.33,5596900.0,56.408,5215
2004-09-20,55.61,55.72,54.24,54.42,10601700.0,54.64,10094
2004-09-21,54.35,54.91,53.58,54.89,7517900.0,54.415,7864
2004-09-22,54.3,54.75,54.07,54.27,5372900.0,54.238,6253
2004-09-23,54.29,54.52,54.15,54.2,4143300.0,54.288,5530
2004-09-24,53.96,54.4,53.83,54.05,4853900.0,54.076,6131
2004-09-27,53.92,54.15,53.6,53.61,4229000.0,53.856,5742
2004-09-28,53.75,53.82,53.27,53.77,4401800.0,53.6,6090
2004-09-29,53.55,54.48,53.37,54.45,4844200.0,53.848,5088
2004-09-30,54.08,54.72,53.88,54.12,5284000.0,54.167,6616
2004-10-01,54.35,54.66,54.15,54.65,4059500.0,54.462,4739
2004-10-04,54.74,54.9,54.3,54.33,4747200.0,54.657,5246
2004-10-05,54.2,54.36,54.02,54.27,3672200.0,54.198,4513
2004-10-06,54.26,54.37,54.0,54.3,4293900.0,54.231,4417
2004-10-07,54.35,54.4,53.6,53.63,3571100.0,54.051,4745
2004-10-08,53.42,54.02,53.22,53.44,5496600.0,53.55,5614
2004-10-11,53.45,53.9,53.1,53.68,3772800.0,53.572,4584
2004-10-12,53.4,53.98,53.4,53.53,4574900.0,53.6,5098
2004-10-13,53.5,53.54,52.77,53.01,4746900.0,53.094,5812
2004-10-14,52.85,53.22,52.84,52.97,3780300.0,53.032,5128
2004-10-15,53.54,54.38,53.47,53.69,5091800.0,53.837,6110
2004-10-18,53.61,53.79,53.25,53.64,4515800.0,53.488,5815
2004-10-19,53.66,53.95,53.0,53.0,3762000.0,53.429,5183
2004-10-20,52.8,53.57,52.77,53.52,4096100.0,53.089,5777
2004-10-21,53.31,53.98,52.89,53.58,4544000.0,53.376,5889
